"ticker","name","market","scope_role","snapshot_date","source_contract"
"6239","力成","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6271","同欣電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6274","台燿","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6548","長科*","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8046","南電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8070","長華*","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8112","至上","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8261","富鼎","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8299","群聯","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8358","金居","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8454","富邦媒","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8926","台汽電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"1708","東鹼","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2308","台達電","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2317","鴻海","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2345","智邦","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2351","順德","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2376","技嘉","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2406","國碩","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2441","超豐","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3034","聯詠","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3374","精材","TPEx","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"4764","雙鍵","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"5386","青雲","TPEx","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6139","亞翔","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6155","鈞寶","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6209","今國光","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6213","聯茂","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6415","矽力*-KY","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6770","力積電","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"7769","鴻勁","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"8150","南茂","TWSE","watchlist20","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
