ticker,company_name,event_key,high_priority,cash_dividend_total_per_share_candidate,stock_dividend_total_per_share_candidate,accepted_exact_exdate,accepted_payment_date,accepted_market_available_at,accepted_source_url,accepted_subject,accepted_detail_excerpt,accepted_status,exact_candidate_count,payment_candidate_count,capital_change_candidate_count,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2453,凌群,2453|ROC109|P1|C1.5|S0,False,1.5,0.0,2021-08-27,,2021-08-11 14:09:00,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議現金股利除息基準日,"1.董事會、股東會決議或公司決定日期:110/08/11 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:現金股利新台幣150,000,000元(每股1.5元) 4.除權（息）交易日:110/08/27 5.最後過戶日:110/08/30 6.停止過戶起始日期:110/08/31 7.停止過戶截止日期:110/09/04 8.除權（息）基準日:110/09/04 9.其他應敘明事項:現金股利發放日訂於110年9月24日。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2468,華經,2468|ROC107|P1|C0.5|S0,False,0.5,0.0,2019-08-30,,2019-07-01 15:34:41,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議現金股利配息基準日,1.董事會、股東會決議或公司決定日期:108/07/01 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:股東紅利，普通股現金股利-每股配發新台幣0.5元 4.除權（息）交易日:108/08/30 5.最後過戶日:108/09/02 6.停止過戶起始日期:108/09/03 7.停止過戶截止日期:108/09/07 8.除權（息）基準日:108/09/07 9.其他應敘明事項:1.嗣後如因本公司普通股股權變動，致每股應分配股利發生變動時， 授權董事長另行決議辦理。 10.現金股利發放日:108/09/25 ,accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2468,華經,2468|ROC108|P1|C0.5|S0,False,0.5,0.0,2020-08-26,,2020-07-23 17:09:57,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議現金股利配息基準日,1.董事會、股東會決議或公司決定日期:109/07/23 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:股東紅利，普通股現金股利-每股配發新台幣0.5元 4.除權（息）交易日:109/08/26 5.最後過戶日:109/08/27 6.停止過戶起始日期:109/08/28 7.停止過戶截止日期:109/09/01 8.除權（息）基準日:109/09/01 9.其他應敘明事項:1.嗣後如因本公司普通股股權變動，致每股應分配股利發生變動時， 授權董事長另行決議辦理。 10.現金股利發放日:109/09/18 ,accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2468,華經,2468|ROC109|P1|C0.4|S0,False,0.4,0.0,2021-08-19,,2021-07-29 11:18:19,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議現金股利配息基準日,1.董事會、股東會決議或公司決定日期:110/07/29 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:股東紅利，普通股現金股利-每股配發新台幣0.4元 4.除權（息）交易日:110/08/19 5.最後過戶日:110/08/20 6.停止過戶起始日期:110/08/22 7.停止過戶截止日期:110/08/26 8.除權（息）基準日:110/08/26 9.其他應敘明事項:1.嗣後如因本公司普通股股權變動，致每股應分配股利發生變動時， 授權董事長另行決議辦理。 10.現金股利發放日:110/09/15 ,accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2603,長榮,2603|ROC109|P1|C2.5|S0,False,2.5,0.0,,,,,,,blocked_no_exact_exdate_candidate,0,0,0,0,False,False,False,False,False,False,False,True,False
2615,萬海,2615|ROC107|P1|C0.60563|S0,False,0.6056299,0.0,2019-07-12,,2019-06-18 13:56:04,https://mops.twse.com.tw/mops/#/web/t05st01,本公司董事會決議除息基準日,"1.董事會、股東會決議或公司決定日期:108/06/18 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 本公司於108年6月18日股東常會決議發放 現金股利:每股配發0.605629905元，計新台幣1,343,467,283元 4.除權（息）交易日:108/07/12 5.最後過戶日:108/07/15 6.停止過戶起始日期:108/07/16 7.停止過戶截止日期:108/07/20 8.除權（息）基準日:108/07/20 9.其他應敘明事項:現金股利匯費及支票掛號郵資由股東自行負擔 ",accepted_unique_exact_exdate_candidate,1,0,2,0,False,False,False,False,False,False,False,True,False
2615,萬海,2615|ROC108|P1|C0.8|S0,False,0.8,0.0,2020-08-27,,2020-08-10 13:44:39,https://mops.twse.com.tw/mops/#/web/t05st01,本公司董事會決議除息基準日,"1.董事會、股東會決議或公司決定日期:109/08/10 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 本公司於109年6月23日股東常會決議發放 現金股利:每股配發0.8元，計新台幣1,774,637,973元 4.除權（息）交易日:109/08/27 5.最後過戶日:109/08/28 6.停止過戶起始日期:109/08/29 7.停止過戶截止日期:109/09/02 8.除權（息）基準日:109/09/02 9.其他應敘明事項:現金股利匯費及支票掛號郵資由股東自行負擔 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2615,萬海,2615|ROC109|P1|C1|S1,False,1.0,1.0,2021-09-07,,2021-08-09 14:57:44,https://mops.twse.com.tw/mops/#/web/t05st01,本公司董事會決議除權息基準日,"1.董事會、股東會決議或公司決定日期:110/08/09 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除權息 3.發放股利種類及金額: 本公司於110年7月20日股東常會決議發放 現金股利:每股配發1元，計新台幣2,218,297,466元 股票股利:每股配發1元，計新台幣2,218,297,460元 4.除權（息）交易日:110/09/07 5.最後過戶日:110/09/08 6.停止過戶起始日期:110/09/09 7.停止過戶截止日期:110/09/13 8.除權（息）基準日:110/09/13 9.其他應敘明事項:現金股利匯費及支票掛號郵資由股東自行負擔 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2636,台驊投控,2636|ROC107|P1|C2.2|S0,False,2.2,0.0,2019-07-22,,2019-07-05 15:10:24,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事長決定現金股利除息基準日,"1.董事會、股東會決議或公司決定日期:108/07/05 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 配發現金股利NTD254,752,084元，每股配發2.2元。 4.除權（息）交易日:108/07/22 5.最後過戶日:108/07/23 6.停止過戶起始日期:108/07/24 7.停止過戶截止日期:108/07/28 8.除權（息）基準日:108/07/28 9.其他應敘明事項: 1.現金股利發放日:108/08/21 2.如因本公司買回股份、庫藏股轉換或註銷，辦理現金增資或私募普通股、 可轉換公司債轉換或員工認股權證行使等，而影響本公司流通在外之股份數額， 股東配息率因此發生變動，授權董事長全權處理之。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2636,台驊投控,2636|ROC108|P1|C1.3|S0,False,1.3,0.0,2020-08-03,,2020-07-17 11:14:38,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事長決定現金股利除息基準日,"1.董事會、股東會決議或公司決定日期:109/07/17 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額: 配發現金股利NTD150,535,323元，每股配發1.31770652元。 4.除權（息）交易日:109/08/03 5.最後過戶日:109/08/04 6.停止過戶起始日期:109/08/05 7.停止過戶截止日期:109/08/09 8.除權（息）基準日:109/08/09 9.其他應敘明事項: 1.現金股利發放日:109/09/04 2.如因本公司買回股份、庫藏股轉換或註銷，辦理現金增資或私募普通股、 可轉換公司債轉換或員工認股權證行使等，而影響本公司流通在外之股份數額， 股東配息率因此發生變動，授權董事長全權處理之。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
