ticker,name,market,segment_start_snapshot,warmup_required_sessions,warmup_actual_sessions,warmup_start,warmup_end,segment_type
9958,世紀鋼,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
1514,亞力,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2881,富邦金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
6285,啟碁,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2329,華泰,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2449,京元電子,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3587,閎康,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2377,微星,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3704,合勤控,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
8255,朋程,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3289,宜特,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
5871,中租-KY,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2352,佳世達,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3707,漢磊,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2324,仁寶,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
6488,環球晶,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3596,智易,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
1560,中砂,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
6182,合晶,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3362,先進光,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2345,智邦,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
4967,十銓,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2885,元大金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3529,力旺,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2610,華航,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
6531,愛普*,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2890,永豐金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3088,艾訊,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
6470,宇智,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
8028,昇陽半導體,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3374,精材,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2356,英業達,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2328,廣宇,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3217,優群,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
6789,采鈺,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
6223,旺矽,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2645,長榮航太,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3163,波若威,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
1476,儒鴻,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
4746,台耀,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
5289,宜鼎,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2379,瑞昱,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
5425,台半,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2892,第一金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3037,欣興,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
4916,事欣科,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3583,辛耘,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2888,新光金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3558,神準,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
4906,正文,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3356,奇偶,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3687,歐買尬,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
8155,博智,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3324,雙鴻,TPEx,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2887,台新新光金,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
4919,新唐,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
2312,金寶,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
9910,豐泰,TWSE,2023-07-14,60,60,2023-04-18,2023-07-13,initial_or_reentry_primary80
3406,玉晶光,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2313,華通,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
5258,虹堡,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
6446,藥華藥,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2402,毅嘉,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2891,中信金,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
4123,晟德,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
6150,撼訊,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2027,大成鋼,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
4953,緯軟,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
4934,太極,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
8050,廣積,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2425,承啟,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
4533,協易機,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
1210,大成,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
6213,聯茂,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2618,長榮航,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2884,玉山金,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
9921,巨大,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
3033,威健,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2371,大同,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
3025,星通,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
6111,大宇資,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
3264,欣銓,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
6796,晉弘,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
6290,良維,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
4532,瑞智,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
3515,華擎,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
6515,穎崴,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
2801,彰銀,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
3653,健策,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
3693,營邦,TPEx,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
4566,時碩工業,TWSE,2023-07-21,60,60,2023-04-25,2023-07-20,initial_or_reentry_primary80
3704,合勤控,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2330,台積電,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2883,凱基金,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2882,國泰金,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
8299,群聯,TPEx,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
8155,博智,TPEx,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
6269,台郡,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
5871,中租-KY,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
8390,金益鼎,TPEx,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
6414,樺漢,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2354,鴻準,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
3711,日月光投控,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
8028,昇陽半導體,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2383,台光電,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
8996,高力,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
6196,帆宣,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2913,農林,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2419,仲琦,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2458,義隆,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
1503,士電,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
3044,健鼎,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2377,微星,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
6279,胡連,TPEx,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
1904,正隆,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
8358,金居,TPEx,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
1514,亞力,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
5439,高技,TPEx,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
6239,力成,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2359,所羅門,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
3029,零壹,TWSE,2023-07-28,60,60,2023-05-03,2023-07-27,initial_or_reentry_primary80
2317,鴻海,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3037,欣興,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2454,聯發科,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2412,中華電,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2324,仁寶,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2360,致茂,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3661,世芯-KY,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2059,川湖,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2884,玉山金,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3035,智原,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2887,台新新光金,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
1560,中砂,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3515,華擎,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
8210,勤誠,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2834,臺企銀,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
1101,台泥,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
8046,南電,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
5371,中光電,TPEx,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2353,宏碁,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2385,群光,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
6282,康舒,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2801,彰銀,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3131,弘塑,TPEx,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3025,星通,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3032,偉訓,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
6669,緯穎,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
6841,長佳智能,TPEx,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
8069,元太,TPEx,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
5234,達興材料,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
8255,朋程,TPEx,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3163,波若威,TPEx,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3293,鈊象,TPEx,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2201,裕隆,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
6112,邁達特,TWSE,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
3325,旭品,TPEx,2023-08-04,60,60,2023-05-09,2023-08-02,initial_or_reentry_primary80
2354,鴻準,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
4953,緯軟,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
1210,大成,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
1590,亞德客-KY,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2014,中鴻,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2634,漢翔,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2645,長榮航太,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
5258,虹堡,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3036,文曄,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
9958,世紀鋼,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2891,中信金,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
4763,材料*-KY,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2376,技嘉,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2885,元大金,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3013,晟銘電,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2912,統一超,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6125,廣運,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3483,力致,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6531,愛普*,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
5871,中租-KY,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
1319,東陽,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3014,聯陽,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6579,研揚,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
8016,矽創,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2204,中華,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2610,華航,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
1513,中興電,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
8454,富邦媒,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2618,長榮航,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3045,台灣大,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3004,豐達科,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2425,承啟,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
1519,華城,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6191,精成科,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3587,閎康,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6538,倉和,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3056,富華新,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2371,大同,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
8936,國統,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6203,海韻電,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2727,王品,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6223,旺矽,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
8081,致新,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
2211,長榮鋼,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3558,神準,TPEx,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6197,佳必琪,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6672,騰輝電子-KY,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6139,亞翔,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
3617,碩天,TWSE,2023-08-11,60,60,2023-05-16,2023-08-10,initial_or_reentry_primary80
6414,樺漢,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
6664,群翊,TPEx,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2355,敬鵬,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2404,漢唐,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3034,聯詠,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
4979,華星光,TPEx,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2455,全新,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
8996,高力,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2492,華新科,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2329,華泰,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2388,威盛,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3689,湧德,TPEx,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3583,辛耘,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3043,科風,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
6811,宏碁資訊,TPEx,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3017,奇鋐,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3715,定穎投控,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
1216,統一,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3362,先進光,TPEx,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
6275,元山,TPEx,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3653,健策,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
8255,朋程,TPEx,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
4904,遠傳,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2359,所羅門,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3622,洋華,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
5222,全訊,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
3548,兆利,TPEx,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2880,華南金,TWSE,2023-08-18,60,60,2023-05-23,2023-08-17,initial_or_reentry_primary80
2330,台積電,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
6176,瑞儀,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2317,鴻海,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2385,群光,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
5371,中光電,TPEx,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
8112,至上,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
3533,嘉澤,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2332,友訊,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2313,華通,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
3264,欣銓,TPEx,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
1609,大亞,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2454,聯發科,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2002,中鋼,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
1477,聚陽,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2379,瑞昱,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2474,可成,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
5388,中磊,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
3483,力致,TPEx,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
2327,國巨*,TWSE,2023-08-25,60,60,2023-05-30,2023-08-24,initial_or_reentry_primary80
