base_strategy,signal_date,ticker,asset_type,hold_start,hold_end_exclusive,holding_leg_source_quality
raw_Daily_F_challenger,2026-06-01,2330,stock,2026-06-02,2026-06-03,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-06-02,2330,stock,2026-06-03,2026-06-04,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-06-03,2330,stock,2026-06-04,2026-06-05,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-06-04,2330,stock,2026-06-05,2026-06-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-12-06,2330,stock,2019-12-09,2019-12-10,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-12-09,2330,stock,2019-12-10,2019-12-11,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-12-10,2330,stock,2019-12-11,2019-12-12,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-12-11,2330,stock,2019-12-12,2019-12-13,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-12-12,2330,stock,2019-12-13,2019-12-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-17,2330,stock,2023-03-20,2023-03-21,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-20,2330,stock,2023-03-21,2023-03-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-21,2330,stock,2023-03-22,2023-03-23,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-22,2330,stock,2023-03-23,2023-03-24,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-23,2330,stock,2023-03-24,2023-03-27,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-05-29,2330,stock,2026-06-01,2026-06-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-06-01,2330,stock,2026-06-02,2026-06-03,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-06-02,2330,stock,2026-06-03,2026-06-04,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-06-03,2330,stock,2026-06-04,2026-06-05,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-06-04,2330,stock,2026-06-05,2026-06-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2021-07-09,2351,stock,2021-07-12,2021-07-13,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2021-07-12,2351,stock,2021-07-13,2021-07-14,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2021-07-13,2351,stock,2021-07-14,2021-07-15,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2021-07-14,2351,stock,2021-07-15,2021-07-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2021-07-15,2351,stock,2021-07-16,2021-07-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-07-09,2351,stock,2021-07-12,2021-07-13,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-07-12,2351,stock,2021-07-13,2021-07-14,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-07-13,2351,stock,2021-07-14,2021-07-15,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-07-14,2351,stock,2021-07-15,2021-07-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-07-15,2351,stock,2021-07-16,2021-07-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2024-05-13,2374,stock,2024-05-14,2024-05-15,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2024-05-14,2374,stock,2024-05-15,2024-05-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2024-05-15,2374,stock,2024-05-16,2024-05-17,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2024-05-16,2374,stock,2024-05-17,2024-05-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-11-17,2388,stock,2023-11-20,2023-11-21,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-11-20,2388,stock,2023-11-21,2023-11-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-11-21,2388,stock,2023-11-22,2023-11-23,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-11-22,2388,stock,2023-11-23,2023-11-24,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-11-23,2388,stock,2023-11-24,2023-11-27,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2016-09-05,2412,stock,2016-09-06,2016-09-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2016-09-06,2412,stock,2016-09-07,2016-09-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2016-09-07,2412,stock,2016-09-08,2016-09-09,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2016-09-08,2412,stock,2016-09-09,2016-09-12,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-24,2453,stock,2023-03-27,2023-03-28,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-27,2453,stock,2023-03-28,2023-03-29,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-28,2453,stock,2023-03-29,2023-03-30,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-29,2453,stock,2023-03-30,2023-03-31,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2023-03-30,2453,stock,2023-03-31,2023-04-06,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2025-05-14,2468,stock,2025-05-15,2025-05-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2025-05-15,2468,stock,2025-05-16,2025-05-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2025-05-16,2468,stock,2025-05-19,2025-05-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-02-02,2603,stock,2015-02-03,2015-02-04,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-02-03,2603,stock,2015-02-04,2015-02-05,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-02-04,2603,stock,2015-02-05,2015-02-06,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-02-05,2603,stock,2015-02-06,2015-02-09,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-08-25,2603,stock,2017-08-28,2017-08-29,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-08-28,2603,stock,2017-08-29,2017-08-30,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-08-29,2603,stock,2017-08-30,2017-08-31,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-08-30,2603,stock,2017-08-31,2017-09-01,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-08-31,2603,stock,2017-09-01,2017-09-04,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-01-30,2603,stock,2015-02-02,2015-02-03,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-02-02,2603,stock,2015-02-03,2015-02-04,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-02-03,2603,stock,2015-02-04,2015-02-05,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-02-04,2603,stock,2015-02-05,2015-02-06,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-02-05,2603,stock,2015-02-06,2015-02-09,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-08-25,2603,stock,2017-08-28,2017-08-29,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-08-28,2603,stock,2017-08-29,2017-08-30,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-08-29,2603,stock,2017-08-30,2017-08-31,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-08-30,2603,stock,2017-08-31,2017-09-01,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-08-31,2603,stock,2017-09-01,2017-09-04,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2025-05-21,2615,stock,2025-05-22,2025-05-23,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-05-16,2615,stock,2025-05-19,2025-05-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-05-19,2615,stock,2025-05-20,2025-05-21,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-05-20,2615,stock,2025-05-21,2025-05-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-05-21,2615,stock,2025-05-22,2025-05-23,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-05-22,2615,stock,2025-05-23,2025-05-26,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2021-06-18,2636,stock,2021-06-21,2021-06-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-06-18,2636,stock,2021-06-21,2021-06-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-06-21,2636,stock,2021-06-22,2021-06-23,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-06-22,2636,stock,2021-06-23,2021-06-24,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-06-23,2636,stock,2021-06-24,2021-06-25,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2021-06-24,2636,stock,2021-06-25,2021-06-28,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-05-15,3008,stock,2015-05-18,2015-05-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-05-18,3008,stock,2015-05-19,2015-05-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-05-19,3008,stock,2015-05-20,2015-05-21,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-05-20,3008,stock,2015-05-21,2015-05-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2023-10-12,3008,stock,2023-10-13,2023-10-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-15,3008,stock,2015-05-18,2015-05-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-18,3008,stock,2015-05-19,2015-05-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-19,3008,stock,2015-05-20,2015-05-21,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-20,3008,stock,2015-05-21,2015-05-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-21,3008,stock,2015-05-22,2015-05-25,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-23,3037,stock,2026-01-26,2026-01-27,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-26,3037,stock,2026-01-27,2026-01-28,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-27,3037,stock,2026-01-28,2026-01-29,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-28,3037,stock,2026-01-29,2026-01-30,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-29,3037,stock,2026-01-30,2026-02-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-23,3037,stock,2026-01-26,2026-01-27,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-26,3037,stock,2026-01-27,2026-01-28,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-27,3037,stock,2026-01-28,2026-01-29,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-28,3037,stock,2026-01-29,2026-01-30,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-29,3037,stock,2026-01-30,2026-02-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2018-06-08,3090,stock,2018-06-11,2018-06-12,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2018-06-11,3090,stock,2018-06-12,2018-06-13,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2018-06-12,3090,stock,2018-06-13,2018-06-14,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2018-06-13,3090,stock,2018-06-14,2018-06-15,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2018-06-14,3090,stock,2018-06-15,2018-06-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2018-06-08,3090,stock,2018-06-11,2018-06-12,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2018-06-11,3090,stock,2018-06-12,2018-06-13,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2018-06-12,3090,stock,2018-06-13,2018-06-14,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2018-06-13,3090,stock,2018-06-14,2018-06-15,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2018-06-14,3090,stock,2018-06-15,2018-06-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-12-26,3105,stock,2025-12-29,2025-12-30,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-12-29,3105,stock,2025-12-30,2025-12-31,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-12-30,3105,stock,2025-12-31,2026-01-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2025-12-31,3105,stock,2026-01-02,2026-01-05,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-04-10,3163,stock,2026-04-13,2026-04-14,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-04-13,3163,stock,2026-04-14,2026-04-15,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-04-14,3163,stock,2026-04-15,2026-04-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-04-15,3163,stock,2026-04-16,2026-04-17,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-04-16,3163,stock,2026-04-17,2026-04-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2020-01-10,3260,stock,2020-01-13,2020-01-14,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2020-01-13,3260,stock,2020-01-14,2020-01-15,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2020-01-14,3260,stock,2020-01-15,2020-01-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2020-01-10,3260,stock,2020-01-13,2020-01-14,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2020-01-13,3260,stock,2020-01-14,2020-01-15,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2020-01-14,3260,stock,2020-01-15,2020-01-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2020-01-15,3260,stock,2020-01-16,2020-01-17,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2020-01-16,3260,stock,2020-01-17,2020-01-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2016-02-26,3324,stock,2016-03-01,2016-03-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2016-03-01,3324,stock,2016-03-02,2016-03-03,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2016-03-02,3324,stock,2016-03-03,2016-03-04,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2016-03-03,3324,stock,2016-03-04,2016-03-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2016-02-26,3324,stock,2016-03-01,2016-03-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2016-03-01,3324,stock,2016-03-02,2016-03-03,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2016-03-02,3324,stock,2016-03-03,2016-03-04,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2016-03-03,3324,stock,2016-03-04,2016-03-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-02-03,3346,stock,2017-02-06,2017-02-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-02-06,3346,stock,2017-02-07,2017-02-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-02-07,3346,stock,2017-02-08,2017-02-09,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-02-08,3346,stock,2017-02-09,2017-02-10,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-02-09,3346,stock,2017-02-10,2017-02-13,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-02-03,3346,stock,2017-02-06,2017-02-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-02-06,3346,stock,2017-02-07,2017-02-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-02-07,3346,stock,2017-02-08,2017-02-09,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-02-08,3346,stock,2017-02-09,2017-02-10,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-02-09,3346,stock,2017-02-10,2017-02-13,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-09-12,3661,stock,2019-09-16,2019-09-17,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-09-16,3661,stock,2019-09-17,2019-09-18,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-09-17,3661,stock,2019-09-18,2019-09-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-09-18,3661,stock,2019-09-19,2019-09-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-09-19,3661,stock,2019-09-20,2019-09-23,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-09-12,3661,stock,2019-09-16,2019-09-17,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-09-16,3661,stock,2019-09-17,2019-09-18,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-09-17,3661,stock,2019-09-18,2019-09-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-09-18,3661,stock,2019-09-19,2019-09-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2019-09-19,3661,stock,2019-09-20,2019-09-23,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-02,4971,stock,2026-01-05,2026-01-06,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-05,4971,stock,2026-01-06,2026-01-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-06,4971,stock,2026-01-07,2026-01-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-07,4971,stock,2026-01-08,2026-01-09,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-01-08,4971,stock,2026-01-09,2026-01-12,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-02,4971,stock,2026-01-05,2026-01-06,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-05,4971,stock,2026-01-06,2026-01-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-06,4971,stock,2026-01-07,2026-01-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-07,4971,stock,2026-01-08,2026-01-09,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2026-01-08,4971,stock,2026-01-09,2026-01-12,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-10-27,6121,stock,2017-10-30,2017-10-31,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-10-30,6121,stock,2017-10-31,2017-11-01,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-10-31,6121,stock,2017-11-01,2017-11-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-11-01,6121,stock,2017-11-02,2017-11-03,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-11-02,6121,stock,2017-11-03,2017-11-06,official_unadjusted_selected_stock_daily_state_path_diagnostic
