family,date,status,filtered_rows,http_status,response_bytes,source_url,source_hash,retrieval_time_utc,error
price,2026-07-02,accepted,7,200,245971,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260702&type=ALLBUT0999&response=json,5410c99a9dd93b801f2fd33b60566ce9fa949b4c4707e2d79bf52347682d992e,2026-07-21T11:10:16+00:00,
price,2026-07-03,accepted,7,200,246610,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260703&type=ALLBUT0999&response=json,f02eff312f853f0cb9bfc41bc8df5c89923476ed07fe35c5dfd01824566828be,2026-07-21T11:10:19+00:00,
price,2026-07-06,accepted,7,200,246578,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260706&type=ALLBUT0999&response=json,8b4b8a765fddd5c350813797a9a2a9d4d914ed07ebb95226fa4c31d97d595689,2026-07-21T11:10:20+00:00,
price,2026-07-07,accepted,7,200,249194,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260707&type=ALLBUT0999&response=json,e9456e1756e4a8b58ead6b1fed05247dbcb262c736b47b504c3311ebfba6ee27,2026-07-21T11:10:23+00:00,
price,2026-07-08,accepted,7,200,246531,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260708&type=ALLBUT0999&response=json,875bdb39aaf9baf14d2cc77d66ef7cd8b496f5dcb275cdf516600d2d4afce256,2026-07-21T11:10:24+00:00,
price,2026-07-09,accepted,7,200,245865,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260709&type=ALLBUT0999&response=json,72b0afe3926f6b23320b555c9c1b849c5dc129b2946f5eed31a4dde7d62af530,2026-07-21T11:10:26+00:00,
price,2026-07-10,official_no_target_or_market_closed,0,200,71,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260710&type=ALLBUT0999&response=json,a5691b2512d7068ab2f69df75c3ef8fbc38dc565086422b1602656895c92c652,2026-07-21T11:12:19+00:00,
price,2026-07-13,accepted,7,200,247676,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260713&type=ALLBUT0999&response=json,c23b71371c321a7c45f196081f3528593bbd2066a0a6b8c11830d95562a5b936,2026-07-21T11:12:20+00:00,
price,2026-07-14,accepted,7,200,248439,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260714&type=ALLBUT0999&response=json,7b1bd12e551707847efcf170fcc7a9702cb7c5d4fe57c06ebe6871840233cdb8,2026-07-21T11:12:20+00:00,
price,2026-07-15,accepted,7,200,245656,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260715&type=ALLBUT0999&response=json,4c697363988ed6aa5d01deb9a5a09c6b3d3cd6ce45023e433079407321a802f4,2026-07-21T11:12:21+00:00,
price,2026-07-16,accepted,7,200,245658,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260716&type=ALLBUT0999&response=json,5c9494c4e6cbabe85056109ddb57fe0e00c3d002cd6821a3358f5d48833460a4,2026-07-21T11:12:21+00:00,
price,2026-07-17,accepted,7,200,250307,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260717&type=ALLBUT0999&response=json,2277d53258911572166989ef12480fea9d8ace4bfa16f8245c02d992491b7950,2026-07-21T11:12:22+00:00,
price,2026-07-20,accepted,7,200,247240,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260720&type=ALLBUT0999&response=json,5f82aabb0bb237a2de700811971dd0e2c2d759427e9cd509357af6cea05775f8,2026-07-21T11:12:22+00:00,
institutional,2025-07-18,accepted,7,200,177852,https://www.twse.com.tw/fund/T86?date=20250718&selectType=ALLBUT0999&response=json,9a6fac1fa43f181c737c45026992a2e2ec96e92b8e6c8be303156686f94e791c,2026-07-21T11:12:23+00:00,
institutional,2025-07-30,accepted,6,200,174360,https://www.twse.com.tw/fund/T86?date=20250730&selectType=ALLBUT0999&response=json,9602dc1625f3dc8123bef81449d587bd3d021456b547121349becf5f2b0bcdac,2026-07-21T11:12:24+00:00,
institutional,2025-12-11,accepted,7,200,182243,https://www.twse.com.tw/fund/T86?date=20251211&selectType=ALLBUT0999&response=json,b6bfef6dc01769369b7efe153a4449b8c21438241fbc99aa0de2de8fd71b388a,2026-07-21T11:12:28+00:00,
institutional,2026-01-30,accepted,7,200,190530,https://www.twse.com.tw/fund/T86?date=20260130&selectType=ALLBUT0999&response=json,d8d4f6333c084de576eab84bd9abeee153022b46412beff9683db09ca992c839,2026-07-21T11:12:30+00:00,
institutional,2026-06-22,accepted,7,200,198236,https://www.twse.com.tw/fund/T86?date=20260622&selectType=ALLBUT0999&response=json,312acbecc697b6e6da24d45886fb5108f2d57091e3c4f9933c5842a4eedf8a03,2026-07-21T11:12:32+00:00,
institutional,2026-06-23,accepted,7,200,196587,https://www.twse.com.tw/fund/T86?date=20260623&selectType=ALLBUT0999&response=json,5049057b1d90d23f96c37ec5be4418865c55b9540eb983e01acab3597b532dea,2026-07-21T11:12:35+00:00,
institutional,2026-06-24,accepted,7,200,196109,https://www.twse.com.tw/fund/T86?date=20260624&selectType=ALLBUT0999&response=json,5569105c7c151981496b7337f317e3d49fccb64d84fb28784341fe3e7c138cf3,2026-07-21T11:12:40+00:00,
institutional,2026-06-25,accepted,7,200,194461,https://www.twse.com.tw/fund/T86?date=20260625&selectType=ALLBUT0999&response=json,039a685b78935857eaf3a4e1db0003d9630f4f6d093675e38235cebe966e343e,2026-07-21T11:12:45+00:00,
institutional,2026-06-26,accepted,7,200,200936,https://www.twse.com.tw/fund/T86?date=20260626&selectType=ALLBUT0999&response=json,a12a7f1052d569f6f79175926c3f762da1c8760800e8e6665abde1678386544d,2026-07-21T11:12:50+00:00,
institutional,2026-06-29,accepted,7,200,193485,https://www.twse.com.tw/fund/T86?date=20260629&selectType=ALLBUT0999&response=json,1b233f0780359a56a97230f9391d52f27c9562a28af073342871a2ed308f2450,2026-07-21T11:12:53+00:00,
institutional,2026-06-30,accepted,7,200,193682,https://www.twse.com.tw/fund/T86?date=20260630&selectType=ALLBUT0999&response=json,4d48e6ddad517f23460b0896203dc3c56f40353ccea2d67f2bfc5fe6175f9fb0,2026-07-21T11:13:00+00:00,
institutional,2026-07-01,accepted,7,200,197344,https://www.twse.com.tw/fund/T86?date=20260701&selectType=ALLBUT0999&response=json,ade6e934977028c7e4d78757315d012744c8e9ac2491ca90dddccb3abb112602,2026-07-21T11:13:01+00:00,
institutional,2026-07-02,accepted,7,200,194434,https://www.twse.com.tw/fund/T86?date=20260702&selectType=ALLBUT0999&response=json,2134096c403d06c991039829138dd8803b2f16ca647bc65540e8ae0ba80d2e62,2026-07-21T11:13:07+00:00,
institutional,2026-07-03,accepted,7,200,196304,https://www.twse.com.tw/fund/T86?date=20260703&selectType=ALLBUT0999&response=json,d2f047335fa2871b89bf7b130637a00bb695adfa1260d58234a9866a9700c87b,2026-07-21T11:13:09+00:00,
institutional,2026-07-06,accepted,7,200,196300,https://www.twse.com.tw/fund/T86?date=20260706&selectType=ALLBUT0999&response=json,153d8611bb5465b29c0f10263a8fae122bab6ff4881af56f8bde43dd8527d064,2026-07-21T11:13:14+00:00,
institutional,2026-07-07,accepted,7,200,199292,https://www.twse.com.tw/fund/T86?date=20260707&selectType=ALLBUT0999&response=json,463661b1bdadcbdcbb5662c92e6974f08aa6827820db4e63ed6bbd6724705abf,2026-07-21T11:13:17+00:00,
institutional,2026-07-08,accepted,7,200,197960,https://www.twse.com.tw/fund/T86?date=20260708&selectType=ALLBUT0999&response=json,6d7848d1d24c24fa7b11364b69ff7c703f6fa46be01f6976a6a26795f48b92f1,2026-07-21T11:13:19+00:00,
institutional,2026-07-09,accepted,7,200,198986,https://www.twse.com.tw/fund/T86?date=20260709&selectType=ALLBUT0999&response=json,f92cbbb8085851289bd601b4e547da30673479a92809eba0cb89c2ff678807d5,2026-07-21T11:13:23+00:00,
institutional,2026-07-13,accepted,7,200,200114,https://www.twse.com.tw/fund/T86?date=20260713&selectType=ALLBUT0999&response=json,27410af7482e3284ef66f863fccc9c3f78d8f45819e2aa1ff588b8344519700a,2026-07-21T11:08:56+00:00,
institutional,2026-07-14,accepted,7,200,203833,https://www.twse.com.tw/fund/T86?date=20260714&selectType=ALLBUT0999&response=json,9ea85f5293a3b0436fc24c2795448a5fa6f6b8c1f735465ebde7d75b9a75940a,2026-07-21T11:08:58+00:00,
institutional,2026-07-15,accepted,7,200,200117,https://www.twse.com.tw/fund/T86?date=20260715&selectType=ALLBUT0999&response=json,e75784f1e71295610f40dfe87679fc9850a59dd2ec608bf82b37e0a1b978bfef,2026-07-21T11:09:01+00:00,
institutional,2026-07-16,accepted,7,200,196347,https://www.twse.com.tw/fund/T86?date=20260716&selectType=ALLBUT0999&response=json,5eb6b0efbf734cc9a301c0b002ed99e84b42db69072fd4c4c94d577bbc3db7fa,2026-07-21T11:09:06+00:00,
institutional,2026-07-17,accepted,7,200,205074,https://www.twse.com.tw/fund/T86?date=20260717&selectType=ALLBUT0999&response=json,1063e896f6364738217254b94f521386c7b7002a9f0181168e47450dbf4fba4b,2026-07-21T11:09:09+00:00,
institutional,2026-07-20,accepted,7,200,201990,https://www.twse.com.tw/fund/T86?date=20260720&selectType=ALLBUT0999&response=json,5797960e68cf88f16b94c6ef992db056527ab6ec9937993c34fa05d622c0f89c,2026-07-21T11:09:13+00:00,
margin,2026-06-22,accepted,7,200,127903,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260622&selectType=ALL&response=json,4a8f7283fbc3155e41b6b3ef853badfea22d380c130b7378efe73d562ff989c0,2026-07-21T11:09:15+00:00,
margin,2026-06-23,accepted,7,200,127641,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260623&selectType=ALL&response=json,c2ece970d59dd6686e8e1709853735974a75d227e4d1a57fadca3192618f3ba6,2026-07-21T11:09:16+00:00,
margin,2026-06-24,accepted,7,200,127395,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260624&selectType=ALL&response=json,0e50875aa75f8077a7ce70f832b350b8403d4c6f628a071611be4b6a1a973603,2026-07-21T11:09:17+00:00,
margin,2026-06-25,accepted,7,200,127288,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260625&selectType=ALL&response=json,e254be0cd2d6f3667c2e0c5c401b8902d565a718b51da56d9170350b92d14c60,2026-07-21T11:09:18+00:00,
margin,2026-06-26,accepted,7,200,127731,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260626&selectType=ALL&response=json,d4b28e4f769d1c35d2ef7024f4d9b43ce95cdeb404a25e083e7d0f6857e54ddd,2026-07-21T11:09:18+00:00,
margin,2026-06-29,accepted,7,200,127116,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260629&selectType=ALL&response=json,2fb5795dc3ea010901b8a1edcc75b5b98eac1063b9563cae4a073fc9eac17bf6,2026-07-21T11:09:20+00:00,
margin,2026-06-30,accepted,7,200,127308,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260630&selectType=ALL&response=json,b8342f43d1c4230ed8a1583caa96dca785a1cd194c79e8d5da4aa90300dcba54,2026-07-21T11:09:21+00:00,
margin,2026-07-01,accepted,7,200,127540,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260701&selectType=ALL&response=json,26bf3975e205016ab672162b671d228c462c8095fea7c47619f9ecc81b3223c2,2026-07-21T11:09:23+00:00,
margin,2026-07-02,accepted,7,200,127505,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260702&selectType=ALL&response=json,35ace90c3115a96c461c0b287b2dfd8875cec468ecdfd2287fe0b07f49f28791,2026-07-21T11:09:26+00:00,
margin,2026-07-03,accepted,7,200,127737,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260703&selectType=ALL&response=json,fc061ede79929ebe45b685693f0491b06b1c4de9ccc72c6c068214b9696c625d,2026-07-21T11:09:28+00:00,
margin,2026-07-06,accepted,7,200,127714,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260706&selectType=ALL&response=json,044cdd79ee411a26a89c2e2f70325ac3969ae8c15ea6ee550e223770e3005566,2026-07-21T11:09:35+00:00,
margin,2026-07-07,accepted,7,200,127890,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260707&selectType=ALL&response=json,60259d1c4fca0d4e912c53bd54086863ce73ef8d2dfefe0dac235264d01db477,2026-07-21T11:09:37+00:00,
margin,2026-07-08,accepted,7,200,127490,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260708&selectType=ALL&response=json,473d6f1ac0f4a380daa55b552fcb2f62b5e77afc2362c68b52c2dc887143c106,2026-07-21T11:09:40+00:00,
margin,2026-07-09,accepted,7,200,127327,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260709&selectType=ALL&response=json,11fba4b786e29e61f20997e3cd7961bcd86f6fb26e560931bad2f87c71e5fec9,2026-07-21T11:09:41+00:00,
margin,2026-07-13,accepted,7,200,127772,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260713&selectType=ALL&response=json,4cca577fd4cebaf302eb857594fdc09d22fd30f03ec170ad4369c0e6464c987b,2026-07-21T11:09:43+00:00,
margin,2026-07-14,accepted,7,200,128279,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260714&selectType=ALL&response=json,3841e44006965799101146cc0fb344cc4d89547496be954499f137ab5954e3bd,2026-07-21T11:09:47+00:00,
margin,2026-07-15,accepted,7,200,127345,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260715&selectType=ALL&response=json,3c5e5d02c9f66770bf1b6ded163d667caccec05f22e918fbfb932f4cb7702a9e,2026-07-21T11:09:49+00:00,
margin,2026-07-16,accepted,7,200,127452,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260716&selectType=ALL&response=json,39049e5c9bc79595ce43054e3928f2d59c7a20e5b85c7b4fe58383167cf3d48e,2026-07-21T11:09:51+00:00,
margin,2026-07-17,accepted,7,200,128402,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260717&selectType=ALL&response=json,38f3f6447aa001bf8882a344d9b5bc5f97f6e26cca0c1768a337156074bb6c9d,2026-07-21T11:09:58+00:00,
margin,2026-07-20,accepted,7,200,127903,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260720&selectType=ALL&response=json,feed6b0c7fb92874317bf4eb5ca17a3f6b901a46ca9d9f1348544ea487dc3f7b,2026-07-21T11:10:00+00:00,
