ticker,name,market,universe_source,source_id,source_date,universe_quality,usable_for_sampling,usable_for_historical_membership,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage,sample_phase,sample_policy,source_universe_quality,historical_pit_universe_ready,diagnostic_only
3630,新鉅科,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
3680,家登,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
3710,連展投控,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_cmode_current,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4116,明基醫,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4131,浩泰,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4162,智擎,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4183,福永生技,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4401,東隆興,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4432,銘旺實,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4527,方方土霖,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4542,科嶠,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4568,科際精密,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
4714,永捷,TPEx,radar_dynamic_pool1_listing_master_completion_20260703/proxy_source_rows.csv,tpex_current_company_profile,2026-07-03,current_or_special_case_snapshot_not_historical_pit,True,False,0,False,False,False,False,False,False,True,False,phase_2_tpex_100x4_recent,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,True
