ticker,name,market,report_period,t164sb05_status,t164sb03_status,official_asof_match_status,operating_cash_flow,investing_cash_flow,capex_proxy,inventory,receivables_trade,current_assets,current_liabilities,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
3339,泰谷,TPEx,115Q1,code=200 rows=48,code=200 rows=56,accepted,-40058,-57234,-20365,139134,227181,778594,552888,False,False,False,False,False,False,True,False
3339,泰谷,TPEx,114Q4,code=200 rows=54,code=200 rows=57,accepted,-51340,-186717,-15756,111188,215807,723563,469751,False,False,False,False,False,False,True,False
3339,泰谷,TPEx,114Q3,code=200 rows=52,code=200 rows=55,blocked_unmatched_or_ambiguous,-17866,-115267,-20616,111463,265963,694411,317402,False,False,False,False,False,False,True,False
3339,泰谷,TPEx,114Q2,code=200 rows=52,code=200 rows=56,blocked_unmatched_or_ambiguous,-9482,-100870,-15148,101307,222466,663943,260022,False,False,False,False,False,False,True,False
3374,精材,TPEx,115Q1,code=200 rows=45,code=200 rows=45,blocked_unmatched_or_ambiguous,960725,-887418,-905573,199050,236948,7919873,2468491,False,False,False,False,False,False,True,False
3374,精材,TPEx,114Q4,code=200 rows=49,code=200 rows=45,accepted,1865575,-2829548,-2944748,193265,249750,6391546,2553241,False,False,False,False,False,False,True,False
3374,精材,TPEx,114Q3,code=200 rows=48,code=200 rows=45,accepted,926087,-2183170,-2284573,202644,283623,5933268,2625207,False,False,False,False,False,False,True,False
3374,精材,TPEx,114Q2,code=200 rows=47,code=200 rows=45,accepted,898033,-1627689,-1679727,192806,229811,6062248,3512187,False,False,False,False,False,False,True,False
3444,利機,TPEx,115Q1,code=200 rows=47,code=200 rows=54,accepted,-14930,-5864,-3783,74123,351328,983465,416235,False,False,False,False,False,False,True,False
3444,利機,TPEx,114Q4,code=200 rows=59,code=200 rows=54,accepted,121789,150831,-15118,65653,402328,1046588,410635,False,False,False,False,False,False,True,False
3444,利機,TPEx,114Q3,code=200 rows=57,code=200 rows=55,accepted,80165,155635,-10109,55832,343696,947641,334438,False,False,False,False,False,False,True,False
3444,利機,TPEx,114Q2,code=200 rows=55,code=200 rows=54,accepted,6091,161845,-4764,50390,445834,1057994,453612,False,False,False,False,False,False,True,False
3489,森寶,TPEx,115Q1,code=200 rows=43,code=200 rows=50,blocked_unmatched_or_ambiguous,-93181,13,0,3070919,,3946824,2933173,False,False,False,False,False,False,True,False
3489,森寶,TPEx,114Q4,code=200 rows=47,code=200 rows=52,blocked_unmatched_or_ambiguous,-383936,-150038,-153,2965363,0,3724968,2709039,False,False,False,False,False,False,True,False
3489,森寶,TPEx,114Q3,code=200 rows=49,code=200 rows=53,blocked_unmatched_or_ambiguous,-341689,-150047,-152,2832211,0,3681976,2669769,False,False,False,False,False,False,True,False
3489,森寶,TPEx,114Q2,code=200 rows=47,code=200 rows=53,blocked_unmatched_or_ambiguous,-169642,-150048,-153,2685369,0,3707746,2694510,False,False,False,False,False,False,True,False
3516,亞帝歐,TPEx,115Q1,code=200 rows=56,code=200 rows=69,accepted,90949,-209049,-168555,188269,267226,744973,345646,False,False,False,False,False,False,True,False
3516,亞帝歐,TPEx,114Q4,code=200 rows=68,code=200 rows=69,accepted,54557,-193436,-479918,208724,339414,879318,415126,False,False,False,False,False,False,True,False
3516,亞帝歐,TPEx,114Q3,code=200 rows=64,code=200 rows=69,accepted,39374,-121219,-404366,210031,342125,930851,343436,False,False,False,False,False,False,True,False
3516,亞帝歐,TPEx,114Q2,code=200 rows=59,code=200 rows=71,accepted,98292,6724,-135154,183914,247948,1100111,264073,False,False,False,False,False,False,True,False
3537,堡達,TPEx,115Q1,code=200 rows=57,code=200 rows=61,accepted,230140,-12,0,235744,950707,1717875,575217,False,False,False,False,False,False,True,False
3537,堡達,TPEx,114Q4,code=200 rows=61,code=200 rows=61,accepted,227271,1242,-754,340032,988080,1752249,689480,False,False,False,False,False,False,True,False
3537,堡達,TPEx,114Q3,code=200 rows=54,code=200 rows=55,accepted,261543,1266,-754,335259,966988,1849025,871093,False,False,False,False,False,False,True,False
3537,堡達,TPEx,114Q2,code=200 rows=53,code=200 rows=55,accepted,234158,1035,-435,284483,919808,1659906,763675,False,False,False,False,False,False,True,False
3558,神準,TPEx,115Q1,code=200 rows=58,code=200 rows=66,accepted,-168419,-132956,-228679,2356189,1679298,7434955,5230619,False,False,False,False,False,False,True,False
3558,神準,TPEx,114Q4,code=200 rows=64,code=200 rows=67,accepted,498752,-1210683,-1079089,2076303,2209638,8429284,5548908,False,False,False,False,False,False,True,False
3558,神準,TPEx,114Q3,code=200 rows=59,code=200 rows=64,accepted,880407,-811154,-788380,1892887,2054612,8508818,5598654,False,False,False,False,False,False,True,False
3558,神準,TPEx,114Q2,code=200 rows=57,code=200 rows=65,accepted,256055,-500972,-491058,1912337,2332279,8415784,5480161,False,False,False,False,False,False,True,False
3597,映興,TPEx,115Q1,code=200 rows=52,code=200 rows=67,accepted,42643,-5862,-3758,100626,238033,654299,273656,False,False,False,False,False,False,True,False
3597,映興,TPEx,114Q4,code=200 rows=65,code=200 rows=67,accepted,45683,-540094,-583164,99782,287899,676686,297528,False,False,False,False,False,False,True,False
3597,映興,TPEx,114Q3,code=200 rows=62,code=200 rows=66,accepted,58069,-535834,-581282,113756,255714,663167,294383,False,False,False,False,False,False,True,False
3597,映興,TPEx,114Q2,code=200 rows=57,code=200 rows=66,accepted,56071,-67594,-114486,95737,214493,614901,318897,False,False,False,False,False,False,True,False
3630,新鉅科,TPEx,115Q1,code=200 rows=54,code=200 rows=55,accepted,-75208,-128466,-103941,286340,538499,2523469,862043,False,False,False,False,False,False,True,False
3630,新鉅科,TPEx,114Q4,code=200 rows=63,code=200 rows=54,blocked_unmatched_or_ambiguous,19627,2127184,-888232,424989,462944,2393226,1035816,False,False,False,False,False,False,True,False
3630,新鉅科,TPEx,114Q3,code=200 rows=62,code=200 rows=54,accepted,-59999,2189791,-808992,355924,528859,2456933,938839,False,False,False,False,False,False,True,False
3630,新鉅科,TPEx,114Q2,code=200 rows=64,code=200 rows=54,accepted,143763,2212224,-740513,319669,456757,2606831,1017708,False,False,False,False,False,False,True,False
3680,家登,TPEx,115Q1,code=200 rows=71,code=200 rows=67,accepted,356817,237306,-326719,2339085,1399488,10854114,5410969,False,False,False,False,False,False,True,False
3680,家登,TPEx,114Q4,code=200 rows=82,code=200 rows=67,accepted,1390836,-2501612,-1735292,2067754,1576237,10379767,3861736,False,False,False,False,False,False,True,False
3680,家登,TPEx,114Q3,code=200 rows=80,code=200 rows=68,accepted,608139,-1824437,-1219859,2266773,1388301,9304382,3267167,False,False,False,False,False,False,True,False
3680,家登,TPEx,114Q2,code=200 rows=76,code=200 rows=70,accepted,472841,-1141548,-717145,2253091,1241750,9123608,3813716,False,False,False,False,False,False,True,False
3710,連展投控,TPEx,115Q1,code=200 rows=57,code=200 rows=58,accepted,-55395,-132097,-103025,1172487,2218058,4553703,5267559,False,False,False,False,False,False,True,False
3710,連展投控,TPEx,114Q4,code=200 rows=61,code=200 rows=57,accepted,175980,-370452,-596778,1114348,2175382,4433627,4693079,False,False,False,False,False,False,True,False
3710,連展投控,TPEx,114Q3,code=200 rows=63,code=200 rows=63,accepted,267632,-192815,-408071,989631,2005003,4263457,4339803,False,False,False,False,False,False,True,False
3710,連展投控,TPEx,114Q2,code=200 rows=61,code=200 rows=64,accepted,343839,-28341,-283674,915145,1866682,4059382,4175289,False,False,False,False,False,False,True,False
4116,明基醫,TPEx,115Q1,code=200 rows=63,code=200 rows=58,accepted,29955,-187730,-11540,906623,1003578,3644967,2288186,False,False,False,False,False,False,True,False
4116,明基醫,TPEx,114Q4,code=200 rows=69,code=200 rows=58,accepted,358753,-79759,-93909,892879,952020,3692605,2277276,False,False,False,False,False,False,True,False
4116,明基醫,TPEx,114Q3,code=200 rows=65,code=200 rows=59,accepted,251796,-24767,-63261,879150,896435,3507711,1919293,False,False,False,False,False,False,True,False
4116,明基醫,TPEx,114Q2,code=200 rows=62,code=200 rows=59,accepted,133103,-52928,-55072,875964,941506,3111891,1964586,False,False,False,False,False,False,True,False
4131,浩泰,TPEx,115Q1,code=200 rows=58,code=200 rows=60,accepted,-27083,-42475,-43921,107285,36760,231778,186229,False,False,False,False,False,False,True,False
4131,浩泰,TPEx,114Q4,code=200 rows=63,code=200 rows=59,accepted,-20583,-63208,-3681,110743,37779,275750,199394,False,False,False,False,False,False,True,False
4131,浩泰,TPEx,114Q3,code=200 rows=61,code=200 rows=60,accepted,-10381,-62707,-3600,108301,25256,271419,187517,False,False,False,False,False,False,True,False
4131,浩泰,TPEx,114Q2,code=200 rows=61,code=200 rows=60,accepted,9311,-62831,-2346,100753,15583,270514,170613,False,False,False,False,False,False,True,False
4162,智擎,TPEx,115Q1,code=200 rows=39,code=200 rows=51,accepted,260587,-515673,,23685,60949,5218641,178937,False,False,False,False,False,False,True,False
4162,智擎,TPEx,114Q4,code=200 rows=42,code=200 rows=52,accepted,1726850,-266655,-280,39871,83888,5084842,187146,False,False,False,False,False,False,True,False
4162,智擎,TPEx,114Q3,code=200 rows=40,code=200 rows=51,accepted,1598587,-220579,-280,21997,73345,4890334,112333,False,False,False,False,False,False,True,False
4162,智擎,TPEx,114Q2,code=200 rows=41,code=200 rows=53,accepted,1545577,234949,-165,35518,62437,5691018,1057313,False,False,False,False,False,False,True,False
4183,福永生技,TPEx,115Q1,code=200 rows=41,code=200 rows=44,accepted,-22132,-4379,-1529,95420,118991,318144,130684,False,False,False,False,False,False,True,False
4183,福永生技,TPEx,114Q4,code=200 rows=48,code=200 rows=47,accepted,603,-23969,-19259,73244,150351,355472,154616,False,False,False,False,False,False,True,False
4183,福永生技,TPEx,114Q3,code=200 rows=45,code=200 rows=44,accepted,16656,-12611,-10520,96824,126928,346603,142652,False,False,False,False,False,False,True,False
4183,福永生技,TPEx,114Q2,code=200 rows=43,code=200 rows=44,accepted,9813,-10333,-2735,96540,136639,365082,166765,False,False,False,False,False,False,True,False
4401,東隆興,TPEx,115Q1,code=200 rows=66,code=200 rows=63,accepted,150289,-190047,-60895,1098155,345151,2509035,2113252,False,False,False,False,False,False,True,False
4401,東隆興,TPEx,114Q4,code=200 rows=72,code=200 rows=65,accepted,573920,-197037,-166270,1165993,321545,2398173,2001121,False,False,False,False,False,False,True,False
4401,東隆興,TPEx,114Q3,code=200 rows=75,code=200 rows=62,blocked_unmatched_or_ambiguous,397586,-179895,-137560,1224906,381825,2550897,2207916,False,False,False,False,False,False,True,False
4401,東隆興,TPEx,114Q2,code=200 rows=66,code=200 rows=63,blocked_unmatched_or_ambiguous,197334,-85549,-56549,1288811,347791,2554389,2241404,False,False,False,False,False,False,True,False
4432,銘旺實,TPEx,115Q1,code=200 rows=53,code=200 rows=59,accepted,84516,71358,-3783,222348,80653,1642764,307638,False,False,False,False,False,False,True,False
4432,銘旺實,TPEx,114Q4,code=200 rows=53,code=200 rows=59,accepted,367,-378316,-23850,231233,123039,1503780,299214,False,False,False,False,False,False,True,False
4432,銘旺實,TPEx,114Q3,code=200 rows=51,code=200 rows=56,accepted,-129962,-410062,-17656,268582,208398,1476440,378813,False,False,False,False,False,False,True,False
4432,銘旺實,TPEx,114Q2,code=200 rows=50,code=200 rows=56,accepted,-173640,-328739,-11583,225364,189789,1280181,245522,False,False,False,False,False,False,True,False
4527,方方土霖,TPEx,115Q1,code=200 rows=51,code=200 rows=61,accepted,328234,-20215,-15020,555582,510266,2535799,1386142,False,False,False,False,False,False,True,False
4527,方方土霖,TPEx,114Q4,code=200 rows=61,code=200 rows=61,accepted,435342,-50550,-36646,458504,887162,2613579,1278645,False,False,False,False,False,False,True,False
4527,方方土霖,TPEx,114Q3,code=200 rows=61,code=200 rows=61,blocked_unmatched_or_ambiguous,218851,-38451,-31582,648103,604951,2312718,1151324,False,False,False,False,False,False,True,False
4527,方方土霖,TPEx,114Q2,code=200 rows=59,code=200 rows=61,blocked_unmatched_or_ambiguous,118697,-21031,-18514,559573,598993,2146983,1048755,False,False,False,False,False,False,True,False
4542,科嶠,TPEx,115Q1,code=200 rows=53,code=200 rows=68,blocked_unmatched_or_ambiguous,-40835,-572,-273,561028,262376,1340207,909353,False,False,False,False,False,False,True,False
4542,科嶠,TPEx,114Q4,code=200 rows=62,code=200 rows=66,blocked_unmatched_or_ambiguous,32400,40146,-37931,482433,216785,1216715,945949,False,False,False,False,False,False,True,False
4542,科嶠,TPEx,114Q3,code=200 rows=61,code=200 rows=66,blocked_unmatched_or_ambiguous,34302,42371,-35721,390581,202687,1119044,866598,False,False,False,False,False,False,True,False
4542,科嶠,TPEx,114Q2,code=200 rows=62,code=200 rows=67,blocked_unmatched_or_ambiguous,666,45604,-35852,313008,179612,956732,478390,False,False,False,False,False,False,True,False
4568,科際精密,TPEx,115Q1,code=200 rows=49,code=200 rows=51,accepted,55230,-33102,-22290,209034,268555,1150107,400160,False,False,False,False,False,False,True,False
4568,科際精密,TPEx,114Q4,code=200 rows=54,code=200 rows=48,accepted,77860,-48131,-46004,207556,334667,1139195,416381,False,False,False,False,False,False,True,False
4568,科際精密,TPEx,114Q3,code=200 rows=54,code=200 rows=49,blocked_unmatched_or_ambiguous,17147,-32608,-35993,204092,324965,1066790,404110,False,False,False,False,False,False,True,False
4568,科際精密,TPEx,114Q2,code=200 rows=53,code=200 rows=49,blocked_unmatched_or_ambiguous,-19314,-31379,-27821,157235,298760,892006,265789,False,False,False,False,False,False,True,False
4714,永捷,TPEx,115Q1,code=200 rows=67,code=200 rows=61,accepted,106631,-221467,-6508,4010479,230095,6672073,3091297,False,False,False,False,False,False,True,False
4714,永捷,TPEx,114Q4,code=200 rows=75,code=200 rows=59,accepted,-56913,692607,-40431,4245222,209184,6933531,3102349,False,False,False,False,False,False,True,False
4714,永捷,TPEx,114Q3,code=200 rows=72,code=200 rows=59,accepted,-255624,1684826,-35095,4310641,284253,7567386,3252672,False,False,False,False,False,False,True,False
4714,永捷,TPEx,114Q2,code=200 rows=65,code=200 rows=61,accepted,-254519,-638682,-29595,4291151,246262,7271231,3521189,False,False,False,False,False,False,True,False
4744,皇將,TPEx,115Q1,code=200 rows=56,code=200 rows=59,accepted,69125,-62116,-2877,459542,94661,1238549,724583,False,False,False,False,False,False,True,False
4744,皇將,TPEx,114Q4,code=200 rows=64,code=200 rows=59,accepted,53449,-54951,-80060,426704,154611,1245585,582914,False,False,False,False,False,False,True,False
4744,皇將,TPEx,114Q3,code=200 rows=59,code=200 rows=60,accepted,-27945,-27896,-5229,520245,102475,1279878,724529,False,False,False,False,False,False,True,False
4744,皇將,TPEx,114Q2,code=200 rows=58,code=200 rows=59,accepted,-50500,-22289,-4148,477357,129860,1240741,730697,False,False,False,False,False,False,True,False
4804,大略-KY,TPEx,115Q1,code=200 rows=45,code=200 rows=46,accepted,9448,-48602,-26056,2549,15047,56020,203181,False,False,False,False,False,False,True,False
4804,大略-KY,TPEx,114Q4,code=200 rows=47,code=200 rows=49,blocked_unmatched_or_ambiguous,22906,-60308,-7340,2534,13993,66630,187078,False,False,False,False,False,False,True,False
4804,大略-KY,TPEx,114Q3,code=200 rows=46,code=200 rows=47,accepted,15634,-29686,-7267,2278,13584,58987,171388,False,False,False,False,False,False,True,False
4804,大略-KY,TPEx,114Q2,code=200 rows=44,code=200 rows=54,accepted,13407,-7717,-7380,2228,13217,52576,182348,False,False,False,False,False,False,True,False
4924,欣厚-KY,TPEx,115Q1,code=200 rows=48,code=200 rows=49,accepted,11434,-12344,-12598,88506,141057,278475,260556,False,False,False,False,False,False,True,False
4924,欣厚-KY,TPEx,114Q4,code=200 rows=49,code=200 rows=50,accepted,61768,-52062,-46899,108683,79480,236964,218112,False,False,False,False,False,False,True,False
4924,欣厚-KY,TPEx,114Q3,code=200 rows=48,code=200 rows=49,accepted,42250,-65462,-39460,66263,111730,251605,235117,False,False,False,False,False,False,True,False
4924,欣厚-KY,TPEx,114Q2,code=200 rows=50,code=200 rows=48,accepted,37150,-38873,-14321,62877,64905,245959,219088,False,False,False,False,False,False,True,False
4971,IET-KY,TPEx,115Q1,code=200 rows=45,code=200 rows=57,accepted,30514,-74375,-100106,246961,307670,884700,199258,False,False,False,False,False,False,True,False
4971,IET-KY,TPEx,114Q4,code=200 rows=47,code=200 rows=55,accepted,234841,-292060,-260754,228639,229967,792246,120654,False,False,False,False,False,False,True,False
4971,IET-KY,TPEx,114Q3,code=200 rows=45,code=200 rows=55,accepted,171819,-201230,-205160,209744,182237,672952,99897,False,False,False,False,False,False,True,False
4971,IET-KY,TPEx,114Q2,code=200 rows=42,code=200 rows=54,accepted,121403,-179467,-155229,195527,152441,609742,90025,False,False,False,False,False,False,True,False
5013,強新,TPEx,115Q1,code=200 rows=60,code=200 rows=65,accepted,153102,-64321,-54938,2152830,1337871,5048193,1757234,False,False,False,False,False,False,True,False
5013,強新,TPEx,114Q4,code=200 rows=65,code=200 rows=65,accepted,898355,-218632,-251185,1861836,1440722,4892410,1652472,False,False,False,False,False,False,True,False
5013,強新,TPEx,114Q3,code=200 rows=65,code=200 rows=65,accepted,931784,-65121,-181404,1775099,1440247,4888892,1776563,False,False,False,False,False,False,True,False
