date,ticker,name,market,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,adjustment_policy
2024-03-18,5258,虹堡,TWSE,136.0,138.0,134.5,137.0,2196506,299988939,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-19,5258,虹堡,TWSE,136.5,138.0,135.5,138.0,2062738,282625402,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-20,5258,虹堡,TWSE,139.5,140.5,133.0,133.5,3738949,511098109,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-21,5258,虹堡,TWSE,136.0,136.0,132.0,133.0,2045528,272962611,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-22,5258,虹堡,TWSE,133.5,136.5,132.5,136.0,1536180,207300737,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-25,5258,虹堡,TWSE,136.5,148.5,136.5,147.5,11453244,1636735886,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-26,5258,虹堡,TWSE,147.0,147.0,139.5,142.0,6600549,945071875,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-27,5258,虹堡,TWSE,143.0,145.5,140.0,141.5,3553350,506896094,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-28,5258,虹堡,TWSE,143.0,147.0,139.0,140.0,5323350,756318776,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
2024-03-29,5258,虹堡,TWSE,141.0,143.5,139.5,140.0,2267441,320245218,TWSE_STOCK_DAY_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=5258&response=json,official_exact_unadjusted_execution_ohlcv,official_raw_unadjusted_execution_price
