symbol,name,theme,role,formal_ohlcv_available,formal_status
3006,晶豪科,記憶體,記憶體 IC,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3015,全漢,電源/BBU,電源供應器,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3035,智原,ASIC/IP,ASIC/IP,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3037,欣興,PCB/載板,ABF 載板/PCB,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3044,健鼎,PCB/載板,PCB,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3081,聯亞,CPO/矽光子,光通訊磊晶,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3163,波若威,CPO/矽光子,光通訊/CPO,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3189,景碩,PCB/載板,IC 載板,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3211,順達,電源/BBU,電池模組,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3231,緯創,AI伺服器/ODM,AI 伺服器 ODM,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3234,光環,CPO/矽光子,光通訊元件,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3260,威剛,記憶體,記憶體模組,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3323,加百裕,電源/BBU,電池模組,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3363,上詮,CPO/矽光子,光纖元件,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3443,創意,ASIC/IP,ASIC 設計服務,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3450,聯鈞,CPO/矽光子,光通訊元件,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3529,力旺,ASIC/IP,矽智財,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3552,同致,車用電子,車用感測,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3661,世芯-KY,ASIC/IP,ASIC 設計服務,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
3665,貿聯-KY,車用電子,車用/高速連接線,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
4576,大銀微系統,機器人/自動化,線性傳動,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
4908,前鼎,CPO/矽光子,光通訊模組,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
4931,新盛力,電源/BBU,電池模組/BBU,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
4958,臻鼎-KY,PCB/載板,PCB,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
4977,眾達-KY,CPO/矽光子,光收發模組,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
4979,華星光,CPO/矽光子,光通訊模組,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
5274,信驊,ASIC/IP,伺服器管理 IC,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
5439,高技,PCB/載板,PCB,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6166,凌華,機器人/自動化,工業電腦/控制,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6213,聯茂,PCB/載板,CCL,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6274,台燿,PCB/載板,CCL,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6279,胡連,車用電子,車用連接器,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6412,群電,電源/BBU,電源供應器,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6442,光聖,CPO/矽光子,光通訊元件,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6451,訊芯-KY,CPO/矽光子,光通訊封裝,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6531,愛普*,記憶體,記憶體 IP/AI 記憶體,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6669,緯穎,AI伺服器/ODM,AI 伺服器整機,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
6770,力積電,記憶體,記憶體代工/晶圓代工,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
8046,南電,PCB/載板,ABF 載板,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
8088,品安,記憶體,記憶體模組,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
8271,宇瞻,記憶體,記憶體模組,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
8299,群聯,記憶體,NAND 控制 IC,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
8358,金居,PCB/載板,銅箔/材料,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
