family,market,source_url,http_status,response_bytes,source_hash,retrieved_at,status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
margin_short,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/balance,200,106138,1d4ad61c068909cdc8ae193439f1a28fdcf6f43247f18f267d3086058ca9becc,,accepted,,,,,,,,,
securities_lending,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/sbl,200,98622,ea723235524c6347153805d165c0240b6c6bb16896f55ee15edc26ffa5295636,,accepted,,,,,,,,,
foreign_ownership,TWSE,https://www.twse.com.tw/fund/MI_QFIIS?response=json&date=20260703&selectType=ALLBUT0999,200,,cee61d78b2a90e44496fbcfec6592e7d1de1061aff46017ac921cacc57661382,,accepted,,,,,,,,,
foreign_ownership,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/qfii?date=2026%2F07%2F03&response=json,200,,ad50eef253d0037bf9664036ab0baf593e715910f4798f46745a8aaf77dbcaf3,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TWSE,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260706&type=ALLBUT0999&response=json,200,246578,725a276cb52cf164936b453eaeda5dc46db720ec1571136a40c54fe528711e97,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TPEx,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/07/06&response=json,200,1502452,a5edae16b0047d36bbf600ce2b6fd5e785f929bab35dfed1ee95baf6a8accf3f,,accepted,,,,,,,,,
institutional,TWSE,https://www.twse.com.tw/fund/T86?date=20260706&selectType=ALLBUT0999&response=json,200,196300,69b11080222be779a56a62ef975057dd33850511f41b650c45a88d3a3cbe3661,,accepted,,,,,,,,,
margin_short,TWSE,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260706&selectType=ALL&response=json,200,127714,6150d966b96f077fff91b5196d6c9973ae694f42e4db494b73120714b701edcd,,accepted,,,,,,,,,
securities_lending,TWSE,https://www.twse.com.tw/exchangeReport/TWT72U?date=20260706&response=json,200,199725,16dc30ba5fb3315956ef8f8b968637411a91c20e0ac7f50c631f593dcdd05a07,,accepted,,,,,,,,,
institutional,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,200,153945,dc4679e265e5b1b1237ed57b56075ececcb7835054ba6a458fb9da84ebce3b1e,,accepted,,,,,,,,,
