source,period,url,retrieved_path,content_type,http_status,sha256,bytes,notes
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/WDataStyle.css?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_23.html,text/css,200,f29abf3ad23a77b2c68de52ed223325627690ab09782b36a26ffc1d41da7cef4,1489,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/WDataStyle.css?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_24.html,text/css,200,f29abf3ad23a77b2c68de52ed223325627690ab09782b36a26ffc1d41da7cef4,1489,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/css/layout1.css?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_25.html,text/css,200,cb5da058e6b73b98802d3a3cf6313f779a9fdafc20231d0f6cade0cd7c7bccf0,15907,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/css/layout1.css?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_26.html,text/css,200,cb5da058e6b73b98802d3a3cf6313f779a9fdafc20231d0f6cade0cd7c7bccf0,15907,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/css/menu.css?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_27.html,text/html,404,eab09f82e87641fb3e8c72b6c9e061f11684c7d8345925aad1fd7de4c05f87ab,1161,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/css/menu.css?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_28.html,text/html,404,eab09f82e87641fb3e8c72b6c9e061f11684c7d8345925aad1fd7de4c05f87ab,1161,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/css/mod_settings.css?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_29.html,text/css,200,7a5495912f55cc984804e439412e2705be5363f19347070c856bb0308a9e0905,4414,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/css/mod_settings.css?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_30.html,text/css,200,7a5495912f55cc984804e439412e2705be5363f19347070c856bb0308a9e0905,4414,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/css/table1.css?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_31.html,text/css,200,06e11187bf9970e707f341c0d2ceb308c05671628448b2ebc12fcf2582fda79f,3138,bounded candidate handler probe
sitca_handler_candidate,2016Q1,https://www.sitca.org.tw/css/table1.css?YEAR=2016&MONTH=03&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2016Q1_32.html,text/css,200,06e11187bf9970e707f341c0d2ceb308c05671628448b2ebc12fcf2582fda79f,3138,bounded candidate handler probe
sitca_handler_candidate,2014Q4,https://www.sitca.org.tw/image/Bt_query.gif?YEAR=2014&MONTH=12&fund=1066&fundid=1066&code=0050,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\sitca_handler_candidate_2014Q4_33.html,image/gif,200,9c81bf0c05a596306946b546a1dcaf7a466c0452855700c4d4b20d34420d4536,959,bounded candidate handler probe
