source,source_family,period,query_url,method,params,http_code,content_type,date_field_detected,source_date,holdings_date,row_count,acceptance_decision,retrieved_path,error,notes
Yuanta legacy/API alternative,yuanta_legacy_alternative,2021Q4,https://etfapi.yuantaetfs.com/ectranslation/api/trans?APIType=ETFBackstage&CompanyName=YUANTAFUNDS&PageName=%2Fproduct%2Fdetail%2F0050%2Fratio&DeviceId=null&FuncId=ETFTag%2FGetProductInformation&AppName=ETF&Device=4&Platform=ETF&stk_cd=0050&date=2021-12-31,GET,,200,application/json; charset=utf-8,yyyymm,2026-06,2026-06,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2021Q4_70.json,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://www.yuantafunds.com/fund/detail/1066,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_71.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://www.yuantafunds.com/fund/holding/1066,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_72.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://www.yuantafunds.com/active/ETF/0050,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_73.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://www.yuantafunds.com/ETF/0050,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_74.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://www.yuantafunds.com/ETF/Download?fundid=1066&date=202312,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_75.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://www.yuantafunds.com/api/fund/holding?fundid=1066&date=202312,GET,,200,text/html;charset=utf-8,yyyymm,2026-05,2026-05,21,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_76.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundid=0050&date=2023-12-31,GET,,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_77.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://api.yuantafunds.com/ECAPI/api/ETF/GetHoldStock?fundId=1066&date=2023-12-31,GET,,200,text/html,,,,0,no_rows,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_78.html,,current/rolling/date-mismatched rows are not accepted
Yuanta legacy/API alternative,yuanta_legacy_alternative,2023Q4,https://etfapi.yuantaetfs.com/ectranslation/api/bridge?APIType=ETFAPI&CompanyName=YUANTAFUNDS&PageName=%2FtradeInfo%2Fpcf%2F0050&DeviceId=null&FuncId=PCF%2FDaily&ticker=0050&ndate=20231231,GET,,200,application/json; charset=utf-8,anndate,2026-06-30,2026-06-30,50,date_missing_or_mismatch,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629\raw_sources\yuanta_legacy_phase8_2023Q4_79.json,,current/rolling/date-mismatched rows are not accepted
