ticker,market,status,required_dates,ready_dates,blocked_dates,retrieval_attempted
1808,TWSE,reused_existing_compact,173,173,0,False
1815,TPEx,accepted,350,349,1,True
1904,TWSE,reused_existing_compact,83,83,0,False
2002,TWSE,reused_existing_compact,271,271,0,False
2009,TWSE,reused_existing_compact,167,167,0,False
2014,TWSE,reused_existing_compact,187,187,0,False
2027,TWSE,accepted,481,480,1,True
2031,TWSE,reused_existing_compact,88,88,0,False
2049,TWSE,reused_existing_compact,548,548,0,False
2059,TWSE,accepted,755,754,1,True
2062,TWSE,reused_existing_compact,87,87,0,False
2070,TPEx,reused_existing_compact,83,83,0,False
2101,TWSE,reused_existing_compact,191,191,0,False
2105,TWSE,reused_existing_compact,470,470,0,False
2201,TWSE,reused_existing_compact,341,341,0,False
2204,TWSE,reused_existing_compact,240,240,0,False
2206,TWSE,reused_existing_compact,278,278,0,False
2207,TWSE,reused_existing_compact,177,177,0,False
2211,TWSE,reused_existing_compact,84,84,0,False
2228,TWSE,accepted,168,167,1,True
2230,TPEx,reused_existing_compact,168,168,0,False
2233,TWSE,reused_existing_compact,210,210,0,False
2301,TWSE,accepted,564,563,1,True
2303,TWSE,accepted,742,741,1,True
2308,TWSE,accepted,760,759,1,True
2311,TWSE,blocked_no_trusted_free_adjusted_history,84,0,84,True
2312,TWSE,accepted,492,491,1,True
2313,TWSE,accepted,778,777,1,True
2317,TWSE,accepted,795,794,1,True
2323,TWSE,reused_existing_compact,84,84,0,False
2324,TWSE,reused_existing_compact,506,506,0,False
2325,TWSE,blocked_no_trusted_free_adjusted_history,84,0,84,True
2327,TWSE,accepted,721,720,1,True
2328,TWSE,accepted,263,262,1,True
2329,TWSE,accepted,557,556,1,True
2330,TWSE,accepted,796,795,1,True
2331,TWSE,reused_existing_compact,94,94,0,False
2332,TWSE,reused_existing_compact,94,94,0,False
2337,TWSE,reused_existing_compact,108,108,0,False
2338,TWSE,reused_existing_compact,82,82,0,False
2340,TWSE,reused_existing_compact,96,96,0,False
2344,TWSE,reused_existing_compact,299,299,0,False
2345,TWSE,accepted,766,765,1,True
2347,TWSE,accepted,568,567,1,True
2348,TWSE,reused_existing_compact,211,211,0,False
2351,TWSE,reused_existing_compact,205,205,0,False
2352,TWSE,reused_existing_compact,225,225,0,False
2353,TWSE,accepted,793,792,1,True
2354,TWSE,accepted,466,465,1,True
2355,TWSE,reused_existing_compact,445,445,0,False
2356,TWSE,accepted,792,791,1,True
2357,TWSE,accepted,762,761,1,True
2359,TWSE,accepted,493,492,1,True
2360,TWSE,accepted,774,773,1,True
2362,TWSE,reused_existing_compact,229,229,0,False
2363,TWSE,accepted,594,593,1,True
2364,TWSE,reused_existing_compact,210,210,0,False
2365,TWSE,accepted,447,446,1,True
2367,TWSE,reused_existing_compact,329,329,0,False
2368,TWSE,accepted,681,680,1,True
2369,TWSE,reused_existing_compact,80,80,0,False
2371,TWSE,accepted,633,632,1,True
2374,TWSE,accepted,553,552,1,True
2375,TWSE,accepted,318,317,1,True
2376,TWSE,accepted,776,775,1,True
2377,TWSE,accepted,621,620,1,True
2379,TWSE,accepted,777,776,1,True
2382,TWSE,accepted,723,722,1,True
2383,TWSE,accepted,786,785,1,True
2385,TWSE,reused_existing_compact,482,482,0,False
2388,TWSE,reused_existing_compact,445,445,0,False
2392,TWSE,accepted,442,441,1,True
2393,TWSE,reused_existing_compact,275,275,0,False
2395,TWSE,accepted,465,464,1,True
2399,TWSE,reused_existing_compact,114,114,0,False
2401,TWSE,reused_existing_compact,182,182,0,False
2402,TWSE,accepted,723,722,1,True
2404,TWSE,accepted,567,566,1,True
2405,TWSE,reused_existing_compact,165,165,0,False
2406,TWSE,reused_existing_compact,94,94,0,False
2408,TWSE,reused_existing_compact,136,136,0,False
2409,TWSE,reused_existing_compact,121,121,0,False
2412,TWSE,accepted,782,781,1,True
2413,TWSE,reused_existing_compact,84,84,0,False
2419,TWSE,reused_existing_compact,88,88,0,False
2421,TWSE,accepted,632,631,1,True
2425,TWSE,reused_existing_compact,182,182,0,False
2427,TWSE,reused_existing_compact,102,102,0,False
2428,TWSE,accepted,203,202,1,True
2436,TWSE,accepted,352,351,1,True
2439,TWSE,accepted,520,519,1,True
2441,TWSE,accepted,215,214,1,True
2448,TWSE,blocked_no_trusted_free_adjusted_history,84,0,84,True
2449,TWSE,accepted,622,621,1,True
2451,TWSE,accepted,307,306,1,True
2453,TWSE,reused_existing_compact,131,131,0,False
2454,TWSE,accepted,782,781,1,True
2455,TWSE,accepted,614,613,1,True
2456,TWSE,blocked_no_trusted_free_adjusted_history,84,0,84,True
2457,TWSE,reused_existing_compact,177,177,0,False
2458,TWSE,reused_existing_compact,480,480,0,False
2462,TWSE,reused_existing_compact,84,84,0,False
2464,TWSE,reused_existing_compact,218,218,0,False
2467,TWSE,accepted,647,646,1,True
2468,TWSE,reused_existing_compact,227,227,0,False
2471,TWSE,reused_existing_compact,135,135,0,False
2472,TWSE,accepted,401,400,1,True
2474,TWSE,accepted,642,641,1,True
2476,TWSE,accepted,537,536,1,True
2478,TWSE,accepted,120,119,1,True
2481,TWSE,accepted,478,477,1,True
2484,TWSE,reused_existing_compact,90,90,0,False
2486,TWSE,accepted,543,542,1,True
2489,TWSE,reused_existing_compact,276,276,0,False
2492,TWSE,accepted,620,619,1,True
2495,TWSE,accepted,251,250,1,True
2497,TWSE,reused_existing_compact,180,180,0,False
2501,TWSE,reused_existing_compact,113,113,0,False
2504,TWSE,reused_existing_compact,322,322,0,False
2515,TWSE,reused_existing_compact,241,241,0,False
2520,TWSE,reused_existing_compact,328,328,0,False
2524,TWSE,reused_existing_compact,98,98,0,False
2537,TWSE,reused_existing_compact,94,94,0,False
2540,TWSE,reused_existing_compact,193,193,0,False
2542,TWSE,reused_existing_compact,435,435,0,False
2543,TWSE,reused_existing_compact,299,299,0,False
2603,TWSE,reused_existing_compact,566,566,0,False
2605,TWSE,accepted,533,532,1,True
2606,TWSE,accepted,517,516,1,True
2607,TWSE,reused_existing_compact,84,84,0,False
2609,TWSE,reused_existing_compact,488,488,0,False
2610,TWSE,reused_existing_compact,739,739,0,False
2611,TWSE,reused_existing_compact,121,121,0,False
2613,TWSE,reused_existing_compact,149,149,0,False
2615,TWSE,reused_existing_compact,414,414,0,False
2618,TWSE,reused_existing_compact,744,744,0,False
2630,TWSE,reused_existing_compact,84,84,0,False
2634,TWSE,reused_existing_compact,477,477,0,False
2636,TWSE,reused_existing_compact,88,88,0,False
2637,TWSE,accepted,475,474,1,True
2641,TPEx,reused_existing_compact,359,359,0,False
2645,TWSE,accepted,560,559,1,True
2646,TWSE,reused_existing_compact,145,145,0,False
2727,TWSE,reused_existing_compact,203,203,0,False
2731,TWSE,accepted,474,473,1,True
2743,TPEx,reused_existing_compact,271,271,0,False
2745,TPEx,reused_existing_compact,84,84,0,False
2748,TWSE,reused_existing_compact,89,89,0,False
2753,TWSE,reused_existing_compact,103,103,0,False
2801,TWSE,accepted,665,664,1,True
2809,TWSE,blocked_no_trusted_free_adjusted_history,286,0,286,True
2812,TWSE,reused_existing_compact,84,84,0,False
2816,TWSE,reused_existing_compact,84,84,0,False
2823,TWSE,blocked_no_trusted_free_adjusted_history,84,0,84,True
2834,TWSE,reused_existing_compact,618,618,0,False
2855,TWSE,reused_existing_compact,80,80,0,False
2867,TWSE,reused_existing_compact,84,84,0,False
2880,TWSE,accepted,772,771,1,True
2881,TWSE,accepted,671,670,1,True
2882,TWSE,accepted,729,728,1,True
2883,TWSE,accepted,743,742,1,True
2884,TWSE,accepted,791,790,1,True
2885,TWSE,accepted,757,756,1,True
2886,TWSE,accepted,757,756,1,True
2887,TWSE,accepted,762,761,1,True
2888,TWSE,blocked_no_trusted_free_adjusted_history,582,0,582,True
2890,TWSE,accepted,796,795,1,True
2891,TWSE,accepted,791,790,1,True
2892,TWSE,accepted,796,795,1,True
2912,TWSE,accepted,745,744,1,True
2913,TWSE,reused_existing_compact,88,88,0,False
2915,TWSE,reused_existing_compact,285,285,0,False
3004,TWSE,accepted,233,232,1,True
3005,TWSE,accepted,608,607,1,True
3006,TWSE,reused_existing_compact,138,138,0,False
3008,TWSE,accepted,749,748,1,True
3010,TWSE,reused_existing_compact,240,240,0,False
3013,TWSE,accepted,649,648,1,True
3014,TWSE,reused_existing_compact,328,328,0,False
3017,TWSE,accepted,761,760,1,True
3019,TWSE,accepted,635,634,1,True
3022,TWSE,reused_existing_compact,84,84,0,False
3023,TWSE,reused_existing_compact,391,391,0,False
3025,TWSE,reused_existing_compact,334,334,0,False
3026,TWSE,accepted,219,218,1,True
3027,TWSE,reused_existing_compact,88,88,0,False
3029,TWSE,accepted,550,549,1,True
3030,TWSE,accepted,480,479,1,True
3032,TWSE,accepted,427,426,1,True
3033,TWSE,reused_existing_compact,382,382,0,False
3034,TWSE,reused_existing_compact,503,503,0,False
3035,TWSE,accepted,455,454,1,True
3036,TWSE,accepted,754,753,1,True
3037,TWSE,accepted,737,736,1,True
3042,TWSE,reused_existing_compact,485,485,0,False
3043,TWSE,reused_existing_compact,84,84,0,False
3044,TWSE,accepted,786,785,1,True
3045,TWSE,reused_existing_compact,745,745,0,False
3046,TWSE,reused_existing_compact,165,165,0,False
3047,TWSE,reused_existing_compact,99,99,0,False
3048,TWSE,reused_existing_compact,177,177,0,False
3056,TWSE,reused_existing_compact,172,172,0,False
3059,TWSE,accepted,205,204,1,True
3078,TPEx,accepted,368,367,1,True
3081,TPEx,accepted,336,335,1,True
3088,TPEx,reused_existing_compact,264,264,0,False
3090,TWSE,accepted,334,333,1,True
3094,TWSE,reused_existing_compact,84,84,0,False
3105,TPEx,accepted,317,316,1,True
3128,TPEx,reused_existing_compact,84,84,0,False
3131,TPEx,accepted,724,723,1,True
3135,TWSE,reused_existing_compact,103,103,0,False
3138,TWSE,reused_existing_compact,125,125,0,False
3141,TPEx,reused_existing_compact,83,83,0,False
3147,TPEx,accepted,394,393,1,True
3152,TPEx,reused_existing_compact,84,84,0,False
3162,TPEx,accepted,219,218,1,True
3163,TPEx,accepted,579,578,1,True
3167,TWSE,accepted,472,471,1,True
3169,TPEx,reused_existing_compact,84,84,0,False
3189,TWSE,accepted,637,636,1,True
3207,TPEx,reused_existing_compact,171,171,0,False
3211,TPEx,accepted,247,246,1,True
3213,TPEx,accepted,262,261,1,True
3217,TPEx,accepted,504,503,1,True
3218,TPEx,reused_existing_compact,84,84,0,False
3227,TPEx,accepted,604,603,1,True
3228,TPEx,reused_existing_compact,84,84,0,False
3231,TWSE,accepted,653,652,1,True
3236,TPEx,reused_existing_compact,192,192,0,False
3257,TWSE,accepted,154,153,1,True
3260,TPEx,accepted,615,614,1,True
3264,TPEx,accepted,560,559,1,True
3265,TPEx,reused_existing_compact,332,332,0,False
3287,TPEx,reused_existing_compact,92,92,0,False
3289,TPEx,reused_existing_compact,554,554,0,False
3293,TPEx,accepted,796,795,1,True
3303,TPEx,reused_existing_compact,83,83,0,False
3305,TWSE,accepted,381,380,1,True
3306,TPEx,reused_existing_compact,84,84,0,False
3312,TWSE,reused_existing_compact,287,287,0,False
3317,TPEx,reused_existing_compact,82,82,0,False
3324,TPEx,accepted,794,793,1,True
3325,TPEx,reused_existing_compact,232,232,0,False
3338,TWSE,reused_existing_compact,201,201,0,False
3346,TWSE,reused_existing_compact,165,165,0,False
3356,TWSE,reused_existing_compact,172,172,0,False
3357,TPEx,accepted,249,248,1,True
3362,TPEx,reused_existing_compact,540,540,0,False
3363,TPEx,accepted,350,349,1,True
3374,TPEx,accepted,684,683,1,True
3376,TWSE,reused_existing_compact,403,403,0,False
3379,TPEx,reused_existing_compact,169,169,0,False
3380,TWSE,reused_existing_compact,84,84,0,False
3402,TPEx,reused_existing_compact,97,97,0,False
3406,TWSE,accepted,761,760,1,True
3413,TWSE,accepted,517,516,1,True
3416,TWSE,accepted,84,83,1,True
3434,TPEx,reused_existing_compact,88,88,0,False
3443,TWSE,accepted,679,678,1,True
3444,TPEx,reused_existing_compact,104,104,0,False
3447,TWSE,accepted,84,83,1,True
3450,TWSE,accepted,460,459,1,True
3479,TPEx,reused_existing_compact,83,83,0,False
3481,TWSE,accepted,283,282,1,True
3483,TPEx,reused_existing_compact,293,293,0,False
3491,TPEx,reused_existing_compact,614,614,0,False
3498,TPEx,reused_existing_compact,84,84,0,False
3515,TWSE,accepted,490,489,1,True
3526,TPEx,accepted,170,169,1,True
3528,TWSE,reused_existing_compact,140,140,0,False
3529,TPEx,accepted,780,779,1,True
3532,TWSE,accepted,260,259,1,True
3533,TWSE,accepted,740,739,1,True
3545,TWSE,reused_existing_compact,249,249,0,False
3548,TPEx,reused_existing_compact,348,348,0,False
3551,TPEx,accepted,354,353,1,True
3558,TPEx,reused_existing_compact,207,207,0,False
3563,TWSE,accepted,439,438,1,True
3564,TPEx,reused_existing_compact,84,84,0,False
3583,TWSE,accepted,761,760,1,True
3587,TPEx,accepted,602,601,1,True
3591,TWSE,reused_existing_compact,89,89,0,False
3592,TWSE,reused_existing_compact,369,369,0,False
3596,TWSE,reused_existing_compact,446,446,0,False
3605,TWSE,accepted,429,428,1,True
3617,TWSE,reused_existing_compact,340,340,0,False
3622,TWSE,reused_existing_compact,267,267,0,False
3624,TPEx,reused_existing_compact,190,190,0,False
3630,TPEx,accepted,84,83,1,True
3645,TWSE,accepted,350,349,1,True
3653,TWSE,accepted,711,710,1,True
3661,TWSE,reused_existing_compact,450,450,0,False
3663,TPEx,reused_existing_compact,340,340,0,False
3665,TWSE,accepted,721,720,1,True
3673,TWSE,reused_existing_compact,195,195,0,False
3675,TPEx,reused_existing_compact,167,167,0,False
3680,TPEx,accepted,700,699,1,True
3687,TPEx,reused_existing_compact,202,202,0,False
3689,TPEx,accepted,586,585,1,True
3693,TPEx,reused_existing_compact,434,434,0,False
3694,TWSE,accepted,315,314,1,True
3698,TWSE,blocked_no_trusted_free_adjusted_history,84,0,84,True
3701,TWSE,reused_existing_compact,109,109,0,False
3702,TWSE,accepted,746,745,1,True
3703,TWSE,reused_existing_compact,84,84,0,False
3704,TWSE,accepted,221,220,1,True
3705,TWSE,reused_existing_compact,89,89,0,False
3706,TWSE,accepted,621,620,1,True
3707,TPEx,reused_existing_compact,84,84,0,False
3708,TWSE,reused_existing_compact,140,140,0,False
3709,TPEx,reused_existing_compact,178,178,0,False
3711,TWSE,accepted,770,769,1,True
3712,TWSE,reused_existing_compact,295,295,0,False
3715,TWSE,accepted,668,667,1,True
4105,TPEx,reused_existing_compact,171,171,0,False
4114,TPEx,reused_existing_compact,171,171,0,False
4123,TPEx,reused_existing_compact,310,310,0,False
4129,TPEx,reused_existing_compact,133,133,0,False
4147,TPEx,reused_existing_compact,84,84,0,False
4162,TPEx,reused_existing_compact,318,318,0,False
4167,TPEx,reused_existing_compact,166,166,0,False
4303,TPEx,accepted,251,250,1,True
4532,TWSE,reused_existing_compact,167,167,0,False
4533,TPEx,reused_existing_compact,401,401,0,False
4541,TPEx,accepted,215,214,1,True
4542,TPEx,reused_existing_compact,86,86,0,False
4543,TPEx,reused_existing_compact,84,84,0,False
4549,TPEx,reused_existing_compact,176,176,0,False
4562,TWSE,reused_existing_compact,94,94,0,False
4563,TPEx,reused_existing_compact,105,105,0,False
4566,TWSE,reused_existing_compact,290,290,0,False
4571,TWSE,accepted,253,252,1,True
4576,TWSE,reused_existing_compact,336,336,0,False
4583,TWSE,reused_existing_compact,375,375,0,False
4585,TWSE,reused_existing_compact,84,84,0,False
4714,TPEx,reused_existing_compact,82,82,0,False
4721,TPEx,accepted,99,98,1,True
4746,TWSE,reused_existing_compact,231,231,0,False
4749,TPEx,accepted,297,296,1,True
4755,TWSE,reused_existing_compact,97,97,0,False
4763,TWSE,reused_existing_compact,518,518,0,False
4764,TWSE,reused_existing_compact,97,97,0,False
4766,TWSE,accepted,414,413,1,True
4768,TPEx,reused_existing_compact,221,221,0,False
4770,TWSE,reused_existing_compact,121,121,0,False
4772,TPEx,accepted,318,317,1,True
4903,TPEx,reused_existing_compact,82,82,0,False
4904,TWSE,accepted,772,771,1,True
4906,TWSE,reused_existing_compact,288,288,0,False
4908,TPEx,reused_existing_compact,371,371,0,False
4909,TPEx,reused_existing_compact,219,219,0,False
4912,TWSE,reused_existing_compact,84,84,0,False
4915,TWSE,accepted,182,181,1,True
4916,TWSE,accepted,272,271,1,True
4919,TWSE,reused_existing_compact,137,137,0,False
4931,TPEx,accepted,418,417,1,True
4934,TWSE,reused_existing_compact,84,84,0,False
4938,TWSE,accepted,592,591,1,True
4949,TWSE,reused_existing_compact,172,172,0,False
4953,TPEx,reused_existing_compact,246,246,0,False
4958,TWSE,accepted,663,662,1,True
4961,TWSE,reused_existing_compact,366,366,0,False
4966,TPEx,accepted,522,521,1,True
4967,TWSE,accepted,645,644,1,True
4968,TWSE,accepted,294,293,1,True
4971,TPEx,accepted,254,253,1,True
4973,TPEx,reused_existing_compact,118,118,0,False
4974,TPEx,reused_existing_compact,162,162,0,False
4977,TWSE,accepted,377,376,1,True
4979,TPEx,accepted,737,736,1,True
4991,TPEx,accepted,395,394,1,True
5009,TPEx,reused_existing_compact,207,207,0,False
5215,TWSE,reused_existing_compact,84,84,0,False
5222,TWSE,reused_existing_compact,168,168,0,False
5225,TWSE,reused_existing_compact,84,84,0,False
5234,TWSE,accepted,385,384,1,True
5236,TPEx,reused_existing_compact,84,84,0,False
5244,TWSE,reused_existing_compact,84,84,0,False
5251,TPEx,reused_existing_compact,104,104,0,False
5258,TWSE,reused_existing_compact,231,231,0,False
5263,TPEx,reused_existing_compact,84,84,0,False
5264,TWSE,blocked_no_trusted_free_adjusted_history,84,0,84,True
5269,TWSE,accepted,620,619,1,True
5274,TPEx,accepted,531,530,1,True
5284,TWSE,accepted,493,492,1,True
5289,TPEx,accepted,525,524,1,True
5291,TPEx,reused_existing_compact,82,82,0,False
5309,TPEx,accepted,295,294,1,True
5314,TPEx,accepted,243,242,1,True
5315,TPEx,reused_existing_compact,82,82,0,False
5321,TPEx,reused_existing_compact,84,84,0,False
5328,TPEx,reused_existing_compact,82,82,0,False
5340,TPEx,accepted,220,219,1,True
5347,TPEx,accepted,649,648,1,True
5351,TPEx,reused_existing_compact,100,100,0,False
5371,TPEx,reused_existing_compact,294,294,0,False
5381,TPEx,reused_existing_compact,249,249,0,False
5386,TPEx,reused_existing_compact,252,252,0,False
5388,TWSE,reused_existing_compact,418,418,0,False
5425,TPEx,accepted,352,351,1,True
5426,TPEx,reused_existing_compact,84,84,0,False
5434,TWSE,accepted,469,468,1,True
5439,TPEx,accepted,599,598,1,True
5443,TPEx,accepted,472,471,1,True
5452,TPEx,reused_existing_compact,83,83,0,False
5465,TPEx,reused_existing_compact,82,82,0,False
5469,TWSE,accepted,444,443,1,True
5474,TPEx,accepted,167,166,1,True
5478,TPEx,reused_existing_compact,166,166,0,False
5483,TPEx,accepted,717,716,1,True
5508,TPEx,reused_existing_compact,161,161,0,False
5521,TWSE,reused_existing_compact,153,153,0,False
5522,TWSE,reused_existing_compact,172,172,0,False
5530,TPEx,reused_existing_compact,166,166,0,False
5534,TWSE,reused_existing_compact,235,235,0,False
5536,TPEx,accepted,464,463,1,True
5706,TWSE,reused_existing_compact,187,187,0,False
5871,TWSE,reused_existing_compact,467,467,0,False
5876,TWSE,accepted,593,592,1,True
5880,TWSE,accepted,723,722,1,True
5904,TPEx,accepted,299,298,1,True
6005,TWSE,reused_existing_compact,271,271,0,False
6015,TPEx,reused_existing_compact,82,82,0,False
6016,TPEx,reused_existing_compact,82,82,0,False
6026,TPEx,reused_existing_compact,82,82,0,False
6104,TPEx,accepted,511,510,1,True
6111,TPEx,reused_existing_compact,84,84,0,False
6112,TWSE,reused_existing_compact,168,168,0,False
6117,TWSE,reused_existing_compact,372,372,0,False
6121,TPEx,accepted,429,428,1,True
6122,TPEx,reused_existing_compact,84,84,0,False
6125,TPEx,reused_existing_compact,104,104,0,False
6126,TPEx,reused_existing_compact,254,254,0,False
6138,TPEx,accepted,546,545,1,True
6139,TWSE,accepted,643,642,1,True
6140,TPEx,reused_existing_compact,140,140,0,False
6143,TPEx,accepted,481,480,1,True
6146,TPEx,reused_existing_compact,82,82,0,False
6147,TPEx,accepted,495,494,1,True
6148,TPEx,accepted,219,218,1,True
6150,TPEx,reused_existing_compact,84,84,0,False
6165,TWSE,reused_existing_compact,84,84,0,False
6173,TPEx,accepted,301,300,1,True
6175,TPEx,reused_existing_compact,129,129,0,False
6176,TWSE,reused_existing_compact,460,460,0,False
6177,TWSE,reused_existing_compact,225,225,0,False
6182,TPEx,accepted,445,444,1,True
6187,TPEx,accepted,656,655,1,True
6188,TPEx,accepted,393,392,1,True
6189,TWSE,reused_existing_compact,130,130,0,False
6190,TPEx,accepted,346,345,1,True
6191,TWSE,accepted,494,493,1,True
6196,TWSE,reused_existing_compact,398,398,0,False
6197,TWSE,accepted,728,727,1,True
6203,TPEx,reused_existing_compact,84,84,0,False
6206,TWSE,accepted,204,203,1,True
6207,TPEx,reused_existing_compact,275,275,0,False
6209,TWSE,reused_existing_compact,211,211,0,False
6213,TWSE,accepted,785,784,1,True
6214,TWSE,reused_existing_compact,172,172,0,False
6215,TWSE,accepted,425,424,1,True
6223,TPEx,accepted,796,795,1,True
6227,TPEx,reused_existing_compact,130,130,0,False
6231,TPEx,accepted,600,599,1,True
6235,TWSE,accepted,283,282,1,True
6239,TWSE,accepted,593,592,1,True
6243,TWSE,reused_existing_compact,116,116,0,False
6244,TPEx,reused_existing_compact,89,89,0,False
6245,TPEx,reused_existing_compact,84,84,0,False
6257,TWSE,accepted,730,729,1,True
6261,TPEx,reused_existing_compact,89,89,0,False
6265,TPEx,reused_existing_compact,82,82,0,False
6269,TWSE,reused_existing_compact,83,83,0,False
6271,TWSE,reused_existing_compact,478,478,0,False
6274,TPEx,accepted,755,754,1,True
6275,TPEx,reused_existing_compact,84,84,0,False
6278,TWSE,accepted,442,441,1,True
6279,TPEx,reused_existing_compact,367,367,0,False
6282,TWSE,accepted,481,480,1,True
6284,TPEx,accepted,428,427,1,True
6285,TWSE,accepted,718,717,1,True
6288,TWSE,blocked_no_trusted_free_adjusted_history,199,0,199,True
6290,TPEx,accepted,691,690,1,True
6291,TPEx,reused_existing_compact,139,139,0,False
6409,TWSE,reused_existing_compact,396,396,0,False
6411,TPEx,reused_existing_compact,166,166,0,False
6412,TWSE,reused_existing_compact,84,84,0,False
6414,TWSE,reused_existing_compact,660,660,0,False
6415,TWSE,reused_existing_compact,567,567,0,False
6425,TPEx,reused_existing_compact,83,83,0,False
6435,TPEx,reused_existing_compact,82,82,0,False
6438,TWSE,accepted,388,387,1,True
6442,TWSE,accepted,557,556,1,True
6446,TWSE,accepted,689,688,1,True
6449,TWSE,accepted,204,203,1,True
6451,TWSE,reused_existing_compact,244,244,0,False
6470,TPEx,reused_existing_compact,89,89,0,False
6472,TWSE,accepted,408,407,1,True
6485,TPEx,reused_existing_compact,103,103,0,False
6488,TPEx,accepted,605,604,1,True
6491,TWSE,reused_existing_compact,239,239,0,False
6505,TWSE,reused_existing_compact,253,253,0,False
6510,TPEx,accepted,448,447,1,True
6515,TWSE,accepted,688,687,1,True
6517,TPEx,reused_existing_compact,171,171,0,False
6526,TWSE,reused_existing_compact,500,500,0,False
6530,TPEx,reused_existing_compact,306,306,0,False
6531,TWSE,accepted,773,772,1,True
6533,TWSE,reused_existing_compact,102,102,0,False
6538,TPEx,reused_existing_compact,180,180,0,False
6546,TPEx,reused_existing_compact,347,347,0,False
6548,TPEx,accepted,327,326,1,True
6558,TWSE,reused_existing_compact,101,101,0,False
6561,TPEx,reused_existing_compact,83,83,0,False
6579,TWSE,reused_existing_compact,84,84,0,False
6584,TPEx,accepted,292,291,1,True
6585,TWSE,reused_existing_compact,171,171,0,False
6591,TWSE,accepted,84,83,1,True
6593,TPEx,reused_existing_compact,118,118,0,False
6596,TPEx,reused_existing_compact,82,82,0,False
6605,TWSE,reused_existing_compact,294,294,0,False
6609,TPEx,reused_existing_compact,115,115,0,False
6640,TPEx,accepted,402,401,1,True
6643,TPEx,accepted,538,537,1,True
6658,TWSE,reused_existing_compact,160,160,0,False
6664,TPEx,accepted,538,537,1,True
6667,TPEx,accepted,376,375,1,True
6669,TWSE,accepted,755,754,1,True
6670,TWSE,reused_existing_compact,112,112,0,False
6672,TWSE,accepted,291,290,1,True
6679,TPEx,reused_existing_compact,254,254,0,False
6683,TPEx,accepted,458,457,1,True
6689,TWSE,reused_existing_compact,168,168,0,False
6691,TWSE,accepted,486,485,1,True
6703,TPEx,reused_existing_compact,82,82,0,False
6712,TPEx,reused_existing_compact,94,94,0,False
6715,TWSE,reused_existing_compact,83,83,0,False
6719,TWSE,reused_existing_compact,132,132,0,False
6725,TPEx,reused_existing_compact,82,82,0,False
6727,TPEx,reused_existing_compact,84,84,0,False
6732,TPEx,reused_existing_compact,192,192,0,False
6739,TPEx,accepted,262,261,1,True
6742,TWSE,reused_existing_compact,159,159,0,False
6752,TPEx,reused_existing_compact,167,167,0,False
6753,TWSE,accepted,373,372,1,True
6756,TWSE,reused_existing_compact,103,103,0,False
6757,TWSE,reused_existing_compact,187,187,0,False
6763,TPEx,accepted,244,243,1,True
6768,TWSE,reused_existing_compact,140,140,0,False
