ticker,market,event_inventory_rows,event_inventory_available,no_event_completeness_proven,official_adjusted_complete,status
1722,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1727,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1732,TWSE,2,True,False,False,partial_event_inventory_no_no_event_proof
1736,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1760,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1773,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
1785,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
1795,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
1802,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
1808,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
1815,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
1904,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2002,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2009,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2014,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
2027,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2031,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2049,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2059,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2062,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2070,TPEx,6,True,False,False,partial_event_inventory_no_no_event_proof
2101,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2105,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2201,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2204,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2206,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2207,TWSE,6,True,False,False,partial_event_inventory_no_no_event_proof
2211,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2228,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2230,TPEx,6,True,False,False,partial_event_inventory_no_no_event_proof
2233,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2301,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2303,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2308,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2311,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2312,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
2313,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2317,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2323,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2324,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
2325,TWSE,0,False,False,False,partial_event_inventory_no_no_event_proof
2327,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
2328,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
