timestamp,status,message
2026-07-03T18:31:57.973900+08:00,running,completed 2022Q3_otc rows=792
2026-07-03T18:32:05.411591+08:00,running,completed 2022Q4_sii rows=1059
2026-07-03T18:32:09.503282+08:00,running,completed 2022Q4_otc rows=875
2026-07-03T18:32:15.635844+08:00,running,completed 2023Q1_sii rows=989
2026-07-03T18:32:20.306943+08:00,running,completed 2023Q1_otc rows=805
2026-07-03T18:32:25.486393+08:00,running,completed 2023Q2_sii rows=1044
2026-07-03T18:32:30.147042+08:00,running,completed 2023Q2_otc rows=867
2026-07-03T18:32:37.519035+08:00,running,completed 2023Q3_sii rows=1007
2026-07-03T18:32:42.989873+08:00,running,completed 2023Q3_otc rows=815
2026-07-03T18:32:48.767298+08:00,running,completed 2023Q4_sii rows=1077
2026-07-03T18:32:52.999080+08:00,running,completed 2023Q4_otc rows=886
2026-07-03T18:32:58.143348+08:00,running,completed 2024Q1_sii rows=1025
2026-07-03T18:33:02.779248+08:00,running,completed 2024Q1_otc rows=836
2026-07-03T18:33:08.470815+08:00,running,completed 2024Q2_sii rows=1069
2026-07-03T18:33:13.359113+08:00,running,completed 2024Q2_otc rows=885
2026-07-03T18:33:18.915701+08:00,running,completed 2024Q3_sii rows=1042
2026-07-03T18:33:27.000490+08:00,running,completed 2024Q3_otc rows=851
2026-07-03T18:33:33.124107+08:00,running,completed 2024Q4_sii rows=1078
2026-07-03T18:33:38.881301+08:00,running,completed 2024Q4_otc rows=891
2026-07-03T18:33:44.253332+08:00,running,completed 2025Q1_sii rows=1059
2026-07-03T18:33:48.383526+08:00,running,completed 2025Q1_otc rows=875
2026-07-03T18:33:56.214834+08:00,running,completed 2025Q2_sii rows=1077
2026-07-03T18:34:01.994650+08:00,running,completed 2025Q2_otc rows=891
2026-07-03T18:34:08.293701+08:00,running,completed 2025Q3_sii rows=1079
2026-07-03T18:34:13.324608+08:00,running,completed 2025Q3_otc rows=891
2026-07-03T18:34:20.183986+08:00,running,completed 2025Q4_sii rows=1078
2026-07-03T18:34:26.014537+08:00,running,completed 2025Q4_otc rows=891
2026-07-03T18:34:30.392576+08:00,running,completed 2026Q1_sii rows=1078
2026-07-03T18:34:34.708091+08:00,running,completed 2026Q1_otc rows=891
2026-07-03T18:34:37.459451+08:00,completed,full_sweep_reports_built
2026-07-03T18:35:12.1602547+08:00,completed,raw_source_archive_manifest_created_large_html_ignored
