ticker,event_key,cash_candidate,stock_candidate,candidate_count,exact_candidate_count,payment_candidate_count,accepted_exact_exdate,accepted_payment_date,accepted_market_available_at,accepted_source_url,accepted_subject,mapping_status,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
3163,3163|ROC107|P1|C0.6|S0,0.6,0,1,1,1,2019-08-20,2019-09-06,2019-08-01 14:48:51,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議除息基準日,accepted_unique_candidate,0,False,False,False,False,False,False,False,True,False
3163,3163|ROC108|P1|C1.2|S0,1.2,0,1,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
3260,3260|ROC107|P1|C0.2|S0,0.2,0,1,1,0,2019-07-15,,2019-06-28 17:18:18,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司決議除息基準日、發放日等相關事宜,accepted_unique_candidate,0,False,False,False,False,False,False,False,True,False
3260,3260|ROC108|P1|C1.4|S0,1.4,0,1,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
3260,3260|ROC109|P1|C3.5|S0,3.5,0,1,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
3324,3324|ROC107|P1|C1.5|S0,1.5,0,1,1,0,2019-07-04,,2019-06-05 17:36:27,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事長訂定除息基準日事宜,accepted_unique_candidate,0,False,False,False,False,False,False,False,True,False
3324,3324|ROC109|P1|C5.5|S0,5.5,0,1,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
3346,3346|ROC107|P1|C1.66|S0,1.66,0,1,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
3346,3346|ROC109|P1|C0.16|S0,0.16,0,2,1,0,2021-10-22,,2021-09-23 15:26:23,https://mops.twse.com.tw/mops/#/web/t05st01,"公告本公司董事會決議除息基準日及國內
第二、三次無擔保轉換公司債之停止轉換期間",accepted_unique_candidate,0,False,False,False,False,False,False,False,True,False
3661,3661|ROC107|P1|C1.50585|S0,1.50584985,0,0,0,0,,,,,,blocked_no_candidate,0,False,False,False,False,False,False,False,True,False
3661,3661|ROC108|P1|C3.56846|S0,3.56846277,0,0,0,0,,,,,,blocked_no_candidate,0,False,False,False,False,False,False,False,True,False
3661,3661|ROC109|P1|C6.6|S0,6.6,0,6,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
3661,3661|ROC109|P1|C6.8|S0,6.8,0,0,0,0,,,,,,blocked_no_candidate,0,False,False,False,False,False,False,False,True,False
4971,4971|ROC107|P1|C1|S0,1,0,5,3,2,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
6121,6121|ROC107|P1|C11.5|S0,11.5,0,1,1,1,2019-07-16,2019-08-22,2019-07-01 18:14:52,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司除息基準日,accepted_unique_candidate,0,False,False,False,False,False,False,False,True,False
6121,6121|ROC109|P1|C19.1|S0,19.1,0,2,2,2,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
6143,6143|ROC107|P1|C4|S0,4,0,4,3,3,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
6150,6150|ROC107|P1|C2|S0,2,0,2,2,1,,2021-09-06,2021-07-22 14:11:04,https://mops.twse.com.tw/mops/#/web/t05st01,決議本公司109年度股利配發基準日,accepted_unique_candidate,0,False,False,False,False,False,False,False,True,False
6573,6573|ROC107|P1|C0.25|S0.25,0.25,0.25,2,2,2,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
8021,8021|ROC107|P1|C1.2|S0,1.2,0,0,0,0,,,,,,blocked_no_candidate,0,False,False,False,False,False,False,False,True,False
8021,8021|ROC108|P1|C1.2|S0,1.2,0,0,0,0,,,,,,blocked_no_candidate,0,False,False,False,False,False,False,False,True,False
8021,8021|ROC109|P1|C1.58|S0,1.58,0,0,0,0,,,,,,blocked_no_candidate,0,False,False,False,False,False,False,False,True,False
8163,8163|ROC107|P1|C3.5|S0,3.5,0,0,0,0,,,,,,blocked_no_candidate,0,False,False,False,False,False,False,False,True,False
8163,8163|ROC108|P1|C2.3|S0,2.3,0,1,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
8163,8163|ROC109|P1|C2.5|S0,2.5,0,1,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
8433,8433|ROC107|P1|C3|S0,3,0,3,3,2,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
8478,8478|ROC107|P1|C2|S0,2,0,6,3,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
8478,8478|ROC108|P1|C0.5|S0,0.5,0,1,0,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
8478,8478|ROC109|P1|C1|S0,1,0,6,3,0,,,,,,blocked_multiple_candidates,0,False,False,False,False,False,False,False,True,False
