source_id,raw_file_path,source_url_or_reference,document_date,covered_effective_start,covered_effective_end,source_type,archive_status,checksum_sha256,notes
2021Q4_yuanta_current_download_page_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_yuanta_current_download_page_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050%2Fdownload&timestamp=20211231,2022-05-26,2021-12-31,2021-12-31,html_payload,downloaded_payload_candidate,06945610ca8d02194bf9b61f0c5a3d6c36789568cafc4c9f0aa8a37230eef96d,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_sitca_fund_query_home_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_sitca_fund_query_home_direct.html,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,2016-01-29,2021-12-31,2021-12-31,disclosure,downloaded_payload_candidate,6fb49805f617a8c86a95e7b678f521db1c556240c54a196d6ab353e31e082962,attempt_type=direct; content_type=text/html; charset=utf-8; row_count=0
2021Q4_sitca_etf_home_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_sitca_etf_home_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.sitca.org.tw%2FROC%2FETF%2F&timestamp=20211231,2021-12-31,2021-12-31,2021-12-31,disclosure,downloaded_payload_candidate,ba1a37359574a7b76de51a33b54bb85a6981b825b8391cacb6efa5a8fcf663e6,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_mops_home_fund_keyword_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_mops_home_fund_keyword_direct.html,https://mops.twse.com.tw/mops/error/error.html,,2021-12-31,2021-12-31,disclosure,downloaded_payload_candidate,e14e470907e8e9f629d5725cd5d9abf8a56dd0403d321d456e5a3fc56913a7a6,attempt_type=direct; content_type=text/html;charset=UTF-8; row_count=0
2021Q4_mops_home_fund_keyword_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_mops_home_fund_keyword_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fmops.twse.com.tw%2Fmops%2Fweb%2Findex&timestamp=20211231,2022-01-07,2021-12-31,2021-12-31,disclosure,downloaded_payload_candidate,74fe818c01dacde87f73f128af0cd64582c2625fc2e97903c9fc4bce7701fbf3,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_twse_etf_home_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_twse_etf_home_direct.html,https://www.twse.com.tw/zh/products/securities/etf/products/list.html,,2021-12-31,2021-12-31,twse_index_proxy_candidate,downloaded_payload_candidate,6e26da05139ba28dce2606785f66d33a937497f16290165832e953e2837ebefb,attempt_type=direct; content_type=text/html; row_count=0
2021Q4_twse_etf_home_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_twse_etf_home_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.twse.com.tw%2Fzh%2FETF%2Flist&timestamp=20211231,2022-10-23,2021-12-31,2021-12-31,twse_index_proxy_candidate,downloaded_payload_candidate,708aa1d1c163341c6e3e514363788f1a79640aaf5b3ed84da7cc171e27ba7b78,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_taiwan_index_home_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_taiwan_index_home_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.taiwanindex.com.tw%2Findex%2Findex%2FTW50&timestamp=20211231,2022-05-26,2021-12-31,2021-12-31,twse_index_proxy_candidate,downloaded_payload_candidate,49e672ccc8749f33682dac0a4f6318fa64aae2631e1ae2d46661aeb6fad88d6c,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_phase3_extracted_api_url_wayback_available,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_phase3_extracted_api_url_wayback_available.json,https://archive.org/wayback/available?url=https%3A%2F%2Fetfapi.yuantaetfs.com%2FECImage%2FETFBackstage%2Ffile%2FHome%2F20240331142809778.jpg&timestamp=20211231,2024-03-31,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,4b1b2b45af289df5052ab13695c2161a4a7e65831b9f0891bee79189ff345746,attempt_type=wayback_available; content_type=application/json; row_count=0
2021Q4_phase3_extracted_api_url_direct,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629/raw_sources/2021Q4_phase3_extracted_api_url_direct.html,https://etfapi.yuantaetfs.com/ECImage/ETFBackstage/file/ETFFileDownload/ETF%E7%94%B3%E8%B3%BC%E6%92%A4%E5%9B%9E%E7%94%B3%E8%AB%8B%E6%9B%B8.pdf,2016-03-30,2021-12-31,2021-12-31,api_payload,downloaded_payload_candidate,07b05cf81fbe6061f334a136c3bee15f08447ca304c763d00b7e1784e4ce0d19,attempt_type=direct; content_type=application/pdf; row_count=39
