signal_date,signal_family,variant,ticker,name,timing_variant,entry_date,exit_date,entry_price_kind,entry_ready,exit_ready,path_ready,blocked_reason,adjusted_close_ready
2019-08-30,regime_switch,market_bias_pool_trend_route,8081,致新,next_day_open_entry_fixed_5td_exit,2019-09-02,2019-09-10,open,true,true,true,,false
2019-08-30,regime_switch,pool_breadth_route,8081,致新,same_week_close_to_next_rebalance_close_comparator,2019-08-30,2019-09-06,close,true,true,true,,false
2019-08-30,regime_switch,pool_breadth_route,8081,致新,next_day_close_entry_fixed_5td_exit,2019-09-02,2019-09-10,close,true,true,true,,false
2019-08-30,regime_switch,pool_breadth_route,8081,致新,next_day_open_entry_fixed_5td_exit,2019-09-02,2019-09-10,open,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,2313,華通,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,2313,華通,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,2313,華通,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,2313,華通,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,2313,華通,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,2313,華通,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_proxy,2313,華通,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_proxy,2313,華通,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top1_rs20_proxy,2313,華通,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,2313,華通,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,2313,華通,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,2313,華通,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-06,regime_switch,conservative_hurdle_route,3338,泰碩,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,regime_switch,conservative_hurdle_route,3338,泰碩,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,regime_switch,conservative_hurdle_route,3338,泰碩,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-06,regime_switch,dispersion_route,3338,泰碩,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,regime_switch,dispersion_route,3338,泰碩,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,regime_switch,dispersion_route,3338,泰碩,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-06,regime_switch,hybrid_pullback_base_mega_override,3338,泰碩,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,regime_switch,hybrid_pullback_base_mega_override,3338,泰碩,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,regime_switch,hybrid_pullback_base_mega_override,3338,泰碩,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-06,regime_switch,market_bias_pool_trend_route,2313,華通,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,regime_switch,market_bias_pool_trend_route,2313,華通,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,regime_switch,market_bias_pool_trend_route,2313,華通,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-06,regime_switch,pool_breadth_route,2313,華通,same_week_close_to_next_rebalance_close_comparator,2019-09-06,2019-09-12,close,true,true,true,,false
2019-09-06,regime_switch,pool_breadth_route,2313,華通,next_day_close_entry_fixed_5td_exit,2019-09-10,2019-09-18,close,true,true,true,,false
2019-09-06,regime_switch,pool_breadth_route,2313,華通,next_day_open_entry_fixed_5td_exit,2019-09-10,2019-09-18,open,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,5498,凱崴,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,5498,凱崴,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,5498,凱崴,next_day_open_entry_fixed_5td_exit,2019-09-16,2019-09-23,open,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,5498,凱崴,same_week_close_to_next_rebalance_close_comparator,2019-09-12,2019-09-20,close,true,true,true,,false
2019-09-12,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,5498,凱崴,next_day_close_entry_fixed_5td_exit,2019-09-16,2019-09-23,close,true,true,true,,false
