ticker,name,path_rows,path_ready_rows,path_blocked_rows
3131,弘塑,18,18,0
3141,晶宏,42,42,0
3152,璟德,6,6,0
3163,波若威,9,9,0
3169,亞信,42,42,0
3189,景碩,15,15,0
3218,大學光,57,57,0
3221,台嘉碩,12,12,0
3227,原相,30,30,0
3231,緯創,36,36,0
3234,光環,21,13,8
3260,威剛,36,36,0
3264,欣銓,21,21,0
3265,台星科,9,9,0
3272,東碩,30,30,0
3293,鈊象,138,138,0
3305,昇貿,9,9,0
3322,建舜電,12,12,0
3323,加百裕,3,3,0
3324,雙鴻,63,63,0
3338,泰碩,54,54,0
3346,麗清,54,54,0
3360,尚立,21,21,0
3362,先進光,33,33,0
3374,精材,9,9,0
3376,新日興,12,12,0
3406,玉晶光,30,30,0
3413,京鼎,33,33,0
3443,創意,51,51,0
3450,聯鈞,12,9,3
3454,晶睿,3,3,0
3455,由田,42,42,0
3479,安勤,12,12,0
3483,力致,42,42,0
3484,崧騰,15,15,0
3491,昇達科,15,15,0
3504,揚明光,21,21,0
3511,矽瑪,12,12,0
3514,昱晶,12,12,0
3515,華擎,39,39,0
3519,綠能,24,24,0
3526,凡甲,18,18,0
3527,聚積,12,12,0
3529,力旺,72,72,0
3530,晶相光,36,36,0
3532,台勝科,87,87,0
3533,嘉澤,24,24,0
3535,晶彩科,24,24,0
3540,曜越,45,45,0
3541,西柏,18,18,0
3545,敦泰,75,75,0
3546,宇峻,45,45,0
3548,兆利,15,15,0
3550,聯穎,12,12,0
3552,同致,30,30,0
3556,禾瑞亞,12,12,0
3558,神準,12,12,0
3563,牧德,66,66,0
3583,辛耘,24,24,0
3587,閎康,12,12,0
3588,通嘉,54,54,0
3596,智易,33,33,0
3605,宏致,18,18,0
3607,谷崧,3,3,0
3617,碩天,9,9,0
3624,光頡,36,36,0
3630,新鉅科,12,12,0
3645,達邁,15,15,0
3653,健策,75,75,0
3658,漢微科,21,21,0
3661,世芯-KY,72,72,0
3665,貿聯-KY,42,42,0
3669,圓展,30,30,0
3675,德微,51,51,0
3680,家登,30,30,0
3682,亞太電,12,12,0
3691,碩禾,12,12,0
3693,營邦,9,9,0
3694,海華,18,18,0
3704,合勤控,9,9,0
3706,神達,24,24,0
3707,漢磊,9,9,0
3708,上緯投控,45,45,0
3714,富采,33,33,0
4114,健喬,18,18,0
4116,明基醫,18,18,0
4119,旭富,87,87,0
4123,晟德,18,18,0
4126,太醫,6,6,0
4129,聯合,36,36,0
4133,亞諾法,18,18,0
4148,全宇生技-KY,9,9,0
4153,鈺緯,18,18,0
4162,智擎,57,39,18
4167,展旺,18,18,0
4190,佐登-KY,42,42,0
4426,利勤,12,12,0
4506,崇友,6,2,4
4528,江興鍛,9,9,0
4536,拓凱,36,36,0
4551,智伸科,45,45,0
4564,元翎,12,12,0
4721,美琪瑪,24,24,0
4725,信昌化,36,36,0
4728,雙美,12,12,0
4733,上緯,33,33,0
4736,泰博,81,81,0
4739,康普,9,9,0
4743,合一,36,36,0
4746,台耀,3,3,0
4766,南寶,3,3,0
4768,晶呈科技,18,18,0
4770,上品,15,15,0
4803,VHQ-KY,9,9,0
4904,遠傳,3,3,0
4906,正文,6,6,0
4908,前鼎,18,18,0
4912,聯德控股-KY,6,6,0
4919,新唐,36,36,0
4927,泰鼎-KY,27,27,0
4935,茂林-KY,15,15,0
4938,和碩,3,3,0
4943,康控-KY,18,18,0
4953,緯軟,18,18,0
4958,臻鼎-KY,3,3,0
4961,天鈺,21,21,0
4966,F-譜瑞,18,18,0
4968,立積,42,42,0
4971,IET-KY,18,18,0
4979,華星光,30,30,0
5014,建錩,33,33,0
5203,訊連,3,3,0
5223,安力-KY,3,3,0
5234,達興材料,6,6,0
5243,乙盛-KY,30,30,0
5255,美桀,9,9,0
5258,虹堡,24,24,0
5263,智崴,51,51,0
5264,鎧勝-KY,12,12,0
5274,信驊,3,3,0
5281,大峽谷-KY,6,6,0
5285,界霖,18,18,0
5288,豐祥-KY,6,6,0
5289,宜鼎,21,21,0
5299,杰力,27,27,0
5305,敦南,6,6,0
5315,光聯,27,27,0
5317,凱美,3,3,0
5347,世界,9,9,0
5349,先豐,15,15,0
5371,中光電,12,12,0
5388,中磊,9,9,0
5425,台半,12,12,0
5439,高技,18,18,0
5457,宣德,3,3,0
5469,瀚宇博,15,15,0
5471,松翰,12,12,0
5474,聰泰,36,36,0
5478,智冠,18,18,0
5483,中美晶,39,39,0
5498,凱崴,24,24,0
5522,遠雄,6,6,0
5608,四維航,30,30,0
5871,中租-KY,9,9,0
5876,上海商銀,3,3,0
5904,寶雅,39,39,0
6104,創惟,12,12,0
6111,大宇資,45,45,0
6116,彩晶,6,6,0
6121,新普,30,30,0
6126,信音,21,21,0
6138,茂達,51,51,0
6143,振曜,27,27,0
6147,頎邦,15,15,0
6150,撼訊,51,51,0
6153,嘉聯益,24,24,0
6166,凌華,27,27,0
6173,信昌電,45,45,0
6176,瑞儀,18,18,0
6180,橘子,12,12,0
6182,合晶,57,57,0
6187,萬潤,9,9,0
6196,帆宣,36,30,6
6197,佳必琪,3,3,0
6202,盛群,6,6,0
6203,海韻電,9,9,0
6205,詮欣,18,18,0
6213,聯茂,3,3,0
6217,中探針,36,28,8
6220,岳豐,60,60,0
6223,旺矽,9,9,0
6227,茂綸,12,12,0
6230,尼得科超眾,33,33,0
6235,華孚,12,12,0
6237,驊訊,30,30,0
6238,勝麗,18,18,0
6239,力成,6,6,0
6245,立端,21,21,0
6251,定穎,12,12,0
6266,泰詠,30,30,0
6269,台郡,9,9,0
6271,同欣電,39,39,0
6274,台燿,24,24,0
6278,台表科,60,60,0
6279,胡連,30,30,0
6285,啟碁,9,9,0
6290,良維,21,21,0
6409,旭隼,3,3,0
6411,晶焱,21,21,0
6412,群電,6,6,0
6414,樺漢,24,24,0
6415,矽力*-KY,51,51,0
6426,統新,12,12,0
6435,大中,24,24,0
6438,迅得,3,3,0
6441,廣錠,15,15,0
6442,光聖,12,12,0
6451,訊芯-KY,24,24,0
6452,康友-KY,9,5,4
6456,GIS-KY,12,12,0
6462,神盾,9,9,0
6470,宇智,27,27,0
6472,保瑞,12,12,0
6488,環球晶,36,36,0
6508,惠光,18,18,0
6510,精測,21,21,0
6515,穎崴,3,3,0
6525,捷敏-KY,18,18,0
6531,愛普*,9,9,0
6538,倉和,6,6,0
6548,長科*,21,21,0
6552,易華電,18,18,0
6558,興能高,54,54,0
6568,宏觀,12,12,0
6569,醫揚,9,9,0
6573,虹揚-KY,15,15,0
6582,申豐,18,18,0
6612,奈米醫材,12,12,0
6643,M31,9,9,0
6666,羅麗芬-KY,33,33,0
6667,信紘科,12,12,0
6670,復盛應用,6,6,0
6672,騰輝電子-KY,9,9,0
6679,鈺太,18,18,0
6698,旭暉應材,12,12,0
6719,力智,27,27,0
6732,昇佳電子,3,3,0
6781,AES-KY,9,9,0
6782,視陽,21,14,7
6796,晉弘,15,15,0
8016,矽創,51,51,0
8028,昇陽半導體,12,12,0
8040,九暘,18,18,0
8043,蜜望實,9,9,0
8044,網家,24,24,0
8046,南電,36,36,0
8048,德勝,6,6,0
8069,元太,63,63,0
8074,鉅橡,3,3,0
8076,伍豐,6,6,0
8081,致新,6,6,0
8083,瑞穎,3,3,0
8086,宏捷科,3,3,0
8096,擎亞,12,12,0
8105,凌巨,6,6,0
8107,大億金茂,9,9,0
8112,至上,3,3,0
8121,越峰,3,3,0
8150,南茂,27,27,0
8155,博智,6,6,0
8163,達方,15,15,0
8182,加高,27,27,0
8183,精星,42,42,0
8210,勤誠,33,33,0
8215,明基材,18,18,0
8222,寶一,6,6,0
8261,富鼎,12,12,0
8299,群聯,12,12,0
8341,日友,33,33,0
8358,金居,9,9,0
8383,千附,9,9,0
8404,百和興業-KY,9,9,0
8406,F-金可,3,3,0
8431,匯鑽科,9,9,0
8433,弘帆,27,27,0
8436,大江,51,49,2
8440,綠電,36,36,0
8454,富邦媒,18,18,0
8464,億豐,12,12,0
8478,東哥遊艇,54,54,0
8489,三貝德,3,3,0
8924,大田,12,12,0
8926,台汽電,9,9,0
8929,富堡,9,9,0
8933,愛地雅,6,6,0
8996,高力,39,39,0
9103,美德醫療-DR,18,18,0
9802,鈺齊-KY,21,21,0
9904,寶成,6,6,0
9910,豐泰,12,12,0
9919,康那香,18,18,0
9921,巨大,12,12,0
9935,慶豐富,18,18,0
9938,百和,54,54,0
9939,宏全,6,6,0
9945,潤泰新,21,21,0
9951,皇田,27,27,0
9958,世紀鋼,15,15,0
