date,ticker,name,market,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,adjustment_policy
2016-01-18,1101,台泥,TWSE,26.50,26.90,26.25,26.60,7044076,187200559,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=1101&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-08-24,1325,恆大,TWSE,157.00,159.00,154.00,155.00,5287260,824517418,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200801&stockNo=1325&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-01-07,1476,儒鴻,TWSE,354.50,360.00,351.50,360.00,826915,295333070,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190101&stockNo=1476&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-01-14,1476,儒鴻,TWSE,358.50,358.50,349.00,349.50,493308,173196492,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190101&stockNo=1476&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-08-24,1476,儒鴻,TWSE,383.50,383.50,371.00,379.00,852578,321628140,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200801&stockNo=1476&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-08-31,1476,儒鴻,TWSE,390.50,394.00,385.00,387.50,1139330,442299039,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200801&stockNo=1476&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-04-01,1477,聚陽,TWSE,215.50,216.00,209.50,209.50,1058963,223606733,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190401&stockNo=1477&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-04-10,1477,聚陽,TWSE,210.50,212.50,209.00,210.00,1267178,266560702,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190401&stockNo=1477&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-07-20,1504,東元,TWSE,25.20,25.30,24.20,24.45,4745347,116635276,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150701&stockNo=1504&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-07-27,1504,東元,TWSE,24.45,24.80,24.00,24.35,6339091,154710650,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150701&stockNo=1504&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-08-03,1504,東元,TWSE,24.90,25.70,24.80,25.55,6424055,162387501,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150801&stockNo=1504&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-08-10,1504,東元,TWSE,24.30,24.70,24.15,24.35,2530634,61861285,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150801&stockNo=1504&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2021-03-15,1513,中興電,TWSE,55.20,56.50,54.40,55.10,26318281,1459165853,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20210301&stockNo=1513&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2021-03-22,1513,中興電,TWSE,54.00,54.40,53.10,53.20,11487688,614827623,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20210301&stockNo=1513&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2016-12-19,1536,和大,TWSE,126.50,128.00,126.00,126.50,938105,119004780,twse_exchange_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20161201&stockNo=1536&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2016-12-26,1536,和大,TWSE,122.50,126.00,122.50,124.00,983997,122381127,twse_exchange_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20161201&stockNo=1536&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-11-06,1565,精華,TPEx,765.00,765.00,748.00,750.00,380000,285290000,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1565&date=2017/11/01&response=json,official_unadjusted_ohlcv_tpex_trading_stock_month_converted_from_thousand_units,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-11-13,1565,精華,TPEx,850.00,850.00,827.00,848.00,586000,492268000,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1565&date=2017/11/01&response=json,official_unadjusted_ohlcv_tpex_trading_stock_month_converted_from_thousand_units,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-05-11,1590,亞德客-KY,TWSE,245.00,246.00,233.50,233.50,783468,186534181,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150501&stockNo=1590&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-05-18,1590,亞德客-KY,TWSE,230.00,231.50,229.00,230.50,126309,29071497,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150501&stockNo=1590&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-05-25,1590,亞德客-KY,TWSE,239.00,244.00,238.00,243.00,242525,58788550,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150501&stockNo=1590&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-07-17,1590,亞德客-KY,TWSE,375.00,390.00,372.00,388.00,1266743,485826298,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170701&stockNo=1590&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-07-24,1590,亞德客-KY,TWSE,400.00,416.00,395.50,406.50,831342,339018676,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170701&stockNo=1590&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-08-07,1590,亞德客-KY,TWSE,428.00,428.00,414.00,414.00,878638,368509684,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170801&stockNo=1590&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-08-14,1590,亞德客-KY,TWSE,403.00,403.00,396.00,396.00,278346,110936689,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170801&stockNo=1590&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-08-22,1605,華新,TWSE,36.85,38.15,36.75,37.80,35786775,1349020611,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220801&stockNo=1605&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-08-29,1605,華新,TWSE,37.30,38.75,37.25,38.50,47443610,1809919169,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220801&stockNo=1605&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-11-25,1736,喬山,TWSE,90.40,93.20,89.60,92.90,7832836,719163984,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20191101&stockNo=1736&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-12-02,1736,喬山,TWSE,89.50,90.50,87.10,90.50,2686132,240055942,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20191201&stockNo=1736&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-05-27,1795,美時,TPEx,105.50,106.00,102.00,104.00,4533000,471683000,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1795&date=2019/05/01&response=json,official_unadjusted_ohlcv_tpex_trading_stock_month_converted_from_thousand_units,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-06-03,1795,美時,TPEx,104.00,106.50,100.50,100.50,7422000,768578000,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1795&date=2019/06/01&response=json,official_unadjusted_ohlcv_tpex_trading_stock_month_converted_from_thousand_units,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-06-10,1795,美時,TPEx,100.00,103.00,99.40,103.00,4139000,418661000,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1795&date=2019/06/01&response=json,official_unadjusted_ohlcv_tpex_trading_stock_month_converted_from_thousand_units,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-06-11,1795,美時,TPEx,103.00,105.00,101.00,101.00,4474000,458921000,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1795&date=2019/06/01&response=json,official_unadjusted_ohlcv_tpex_trading_stock_month_converted_from_thousand_units,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-06-17,1795,美時,TPEx,110.00,113.50,109.50,112.50,21199000,2363754000,tpex_trading_stock_selected_ticker_month,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=1795&date=2019/06/01&response=json,official_unadjusted_ohlcv_tpex_trading_stock_month_converted_from_thousand_units,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-03-14,1802,台玻,TWSE,24.60,24.95,24.45,24.70,11170341,275965353,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220301&stockNo=1802&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-03-21,1802,台玻,TWSE,25.55,25.65,25.20,25.50,9406509,239615366,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220301&stockNo=1802&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-03-28,1802,台玻,TWSE,24.95,25.05,24.65,25.00,4888091,121408683,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220301&stockNo=1802&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2022-04-06,1802,台玻,TWSE,25.20,25.75,25.10,25.45,4787258,121864457,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20220401&stockNo=1802&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-08-06,1909,榮成,TWSE,26.60,27.40,26.55,26.75,7968379,215438570,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180801&stockNo=1909&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-08-13,1909,榮成,TWSE,23.40,23.50,21.55,22.05,8760055,197619170,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20180801&stockNo=1909&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-10-08,2014,中鴻,TWSE,13.60,13.85,13.50,13.65,5790730,79007756,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20181001&stockNo=2014&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2018-10-16,2014,中鴻,TWSE,13.10,13.40,13.05,13.20,4417766,58348780,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20181001&stockNo=2014&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2021-12-20,2023,燁輝,TWSE,25.10,25.85,24.95,25.50,25851274,658336729,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20211201&stockNo=2023&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2021-12-27,2023,燁輝,TWSE,25.40,25.50,25.05,25.15,5136771,129590135,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20211201&stockNo=2023&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-01-14,2027,大成鋼,TWSE,47.55,47.75,46.90,47.55,8161160,386413602,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190101&stockNo=2027&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2019-01-21,2027,大成鋼,TWSE,47.20,47.45,46.55,46.65,7348660,344042189,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20190101&stockNo=2027&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-06-29,2059,川湖,TWSE,425.00,433.00,410.50,412.00,554020,233261960,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150601&stockNo=2059&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-07-06,2059,川湖,TWSE,403.00,407.00,399.00,399.00,413303,166203897,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150701&stockNo=2059&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-05-02,2059,川湖,TWSE,464.50,467.00,456.50,461.00,168465,77582269,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170501&stockNo=2059&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-05-09,2059,川湖,TWSE,445.00,451.50,441.50,447.00,293100,130312400,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170501&stockNo=2059&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-02-03,2101,南港,TWSE,46.60,47.50,45.20,47.40,3115264,145327628,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200201&stockNo=2101&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-02-10,2101,南港,TWSE,44.05,44.90,43.25,43.30,2359276,103524105,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200201&stockNo=2101&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-08-31,2108,南帝,TWSE,46.80,47.90,46.15,46.95,8173318,384170255,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200801&stockNo=2108&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2020-09-07,2108,南帝,TWSE,49.35,49.85,48.00,48.00,4925845,239348749,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20200901&stockNo=2108&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-11-16,2231,為升,TWSE,379.00,393.00,378.00,382.00,326369,125525482,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20151101&stockNo=2231&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2015-11-23,2231,為升,TWSE,368.00,395.00,368.00,389.00,650953,250780764,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20151101&stockNo=2231&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2016-07-15,2231,為升,TWSE,367.00,373.00,366.00,366.50,252139,92862542,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160701&stockNo=2231&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
2017-12-11,2231,為升,TWSE,308.50,309.50,296.00,300.00,712289,214251700,twse_rwd_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20171201&stockNo=2231&response=json,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated
