ticker,date,market,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,checkpoint_path,source_reuse,future_data_violation_count
00631L,2016-01-18,TWSE,15.96,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-19,TWSE,16.1,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-21,TWSE,15.23,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-22,TWSE,15.65,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-26,TWSE,15.92,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-01-29,TWSE,16.92,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-18T07:23:34+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_sleeve_internal_timing_close_fill_20260718\checkpoints\00631L\2016-01.json.gz,previous_accepted_official_ticker_month_checkpoint,0
00631L,2016-02-02,TWSE,17.2,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=00631L&response=json,91f06cb18d9d579bdee973ee47c6be7d3a4131d51c51d742a9f0f9c5c0c18b87,2026-07-20T01:06:40+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_old_ai7_priority_00631l_backup_cd_override_execution_union_close_fill_20260720\checkpoints\00631L\2016-02.json.gz,new_authorized_official_ticker_month_route,0
00631L,2016-02-03,TWSE,16.97,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=00631L&response=json,91f06cb18d9d579bdee973ee47c6be7d3a4131d51c51d742a9f0f9c5c0c18b87,2026-07-20T01:06:40+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_old_ai7_priority_00631l_backup_cd_override_execution_union_close_fill_20260720\checkpoints\00631L\2016-02.json.gz,new_authorized_official_ticker_month_route,0
00631L,2016-02-15,TWSE,17.03,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=00631L&response=json,91f06cb18d9d579bdee973ee47c6be7d3a4131d51c51d742a9f0f9c5c0c18b87,2026-07-20T01:06:40+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_old_ai7_priority_00631l_backup_cd_override_execution_union_close_fill_20260720\checkpoints\00631L\2016-02.json.gz,new_authorized_official_ticker_month_route,0
00631L,2016-02-17,TWSE,17.61,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=00631L&response=json,91f06cb18d9d579bdee973ee47c6be7d3a4131d51c51d742a9f0f9c5c0c18b87,2026-07-20T01:06:40+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_old_ai7_priority_00631l_backup_cd_override_execution_union_close_fill_20260720\checkpoints\00631L\2016-02.json.gz,new_authorized_official_ticker_month_route,0
