ticker,date,source_rows,distinct_close_values,close_values,source_components
2312,2025-03-12,2,2,23.85|24.65,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2312,2025-03-17,2,2,23.5|23.85,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2312,2025-07-17,2,2,18.4|18.55,p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2313,2022-08-04,4,2,48.55|49.55,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2313,2022-11-28,4,2,43.3|48.5,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2317,2022-08-04,4,2,108.0|112.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2317,2022-11-28,4,2,93.6|100.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2317,2023-10-11,3,2,83.3|106.0,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2317,2025-07-17,3,2,164.0|165.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2324,2022-08-04,4,2,22.75|22.85,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2324,2023-05-29,3,2,21.05|28.15,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2327,2022-11-28,4,2,339.5|437.5,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2327,2026-03-11,3,2,264.5|339.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2328,2022-08-04,2,2,33.9|36.15,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2328,2022-11-28,2,2,25.95|34.4,p1_official_raw_annual_compact|p3_official_raw_annual_compact
2329,2023-12-04,3,2,9.66|64.9,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2329,2024-01-04,3,2,11.4|52.5,core_normalized_local_close_index|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
2330,2019-06-18,2,2,227.0|235.5,p1_official_raw_annual_compact|shifted_reusable_combined_close_index
2330,2022-08-04,4,2,500.0|520.0,core_normalized_local_close_index|p1_official_raw_annual_compact|p3_official_raw_annual_compact|shifted_reusable_combined_close_index
