period,ticker,name,first_primary80_eligible_date,warmup_start_date,scope_end_date,required_session_rows,warmup_sessions_before_first_eligible,official_delisting_cap_applied
P1,1514,亞力,2018-05-04,2018-02-09,2022-12-29,1275,60,False
P1,1515,力山,2017-09-22,2017-06-30,2022-12-29,1435,60,False
P1,1519,華城,2020-07-24,2020-05-01,2022-12-29,695,60,False
P1,1521,大億,2015-06-18,2015-03-26,2022-12-29,2026,60,False
P1,1522,堤維西,2015-12-04,2015-09-11,2022-12-29,1905,60,False
P1,1524,耿鼎,2022-07-01,2022-04-08,2022-12-29,190,60,False
P1,1525,江申,2016-05-13,2016-02-19,2022-12-29,1790,60,False
P1,1526,日馳,2018-11-30,2018-09-07,2022-12-29,1125,60,False
P1,1527,鑽全,2015-04-24,2015-01-30,2022-12-29,2065,60,False
P1,1532,勤美,2016-05-20,2016-02-26,2022-12-29,1785,60,False
P1,1533,車王電,2016-03-18,2015-12-25,2022-12-29,1830,60,False
P1,1536,和大,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,1537,廣隆,2015-06-26,2015-04-03,2022-12-29,2020,60,False
P1,1539,巨庭,2015-07-03,2015-04-10,2022-12-29,2015,60,False
P1,1541,錩泰,2016-05-13,2016-02-19,2022-12-29,1790,60,False
P1,1558,伸興,2015-04-10,2015-01-16,2022-12-29,2075,60,False
P1,1560,中砂,2015-03-13,2014-12-19,2022-12-29,2095,60,False
P1,1565,精華,2015-01-30,2014-11-07,2022-12-29,2125,60,False
P1,1568,倉佑,2016-03-25,2016-01-01,2022-12-29,1825,60,False
P1,1569,濱川,2016-11-04,2016-08-12,2022-12-29,1665,60,False
P1,1580,新麥,2016-03-11,2015-12-18,2022-12-29,1835,60,False
P1,1584,精剛,2022-05-20,2022-02-25,2022-12-29,220,60,False
P1,1586,和勤,2017-10-20,2017-07-28,2022-12-29,1415,60,False
P1,1589,永冠-KY,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,1590,亞德客-KY,2015-05-08,2015-02-13,2022-12-29,2055,60,False
P1,1592,英瑞-KY,2016-05-20,2016-02-26,2022-01-27,1545,60,True
P1,1597,直得,2017-06-23,2017-03-31,2020-12-23,974,60,True
P1,1598,岱宇,2020-06-12,2020-03-20,2022-12-29,725,60,False
P1,1599,宏佳騰,2016-03-25,2016-01-01,2022-12-29,1825,60,False
P1,1605,華新,2016-09-23,2016-07-01,2022-12-29,1695,60,False
P1,1608,華榮,2021-05-14,2021-02-19,2022-12-29,485,60,False
P1,1609,大亞,2017-11-10,2017-08-18,2022-12-29,1400,60,False
P1,1612,宏泰,2022-04-01,2022-01-07,2022-12-29,255,60,False
P1,1701,中化,2020-03-13,2019-12-20,2022-12-29,790,60,False
P1,1702,南僑,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,1704,榮化,2016-05-13,2016-02-19,2019-01-30,769,60,True
P1,1707,葡萄王,2015-04-10,2015-01-16,2022-12-29,2075,60,False
P1,1708,東鹼,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,1709,和益,2022-02-18,2021-11-26,2022-12-29,285,60,False
P1,1710,東聯,2015-09-11,2015-06-19,2022-12-29,1965,60,False
P1,1711,永光,2015-12-04,2015-09-11,2022-12-29,1905,60,False
P1,1712,興農,2022-04-22,2022-01-28,2022-12-29,240,60,False
P1,1714,和桐,2020-08-21,2020-05-29,2022-12-29,675,60,False
P1,1717,長興,2017-05-05,2017-02-10,2022-12-29,1535,60,False
P1,1718,中纖,2015-01-16,2014-10-24,2022-12-29,2135,60,False
P1,1720,生達,2015-12-04,2015-09-11,2022-12-29,1905,60,False
P1,1722,台肥,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,1723,中碳,2015-06-26,2015-04-03,2022-12-29,2020,60,False
P1,1727,中華化,2021-10-08,2021-07-16,2022-12-29,380,60,False
P1,1729,必翔,2016-10-21,2016-07-29,2018-01-02,373,60,True
P1,1730,花仙子,2018-12-14,2018-09-21,2022-12-29,1115,60,False
P1,1732,毛寶,2020-03-20,2019-12-27,2022-12-29,785,60,False
P1,1733,五鼎,2016-06-08,2016-03-16,2022-12-29,1772,60,False
P1,1734,杏輝,2020-07-24,2020-05-01,2022-12-29,695,60,False
P1,1736,喬山,2015-02-13,2014-11-21,2022-12-29,2115,60,False
P1,1737,臺鹽,2016-01-08,2015-10-16,2022-12-29,1880,60,False
P1,1752,南光,2015-07-31,2015-05-08,2022-01-19,1749,60,True
P1,1760,寶齡富錦,2018-07-27,2018-05-04,2022-12-29,1215,60,False
P1,1762,中化生,2019-07-05,2019-04-12,2022-12-29,970,60,False
P1,1773,勝一,2018-08-03,2018-05-11,2022-12-29,1210,60,False
P1,1784,訊聯,2018-09-07,2018-06-15,2022-12-29,1185,60,False
P1,1785,光洋科,2018-01-26,2017-11-03,2022-12-29,1345,60,False
P1,1786,科妍,2015-04-10,2015-01-16,2022-12-29,2075,60,False
P1,1789,神隆,2015-07-24,2015-05-01,2022-12-29,2000,60,False
P1,1795,美時,2015-01-09,2014-10-17,2019-12-16,1347,60,True
P1,1802,台玻,2017-03-10,2016-12-16,2022-12-29,1575,60,False
P1,1815,富喬,2016-08-12,2016-05-20,2022-12-29,1725,60,False
P1,1902,台紙,2020-04-01,2020-01-08,2020-06-01,104,60,True
P1,1904,正隆,2017-01-20,2016-10-28,2022-12-29,1610,60,False
P1,1905,華紙,2017-02-24,2016-12-02,2022-12-29,1585,60,False
P1,1907,永豐餘,2017-01-20,2016-10-28,2022-12-29,1610,60,False
P1,1909,榮成,2016-07-07,2016-04-14,2022-12-29,1751,60,False
P1,2002,中鋼,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2006,東和鋼鐵,2017-04-14,2017-01-20,2022-12-29,1550,60,False
P1,2007,燁興,2021-08-13,2021-05-21,2022-12-29,420,60,False
P1,2009,第一銅,2017-12-29,2017-10-06,2022-12-29,1365,60,False
P1,2010,春源,2021-05-07,2021-02-12,2022-12-29,490,60,False
P1,2013,中鋼構,2018-05-11,2018-02-16,2022-12-29,1270,60,False
P1,2014,中鴻,2016-11-25,2016-09-02,2022-12-29,1650,60,False
P1,2017,官田鋼,2021-07-23,2021-04-30,2022-12-29,435,60,False
P1,2020,美亞,2021-07-23,2021-04-30,2022-12-29,435,60,False
P1,2022,聚亨,2021-07-23,2021-04-30,2022-12-29,435,60,False
P1,2023,燁輝,2016-09-23,2016-07-01,2022-12-29,1695,60,False
P1,2027,大成鋼,2017-11-03,2017-08-11,2022-12-29,1405,60,False
P1,2028,威致,2021-05-14,2021-02-19,2022-12-29,485,60,False
P1,2029,盛餘,2016-11-11,2016-08-19,2022-12-29,1660,60,False
P1,2030,彰源,2017-08-25,2017-06-02,2022-12-29,1455,60,False
P1,2031,新光鋼,2016-12-09,2016-09-16,2022-12-29,1640,60,False
P1,2034,允強,2016-11-25,2016-09-02,2022-12-29,1650,60,False
P1,2038,海光,2018-05-04,2018-02-09,2022-12-29,1275,60,False
P1,2049,上銀,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2059,川湖,2015-02-26,2014-12-04,2022-12-29,2106,60,False
P1,2062,橋椿,2015-09-25,2015-07-03,2022-12-29,1955,60,False
P1,2066,世德,2016-09-14,2016-06-22,2022-12-29,1702,60,False
P1,2069,運錩,2021-07-23,2021-04-30,2022-12-29,435,60,False
P1,2101,南港,2015-08-07,2015-05-15,2022-12-29,1990,60,False
P1,2103,台橡,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,2104,國際中橡,2016-12-16,2016-09-23,2022-12-29,1635,60,False
P1,2105,正新,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2106,建大,2015-02-13,2014-11-21,2022-12-29,2115,60,False
P1,2108,南帝,2015-10-08,2015-07-16,2022-12-29,1946,60,False
P1,2201,裕隆,2015-06-05,2015-03-13,2022-12-29,2035,60,False
P1,2204,中華,2015-08-21,2015-05-29,2022-12-29,1980,60,False
P1,2206,三陽工業,2015-06-12,2015-03-20,2022-12-29,2030,60,False
P1,2207,和泰車,2015-05-15,2015-02-20,2022-12-29,2050,60,False
P1,2221,大甲,2018-07-20,2018-04-27,2022-12-29,1220,60,False
P1,2227,裕日車,2015-05-22,2015-02-27,2022-12-29,2045,60,False
P1,2228,劍麟,2015-06-18,2015-03-26,2022-12-29,2026,60,False
P1,2231,為升,2015-02-26,2014-12-04,2022-12-29,2106,60,False
P1,2233,宇隆,2015-03-06,2014-12-12,2019-09-17,1243,60,True
P1,2239,英利-KY,2016-03-11,2015-12-18,2022-12-29,1835,60,False
P1,2301,光寶科,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2303,聯電,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2305,全友,2022-09-16,2022-06-24,2022-12-29,135,60,False
P1,2308,台達電,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2311,日月光,2015-01-09,2014-10-17,2018-04-30,922,60,True
P1,2312,金寶,2015-01-16,2014-10-24,2022-12-29,2135,60,False
P1,2313,華通,2015-01-30,2014-11-07,2022-12-29,2125,60,False
P1,2314,台揚,2016-12-16,2016-09-23,2022-12-29,1635,60,False
P1,2316,楠梓電,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,2317,鴻海,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2324,仁寶,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2325,矽品,2015-01-09,2014-10-17,2018-04-30,922,60,True
P1,2327,國巨*,2015-02-26,2014-12-04,2022-12-29,2106,60,False
P1,2328,廣宇,2016-12-30,2016-10-07,2022-12-29,1625,60,False
P1,2329,華泰,2015-03-06,2014-12-12,2022-12-29,2100,60,False
P1,2330,台積電,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2331,精英,2015-03-27,2015-01-02,2022-12-29,2085,60,False
P1,2332,友訊,2018-06-01,2018-03-09,2022-12-29,1255,60,False
P1,2337,旺宏,2015-04-10,2015-01-16,2022-12-29,2075,60,False
P1,2338,光罩,2018-07-06,2018-04-13,2022-12-29,1230,60,False
P1,2340,台亞,2016-12-09,2016-09-16,2022-12-29,1640,60,False
P1,2342,茂矽,2020-08-07,2020-05-15,2022-12-29,685,60,False
P1,2344,華邦電,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2345,智邦,2016-02-19,2015-11-27,2022-12-29,1850,60,False
P1,2347,聯強,2015-04-24,2015-01-30,2022-12-29,2065,60,False
P1,2351,順德,2016-08-26,2016-06-03,2022-12-29,1715,60,False
P1,2352,佳世達,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2353,宏碁,2015-01-23,2014-10-31,2022-12-29,2130,60,False
P1,2354,鴻準,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2355,敬鵬,2015-03-13,2014-12-19,2022-12-29,2095,60,False
P1,2356,英業達,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2357,華碩,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2359,所羅門,2017-09-22,2017-06-30,2022-12-29,1435,60,False
P1,2360,致茂,2015-03-06,2014-12-12,2022-12-29,2100,60,False
P1,2362,藍天,2015-08-14,2015-05-22,2022-12-29,1985,60,False
P1,2367,燿華,2018-01-19,2017-10-27,2022-12-29,1350,60,False
P1,2368,金像電,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2369,菱生,2017-02-24,2016-12-02,2022-12-29,1585,60,False
P1,2371,大同,2017-09-15,2017-06-23,2022-12-29,1440,60,False
P1,2374,佳能,2017-08-25,2017-06-02,2022-12-29,1455,60,False
P1,2375,凱美,2019-01-25,2018-11-02,2022-12-29,1085,60,False
P1,2376,技嘉,2015-02-13,2014-11-21,2022-12-29,2115,60,False
P1,2377,微星,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,2379,瑞昱,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2382,廣達,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2383,台光電,2015-02-13,2014-11-21,2022-12-29,2115,60,False
P1,2385,群光,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,2387,精元,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2388,威盛,2018-12-14,2018-09-21,2022-12-29,1115,60,False
P1,2392,正崴,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,2393,億光,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,2395,研華,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2399,映泰,2018-02-23,2017-12-01,2022-12-29,1325,60,False
P1,2401,凌陽,2015-04-17,2015-01-23,2022-12-29,2070,60,False
P1,2402,毅嘉,2015-01-16,2014-10-24,2022-12-29,2135,60,False
P1,2404,漢唐,2016-02-19,2015-11-27,2022-12-29,1850,60,False
P1,2405,輔信,2018-06-08,2018-03-16,2022-12-29,1250,60,False
P1,2406,國碩,2015-03-27,2015-01-02,2022-12-29,2085,60,False
P1,2408,南亞科,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2409,友達,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2412,中華電,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2413,環科,2022-11-04,2022-08-12,2022-12-29,100,60,False
P1,2415,錩新,2016-11-25,2016-09-02,2022-12-29,1650,60,False
P1,2417,圓剛,2020-07-31,2020-05-08,2022-12-29,690,60,False
P1,2419,仲琦,2016-01-08,2015-10-16,2022-12-29,1880,60,False
P1,2421,建準,2016-08-05,2016-05-13,2022-12-29,1730,60,False
P1,2425,承啟,2019-06-28,2019-04-05,2022-12-29,975,60,False
P1,2426,鼎元,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,2428,興勤,2016-09-09,2016-06-17,2022-12-29,1705,60,False
P1,2431,聯昌,2015-03-20,2014-12-26,2022-12-29,2090,60,False
P1,2436,偉詮電,2015-01-30,2014-11-07,2022-12-29,2125,60,False
P1,2439,美律,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2441,超豐,2017-03-03,2016-12-09,2022-12-29,1580,60,False
P1,2442,新美齊,2018-10-26,2018-08-03,2022-12-29,1150,60,False
P1,2444,兆勁,2017-06-16,2017-03-24,2022-12-29,1505,60,False
P1,2448,晶電,2015-01-09,2014-10-17,2021-01-06,1624,60,True
P1,2449,京元電子,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2451,創見,2015-03-20,2014-12-26,2022-12-29,2090,60,False
P1,2454,聯發科,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2455,全新,2015-03-06,2014-12-12,2022-12-29,2100,60,False
P1,2456,奇力新,2015-02-06,2014-11-14,2022-01-05,1864,60,True
P1,2457,飛宏,2022-11-25,2022-09-02,2022-12-29,85,60,False
P1,2458,義隆,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2461,光群雷,2016-12-30,2016-10-07,2022-12-29,1625,60,False
P1,2464,盟立,2015-12-18,2015-09-25,2022-12-29,1895,60,False
P1,2465,麗臺,2021-11-05,2021-08-13,2022-12-29,360,60,False
P1,2467,志聖,2016-12-30,2016-10-07,2022-12-29,1625,60,False
P1,2468,華經,2022-11-04,2022-08-12,2022-12-29,100,60,False
P1,2472,立隆電,2016-07-22,2016-04-29,2022-12-29,1740,60,False
P1,2474,可成,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2476,鉅祥,2021-07-02,2021-04-09,2022-12-29,450,60,False
P1,2478,大毅,2018-04-13,2018-01-19,2022-12-29,1290,60,False
P1,2480,敦陽科,2019-04-12,2019-01-18,2022-12-29,1030,60,False
P1,2481,強茂,2017-09-29,2017-07-07,2022-12-29,1430,60,False
P1,2482,連宇,2022-06-24,2022-04-01,2022-12-29,195,60,False
P1,2483,百容,2017-11-03,2017-08-11,2022-12-29,1405,60,False
P1,2484,希華,2016-03-25,2016-01-01,2022-12-29,1825,60,False
P1,2485,兆赫,2015-06-18,2015-03-26,2022-12-29,2026,60,False
P1,2486,一詮,2021-07-02,2021-04-09,2022-12-29,450,60,False
P1,2488,漢平,2016-04-15,2016-01-22,2022-12-29,1810,60,False
P1,2489,瑞軒,2016-04-15,2016-01-22,2022-12-29,1810,60,False
P1,2492,華新科,2015-02-13,2014-11-21,2022-12-29,2115,60,False
P1,2497,怡利電,2021-12-30,2021-10-07,2022-12-29,321,60,False
P1,2498,宏達電,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2499,東貝,2015-03-06,2014-12-12,2020-11-10,1543,60,True
P1,2501,國建,2019-06-06,2019-03-14,2022-12-29,991,60,False
P1,2504,國產,2018-07-27,2018-05-04,2022-12-29,1215,60,False
P1,2505,國揚,2020-08-21,2020-05-29,2022-12-29,675,60,False
P1,2514,龍邦,2015-06-18,2015-03-26,2022-12-29,2026,60,False
P1,2515,中工,2015-06-18,2015-03-26,2022-12-29,2026,60,False
P1,2520,冠德,2015-02-26,2014-12-04,2022-12-29,2106,60,False
P1,2534,宏盛,2017-09-22,2017-06-30,2022-12-29,1435,60,False
P1,2535,達欣工,2018-05-18,2018-02-23,2022-12-29,1265,60,False
P1,2542,興富發,2015-01-30,2014-11-07,2022-12-29,2125,60,False
P1,2545,皇翔,2015-07-24,2015-05-01,2022-12-29,2000,60,False
P1,2547,日勝生,2018-09-14,2018-06-22,2022-12-29,1180,60,False
P1,2548,華固,2015-08-28,2015-06-05,2022-12-29,1975,60,False
P1,2601,益航,2018-05-25,2018-03-02,2022-12-29,1260,60,False
P1,2603,長榮,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2605,新興,2021-09-17,2021-06-25,2022-12-29,395,60,False
P1,2606,裕民,2017-09-01,2017-06-09,2022-12-29,1450,60,False
P1,2607,榮運,2021-06-11,2021-03-19,2022-12-29,465,60,False
P1,2608,嘉里大榮,2015-05-08,2015-02-13,2022-12-29,2055,60,False
P1,2609,陽明,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2610,華航,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2612,中航,2016-12-02,2016-09-09,2022-12-29,1645,60,False
P1,2614,東森,2018-10-26,2018-08-03,2022-12-29,1150,60,False
P1,2615,萬海,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2617,台航,2018-11-02,2018-08-10,2022-12-29,1145,60,False
P1,2618,長榮航,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2633,台灣高鐵,2017-01-20,2016-10-28,2022-12-29,1610,60,False
P1,2634,漢翔,2015-03-06,2014-12-12,2022-12-29,2100,60,False
P1,2636,台驊控股,2015-10-02,2015-07-10,2016-12-22,380,60,True
P1,2637,慧洋-KY,2018-11-02,2018-08-10,2022-12-29,1145,60,False
P1,2641,正德,2016-09-14,2016-06-22,2022-12-29,1702,60,False
P1,2642,宅配通,2021-05-21,2021-02-26,2022-12-29,480,60,False
P1,2643,捷迅,2016-09-14,2016-06-22,2022-12-29,1702,60,False
P1,2707,晶華,2015-08-07,2015-05-15,2022-12-29,1990,60,False
P1,2723,美食-KY,2015-09-04,2015-06-12,2022-12-29,1970,60,False
P1,2727,王品,2015-05-15,2015-02-20,2022-12-29,2050,60,False
P1,2731,雄獅,2015-05-22,2015-02-27,2022-12-29,2045,60,False
P1,2732,六角,2016-09-14,2016-06-22,2022-12-29,1702,60,False
P1,2736,富野,2022-07-22,2022-04-29,2022-12-29,175,60,False
P1,2753,八方雲集,2022-09-30,2022-07-08,2022-12-29,125,60,False
P1,2754,亞洲藏壽司,2022-09-30,2022-07-08,2022-12-29,125,60,False
P1,2801,彰銀,2015-02-13,2014-11-21,2022-12-29,2115,60,False
P1,2809,京城銀,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,2812,台中銀,2017-07-28,2017-05-05,2022-12-29,1475,60,False
P1,2820,華票,2019-08-30,2019-06-07,2022-12-29,930,60,False
P1,2823,中壽,2015-01-30,2014-11-07,2021-12-30,1865,60,True
P1,2833,台壽保,2015-03-13,2014-12-19,2015-10-15,215,60,True
P1,2834,臺企銀,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,2841,台開,2015-03-20,2014-12-26,2022-08-04,1985,60,True
P1,2845,遠東銀,2015-08-28,2015-06-05,2022-12-29,1975,60,False
P1,2856,元富證,2018-03-16,2017-12-22,2018-10-01,202,60,True
P1,2867,三商壽,2015-05-08,2015-02-13,2022-12-29,2055,60,False
P1,2880,華南金,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,2881,富邦金,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2882,國泰金,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2883,凱基金,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2884,玉山金,2015-01-23,2014-10-31,2022-12-29,2130,60,False
P1,2885,元大金,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2886,兆豐金,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2887,台新新光金,2015-01-23,2014-10-31,2022-12-29,2130,60,False
P1,2888,新光金,2015-01-30,2014-11-07,2022-12-29,2125,60,False
P1,2889,國票金,2019-03-22,2018-12-28,2022-12-29,1045,60,False
P1,2890,永豐金,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,2891,中信金,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2892,第一金,2015-01-30,2014-11-07,2022-12-29,2125,60,False
P1,2897,王道銀行,2022-04-08,2022-01-14,2022-12-29,250,60,False
P1,2903,遠百,2015-05-08,2015-02-13,2022-12-29,2055,60,False
P1,2912,統一超,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,2915,潤泰全,2015-02-13,2014-11-21,2022-12-29,2115,60,False
P1,2928,紅馬-KY,2018-03-02,2017-12-08,2021-10-22,1011,60,True
P1,2929,淘帝-KY,2015-04-10,2015-01-16,2022-12-29,2075,60,False
P1,3003,健和興,2017-02-17,2016-11-25,2022-12-29,1590,60,False
P1,3004,豐達科,2019-01-11,2018-10-19,2022-12-29,1095,60,False
P1,3005,神基,2015-01-16,2014-10-24,2022-12-29,2135,60,False
P1,3006,晶豪科,2015-01-16,2014-10-24,2022-12-29,2135,60,False
P1,3008,大立光,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,3010,華立,2022-01-21,2021-10-29,2022-12-29,305,60,False
P1,3013,晟銘電,2016-09-23,2016-07-01,2022-12-29,1695,60,False
P1,3014,聯陽,2015-03-13,2014-12-19,2022-12-29,2095,60,False
P1,3015,全漢,2020-08-14,2020-05-22,2022-12-29,680,60,False
P1,3016,嘉晶,2017-01-06,2016-10-14,2022-12-29,1620,60,False
P1,3017,奇鋐,2015-01-30,2014-11-07,2022-12-29,2125,60,False
P1,3019,亞光,2015-02-06,2014-11-14,2022-12-29,2120,60,False
P1,3022,威強電,2015-03-20,2014-12-26,2022-12-29,2090,60,False
P1,3023,信邦,2015-03-06,2014-12-12,2022-12-29,2100,60,False
P1,3026,禾伸堂,2017-03-17,2016-12-23,2022-12-29,1570,60,False
P1,3027,盛達,2022-10-07,2022-07-15,2022-12-29,120,60,False
P1,3029,零壹,2015-04-30,2015-02-05,2022-12-29,2061,60,False
P1,3030,德律,2015-03-06,2014-12-12,2022-12-29,2100,60,False
P1,3032,偉訓,2016-04-08,2016-01-15,2022-12-29,1815,60,False
P1,3033,威健,2018-03-09,2017-12-15,2022-12-29,1315,60,False
P1,3034,聯詠,2015-01-09,2014-10-17,2022-12-29,2140,60,False
P1,3035,智原,2015-01-16,2014-10-24,2022-12-29,2135,60,False
P1,3036,文曄,2015-02-26,2014-12-04,2022-12-29,2106,60,False
P1,3037,欣興,2015-01-23,2014-10-31,2022-12-29,2130,60,False
P1,3038,全台,2019-07-05,2019-04-12,2022-12-29,970,60,False
P1,3042,晶技,2015-04-24,2015-01-30,2022-12-29,2065,60,False
P1,3044,健鼎,2015-01-23,2014-10-31,2022-12-29,2130,60,False
