period,ticker,date,variant_id,decision_date,role,reason,raw_source,source_priority,source_component,blocked_reason,prior_route_status,prior_route_error,network_authorized,network_policy_reason,official_raw_close,source_quality,market,source_url,source_hash,retrieved_at,blocked_reason_after_bounded_network
P1,3498,2016-04-19,S07_CD7,2016-04-18,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,4971,2016-04-13,S07_CD3,2016-04-12,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,6409,2015-03-31,S01_CD10,2015-03-30,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,6414,2015-09-29,S10_CD3,2015-09-25,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,8150,2015-07-01,S05_CD2,2015-06-30,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P1,8150,2015-07-07,S09_CD7,2015-07-06,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P2,2303,2023-03-15,S10_CD3,2023-03-14,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P2,2482,2023-07-07,S10_CD7,2023-07-06,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P2,3576,2023-01-04,S01_CD2,2023-01-03,buy,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
P2,6469,2023-08-07,S10_CD2,2023-08-04,sell,missing_official_raw_execution_close,,,,exact_key_absent_from_normalized_index_and_target_only_checkpoints,missing_checkpoint,,False,no_prior_success_checkpoint_no_retry,,,,,,,network_route_not_authorized_by_prior_success_policy
