family,market,date,status,wanted_tickers,filtered_rows,http_status,response_bytes,source_url,response_sha256,retrieval_time_utc,error
margin_short,TPEx,2023-06-01,accepted,500,140,200,90505,https://www.tpex.org.tw/www/zh-tw/margin/balance,5303e58b8f9d57ab4d9032e6d08c4b57f61255f0f03abb65e05468f7c0ebd564,2026-07-11T08:54:45+00:00,
securities_lending,TPEx,2023-06-05,accepted,500,147,200,84843,https://www.tpex.org.tw/www/zh-tw/margin/sbl,3f43e507ec614307c63a8f515375f528c885ff5e60ce0c6e1b58ddfad8aee8d3,2026-07-11T08:54:48+00:00,
institutional,TWSE,2023-06-05,accepted,500,350,200,163700,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230605&selectType=ALLBUT0999&response=json,dd4e4bf702f94aa733c90369f49bb7ef158f4f2f8e15d4bd3cc480400567808f,2026-07-11T08:54:47+00:00,
institutional,TPEx,2023-06-05,accepted,500,146,200,123049,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,502cc44972565d3e0a8a40162a1125faa63e4c81edac0610378b931e5510fbaf,2026-07-11T08:54:48+00:00,
margin_short,TWSE,2023-06-06,no_rows_valid_official_response,500,0,200,110801,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230606&selectType=ALL&response=json,19207dece0ee7ebda0f495e28afa3d489205f6bf4eb641e3cd814422ee543396,2026-07-11T08:54:49+00:00,
institutional,TPEx,2023-06-06,accepted,500,147,200,119457,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,b95f879e46a2a72893f0403a58604442010f124af683a43fba6c7a5c361e1eb5,2026-07-11T08:54:49+00:00,
margin_short,TWSE,2023-06-07,no_rows_valid_official_response,500,0,200,110906,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230607&selectType=ALL&response=json,dc199d4e4f05592333772ecae94031a5801b6268a364fcc4c28034eff952ded6,2026-07-11T08:54:49+00:00,
margin_short,TPEx,2023-06-06,accepted,500,140,200,90873,https://www.tpex.org.tw/www/zh-tw/margin/balance,a0b00f2fb9080e8cef93c57cfa50d7f6ce1b9d969e5fbcec2ee4a988fbce0f47,2026-07-11T08:54:49+00:00,
securities_lending,TWSE,2023-06-06,no_rows_valid_official_response,500,0,200,164570,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230606&response=json,41ded3adde8adad3abcdebd09a9d4558557ceb21c4e388eb63d729a3aa479bc9,2026-07-11T08:54:49+00:00,
institutional,TWSE,2023-06-06,accepted,500,350,200,163862,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230606&selectType=ALLBUT0999&response=json,995bec362bec1e44de2d9b063c1be8fbeb0f9bb775840a63fa6df343f68e846c,2026-07-11T08:54:49+00:00,
securities_lending,TPEx,2023-06-06,accepted,500,147,200,85407,https://www.tpex.org.tw/www/zh-tw/margin/sbl,4eb21df065c74de3ac0a79777cfdfb0ed232434a7d39f6528a40cbfa9ade4030,2026-07-11T08:54:49+00:00,
securities_lending,TWSE,2023-06-07,no_rows_valid_official_response,500,0,200,164719,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230607&response=json,eab9fada7649bbc3cd45e0d04b207785e7f2af29e6c5f3c82c97b3e0cf8dcc77,2026-07-11T08:54:50+00:00,
institutional,TWSE,2023-06-07,accepted,500,350,200,163848,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230607&selectType=ALLBUT0999&response=json,5218c3bc021f4e9755028ea6ecb51114e16e0576dc3c2bc7dfaec5bb7508e1ae,2026-07-11T08:54:49+00:00,
margin_short,TWSE,2023-06-08,no_rows_valid_official_response,505,0,200,111041,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230608&selectType=ALL&response=json,871771f7f2c116756487f78c65ece728d88df4466f3a2d0da0c239174be6bb79,2026-07-11T08:54:50+00:00,
securities_lending,TPEx,2023-06-07,accepted,500,147,200,85101,https://www.tpex.org.tw/www/zh-tw/margin/sbl,9296507a912f169bbd19b766b8aa1386c59f0ed8064291138942669f632b83a7,2026-07-11T08:54:50+00:00,
institutional,TPEx,2023-06-07,accepted,500,146,200,122110,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,35f29ba254e91faa657974585b5c13ae8fcd7da3a72ff8588a37e5227410a1a0,2026-07-11T08:54:50+00:00,
securities_lending,TWSE,2023-06-08,no_rows_valid_official_response,505,0,200,164945,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230608&response=json,58912c1583918e262b483ba0841844b45245dfe10a606a21488fc64765287548,2026-07-11T08:54:50+00:00,
margin_short,TPEx,2023-06-08,accepted,505,141,200,91000,https://www.tpex.org.tw/www/zh-tw/margin/balance,2968166c773d26fea2aa48ff5e83f3238a5008cd8ef5d158d467738a1a52a3df,2026-07-11T08:54:51+00:00,
institutional,TPEx,2023-06-08,accepted,505,149,200,123933,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,b0c45291da2d42f8fae8c47bd50465ec84776b337c154245cf8bfac587d14393,2026-07-11T08:54:51+00:00,
securities_lending,TPEx,2023-06-08,accepted,505,149,200,85640,https://www.tpex.org.tw/www/zh-tw/margin/sbl,b2de3502ec80fce98f3c75857df1086f3838f2d869d843b2078f1705c7679494,2026-07-11T08:54:51+00:00,
institutional,TWSE,2023-06-08,accepted,505,353,200,162631,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230608&selectType=ALLBUT0999&response=json,e24a4bd04b748eb0b4669d330f07d425f7453941b178a702c49cca1b5cdc4e5e,2026-07-11T08:54:50+00:00,
margin_short,TWSE,2023-06-09,no_rows_valid_official_response,505,0,200,111053,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230609&selectType=ALL&response=json,a0f7a814114aa4c2d5e6bedc71bece3b7440f958ced7ba65276c43d754f83cb8,2026-07-11T08:54:52+00:00,
margin_short,TPEx,2023-06-07,accepted,500,140,200,90947,https://www.tpex.org.tw/www/zh-tw/margin/balance,835c0d46fe4f74fed5504aab2b082789fcb613bff8001947da56fd4d35dabace,2026-07-11T08:54:50+00:00,
securities_lending,TWSE,2023-06-09,no_rows_valid_official_response,505,0,200,165430,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230609&response=json,acb5e4c1b654c11fe30340670d8726c2685ac102c8d065a71791e4149a4c7c0a,2026-07-11T08:54:52+00:00,
margin_short,TPEx,2023-06-09,accepted,505,141,200,90911,https://www.tpex.org.tw/www/zh-tw/margin/balance,2555fda8971066ccebb62bc7c3dafbb53aff7c68d531ee06f37141d141b966b4,2026-07-11T08:54:52+00:00,
securities_lending,TPEx,2023-06-09,accepted,505,149,200,85696,https://www.tpex.org.tw/www/zh-tw/margin/sbl,2522b4c52700b099850f2a23eee244e263fee2f98928c4b4c390acb475810ceb,2026-07-11T08:54:52+00:00,
margin_short,TWSE,2023-06-12,no_rows_valid_official_response,505,0,200,111060,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230612&selectType=ALL&response=json,8d79a389c895787a65590631393e687e2772842d713c1350654bad906eaa6eaa,2026-07-11T08:54:52+00:00,
institutional,TPEx,2023-06-09,accepted,505,148,200,123284,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,fa16edf1b4fead38bc04dc4c7bd3be571f983489e293b5f5d46a6fbca71e2b5b,2026-07-11T08:54:52+00:00,
institutional,TWSE,2023-06-09,accepted,505,353,200,163511,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230609&selectType=ALLBUT0999&response=json,7aad4de3651fdc3314b1567bbba524477df2346980c37713c9c0a7ceaf2c5830,2026-07-11T08:54:52+00:00,
securities_lending,TWSE,2023-06-12,no_rows_valid_official_response,505,0,200,164687,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230612&response=json,954f2ba220dc6376ef5c825773a7f59c0d008281f3401ad2b3bf65c4b1d5bc25,2026-07-11T08:54:53+00:00,
institutional,TPEx,2023-06-12,accepted,505,150,200,126054,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,90207572c0faad0666437bda8aa272b52a400a37459e9027a36bde63c4213a4a,2026-07-11T08:54:53+00:00,
margin_short,TPEx,2023-06-12,accepted,505,141,200,90963,https://www.tpex.org.tw/www/zh-tw/margin/balance,b20c89da29d2ce71e0bb65025f941fa3f6de6a19253b3146e5d7e8a23d3170ba,2026-07-11T08:54:53+00:00,
institutional,TWSE,2023-06-12,accepted,505,353,200,165648,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230612&selectType=ALLBUT0999&response=json,722d588602200815a09fc4478260f009c1318559d31aca5f50808625540c0664,2026-07-11T08:54:52+00:00,
margin_short,TWSE,2023-06-13,no_rows_valid_official_response,505,0,200,111029,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230613&selectType=ALL&response=json,e475e1f42ced1b7049a553fb32e0ef0f599e35a9f01be3db14a4f269b60292b8,2026-07-11T08:54:53+00:00,
securities_lending,TPEx,2023-06-12,accepted,505,149,200,85394,https://www.tpex.org.tw/www/zh-tw/margin/sbl,f410e8d2e3bacdeba47f527fb2be37a01785de3715dce0d378982bdac06769d4,2026-07-11T08:54:53+00:00,
securities_lending,TWSE,2023-06-13,no_rows_valid_official_response,505,0,200,165809,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230613&response=json,2932f7ec3582db5a0af1a1e21fb83de8e59d2b058689086d9361d05c1691b869,2026-07-11T08:54:53+00:00,
institutional,TWSE,2023-06-13,accepted,505,353,200,166821,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230613&selectType=ALLBUT0999&response=json,40172fbc03a7b51683c8b6aaac27c15b9cc7e109e041637f7636b9582c047b8e,2026-07-11T08:54:53+00:00,
securities_lending,TPEx,2023-06-13,accepted,505,149,200,85427,https://www.tpex.org.tw/www/zh-tw/margin/sbl,14f1593fafc4cc9aa468e661b721bd996d20028ff0a01ac92e48801f73d35a62,2026-07-11T08:54:54+00:00,
margin_short,TWSE,2023-06-14,no_rows_valid_official_response,505,0,200,111016,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230614&selectType=ALL&response=json,7f03e85eec8dacba4181689d30e5d7bbda1856d76fed420ce145a486d3b2fffc,2026-07-11T08:54:54+00:00,
margin_short,TPEx,2023-06-13,accepted,505,141,200,90985,https://www.tpex.org.tw/www/zh-tw/margin/balance,8b2cfac412e6f2201efbeeec4c77bf5af30be9da664168e3796c6a1920d33d8a,2026-07-11T08:54:54+00:00,
securities_lending,TWSE,2023-06-14,no_rows_valid_official_response,505,0,200,164753,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230614&response=json,9b877896c3b256cbe93a0cf3e28cc78e59eb8863f83e42e55ecc5bd2aba47632,2026-07-11T08:54:54+00:00,
institutional,TPEx,2023-06-13,accepted,505,149,200,123646,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,6408f9249eaedcf44ec37ad64bcd4f1ade66e71103dd62c62836979a40599706,2026-07-11T08:54:54+00:00,
margin_short,TPEx,2023-06-14,accepted,505,141,200,90850,https://www.tpex.org.tw/www/zh-tw/margin/balance,aeaa4d8ba33e63b45421d3c385f3989fe29c8075e2c1c4dc36154c5cb481a853,2026-07-11T08:54:55+00:00,
institutional,TWSE,2023-06-14,accepted,505,353,200,162514,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230614&selectType=ALLBUT0999&response=json,6cf95b149a29fa900f39f9785910b3c45e483f7e079b1d1b3de8fd015df10c4d,2026-07-11T08:54:54+00:00,
institutional,TPEx,2023-06-14,accepted,505,148,200,122211,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,70925b985764ed9a16ee1879982d939a5aa22033878c2f66bdc25a4aeb12e8bf,2026-07-11T08:54:55+00:00,
securities_lending,TPEx,2023-06-14,accepted,505,149,200,84967,https://www.tpex.org.tw/www/zh-tw/margin/sbl,3f7f6ce7e5739f2597dcd5e817458ccf1f1678c0f10e8b9a1ce56291dc3791aa,2026-07-11T08:54:55+00:00,
margin_short,TWSE,2023-06-15,no_rows_valid_official_response,507,0,200,111078,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230615&selectType=ALL&response=json,285bdd73e5cc9ce19f68cfde140b60f63b7712e216dae10cd3875e2746a1081a,2026-07-11T08:54:55+00:00,
securities_lending,TWSE,2023-06-15,no_rows_valid_official_response,507,0,200,165021,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230615&response=json,389b8485b757fa8d8a27c3cf9d3d9f186865fcac8593fc348f77bee81e9f598a,2026-07-11T08:54:56+00:00,
margin_short,TPEx,2023-06-15,accepted,507,142,200,90854,https://www.tpex.org.tw/www/zh-tw/margin/balance,0d6b1d6392bbb07dc71d173ffa0c3ee7391cd36056ae5939e22cfe84d70138f7,2026-07-11T08:54:56+00:00,
margin_short,TWSE,2023-06-16,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230616&selectType=ALL&response=json,244248bbb1c537de5b9fb4bf742f1797f50907452c5bbd44b0fcad984b5212b8,2026-07-11T08:54:56+00:00,parse_JSONDecodeError
institutional,TPEx,2023-06-15,accepted,507,149,200,123864,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,3f9ab65e922dab9ff2e9e035ad7dbd55d38ec8f7796068aa65605bf2669f5181,2026-07-11T08:54:56+00:00,
institutional,TWSE,2023-06-15,accepted,507,354,200,165225,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230615&selectType=ALLBUT0999&response=json,be965b269122fc834517f259cc7f510e572cd8b51a5012d34d53810ff9d59e21,2026-07-11T08:54:55+00:00,
institutional,TWSE,2023-06-16,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230616&selectType=ALLBUT0999&response=json,122e84b2f9abca33cd4e982c7f0c7b69c19cba7edfe7800c8d029a2905eedb64,2026-07-11T08:54:56+00:00,parse_JSONDecodeError
securities_lending,TPEx,2023-06-15,accepted,507,150,200,85135,https://www.tpex.org.tw/www/zh-tw/margin/sbl,db2fc9dc651137ed9b7e38ea740755731815a0024c860d092cfa4c000414a74a,2026-07-11T08:54:56+00:00,
securities_lending,TWSE,2023-06-16,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230616&response=json,55b9f6d3e39029880ab87542d4a9286ec9bd453bb20cf27dcff302564df4e998,2026-07-11T08:54:57+00:00,parse_JSONDecodeError
institutional,TPEx,2023-06-16,accepted,507,149,200,121787,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,c43ee1c874570ea30b7e83dad90b48711288378ddc0bc70bab26014f0d80528d,2026-07-11T08:54:57+00:00,
margin_short,TPEx,2023-06-16,accepted,507,142,200,90851,https://www.tpex.org.tw/www/zh-tw/margin/balance,43aa8226a81f05c1514f4fcb3952c72e0f328c410cfab88c326afd9a9464f2a1,2026-07-11T08:54:57+00:00,
securities_lending,TPEx,2023-06-16,accepted,507,150,200,85300,https://www.tpex.org.tw/www/zh-tw/margin/sbl,82365540ed87aefeffa13a693fe4479a67fff8b1fbe0403ccc9395e29456b2ef,2026-07-11T08:54:57+00:00,
margin_short,TWSE,2023-06-19,no_rows_valid_official_response,507,0,200,110903,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230619&selectType=ALL&response=json,6118f3232e8fd3af99d8bb8cae43b43e7357e38699eb24cd2a87cbbf30b7fb46,2026-07-11T08:54:58+00:00,
institutional,TWSE,2023-06-19,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230619&selectType=ALLBUT0999&response=json,061cbfb6df1d10e897e9ad1ee44c06e24e75299eac1e906affd996ea225aeea3,2026-07-11T08:54:57+00:00,parse_JSONDecodeError
securities_lending,TPEx,2023-06-19,accepted,507,150,200,85201,https://www.tpex.org.tw/www/zh-tw/margin/sbl,66b3063adbcf63624d100905d1267074babf2273bc706678ae866cbe078d1d0b,2026-07-11T08:54:58+00:00,
institutional,TWSE,2023-06-20,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230620&selectType=ALLBUT0999&response=json,87151951b482298072d6b87272f4cf81aac5454cf267a5356cf730af5511f2db,2026-07-11T08:54:58+00:00,parse_JSONDecodeError
securities_lending,TWSE,2023-06-19,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230619&response=json,5f45580c4ae0a6975fa76f20ac4c46ce9787062e224c8bc3e313ab79882d1dfb,2026-07-11T08:54:58+00:00,parse_JSONDecodeError
margin_short,TWSE,2023-06-20,no_rows_valid_official_response,507,0,200,110878,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230620&selectType=ALL&response=json,72481b5177e448446e56d9489fc4dc6955bf720c8323e8d59b3979ce03c0dc6b,2026-07-11T08:54:58+00:00,
securities_lending,TWSE,2023-06-20,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230620&response=json,676f97fded4786e5f14e84e4ffb74e951cc49a92ccb30982ca59310481b7c085,2026-07-11T08:54:58+00:00,parse_JSONDecodeError
margin_short,TPEx,2023-06-19,accepted,507,142,200,90865,https://www.tpex.org.tw/www/zh-tw/margin/balance,13dfb6a8ecd379df1622fca694098b66a6aec61e7a28b69cf9a534d3f161f673,2026-07-11T08:54:58+00:00,
institutional,TPEx,2023-06-19,accepted,507,151,200,123541,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,d76996ccdf4613b83fa702c5b8fd3ee16ee50949b2737cbe2e40de3ef87296f6,2026-07-11T08:54:58+00:00,
margin_short,TPEx,2023-06-20,accepted,507,142,200,90837,https://www.tpex.org.tw/www/zh-tw/margin/balance,2d06f963ef1e87adf9a8bea1738c77398b68336eaa8c9835a6657b88c4aa18a9,2026-07-11T08:54:59+00:00,
securities_lending,TPEx,2023-06-20,accepted,507,150,200,85567,https://www.tpex.org.tw/www/zh-tw/margin/sbl,beaf8eb36dd0bb4b887300607138f7adfdb5f116e3cb1b8baed9bae0330e7d9a,2026-07-11T08:54:59+00:00,
margin_short,TWSE,2023-06-21,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230621&selectType=ALL&response=json,b3a4b6682192bba8b6c748e81524e007cbfd3908af4a829c4dd1447a2554487c,2026-07-11T08:54:59+00:00,parse_JSONDecodeError
securities_lending,TWSE,2023-06-21,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230621&response=json,ec3bacb3a6a830c32338316469fc8617977d5a9425514a2918b932e783b4ed78,2026-07-11T08:55:00+00:00,parse_JSONDecodeError
institutional,TWSE,2023-06-21,failed,507,0,307,800,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230621&selectType=ALLBUT0999&response=json,6b52605f33af558a32e9d2bec33ca486a3863e453044dd342e00ee047fe27b5c,2026-07-11T08:54:59+00:00,parse_JSONDecodeError
institutional,TPEx,2023-06-20,accepted,507,150,200,122793,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,0c99491adb231ebaf7df6decb8efda374c593779cdad06c360b924d35c912cca,2026-07-11T08:54:59+00:00,
institutional,TWSE,2023-06-22,failed,511,0,307,800,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230622&selectType=ALLBUT0999&response=json,447856f5e4abb8e9dec93f62177823722c568517bc7b3edf7ebe68330618ddde,2026-07-11T08:55:00+00:00,parse_JSONDecodeError
securities_lending,TPEx,2023-06-21,accepted,507,150,200,85286,https://www.tpex.org.tw/www/zh-tw/margin/sbl,81c44e8c0564c47321772790b92f338ea8f1d734b6ee613bdf13e686375912c7,2026-07-11T08:55:00+00:00,
margin_short,TWSE,2023-06-22,no_rows_valid_official_response,511,0,200,50,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230622&selectType=ALL&response=json,1857ef3a55678c4757560d15a68c3b7823fd0023b6762656faa31acce2d13538,2026-07-11T08:55:00+00:00,
institutional,TPEx,2023-06-21,accepted,507,150,200,121556,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,bd9546f02af6814bc5262dfdc251314e4d4781e356b40c2f67174f0239ffe029,2026-07-11T08:55:00+00:00,
securities_lending,TWSE,2023-06-22,failed,511,0,307,800,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230622&response=json,afa80aa012cf7261bbeb9775fd0c41607b9ca7774202c54a07b3d9df9be0a0bf,2026-07-11T08:55:01+00:00,parse_JSONDecodeError
institutional,TPEx,2023-06-22,no_rows_valid_official_response,511,0,200,641,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,cf3378275b872f5f741f29f0b503e263ee29f5319b18bd66c54544f592c1deef,2026-07-11T08:55:01+00:00,
margin_short,TPEx,2023-06-22,no_rows_valid_official_response,511,0,200,419,https://www.tpex.org.tw/www/zh-tw/margin/balance,4f98e5e77132591e94a0020720d2dcf56a82dda5930a91604a64848dcbf65c0f,2026-07-11T08:55:01+00:00,
securities_lending,TPEx,2023-06-22,no_rows_valid_official_response,511,0,200,379,https://www.tpex.org.tw/www/zh-tw/margin/sbl,310c987b664cc1f75d3a494db3f0c00db0202142ae715f1904b4b6c3e0f27cc7,2026-07-11T08:55:01+00:00,
institutional,TWSE,2023-06-23,failed,511,0,307,800,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230623&selectType=ALLBUT0999&response=json,5d0e9d6e6654a9d4f47b749eb220a12fda835f2d1acee9883ff1b3dc4bbf1e98,2026-07-11T08:55:01+00:00,parse_JSONDecodeError
margin_short,TWSE,2023-06-23,no_rows_valid_official_response,511,0,200,50,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230623&selectType=ALL&response=json,1857ef3a55678c4757560d15a68c3b7823fd0023b6762656faa31acce2d13538,2026-07-11T08:55:01+00:00,
securities_lending,TWSE,2023-06-23,failed,511,0,307,800,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230623&response=json,89edad152746648db9992baacf204faa6e284e2c33a655d994fceb9056d6c58f,2026-07-11T08:55:01+00:00,parse_JSONDecodeError
margin_short,TPEx,2023-06-21,accepted,507,142,200,90813,https://www.tpex.org.tw/www/zh-tw/margin/balance,9c95ac6123fb2c78dcb0ddf79b334dc34d1466ccc10c3a4d7734cab6e06bf2f9,2026-07-11T08:55:00+00:00,
institutional,TPEx,2023-06-23,no_rows_valid_official_response,511,0,200,641,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,a3b8d14d6b084fa7bd965104cd98264e809279ca2576d64041d3148aca2a5650,2026-07-11T08:55:02+00:00,
margin_short,TPEx,2023-06-23,no_rows_valid_official_response,511,0,200,419,https://www.tpex.org.tw/www/zh-tw/margin/balance,3c0d002b9208f90ec3d8c46b4c4286a3c356e02d5cf7e07e417204698437e69c,2026-07-11T08:55:02+00:00,
securities_lending,TPEx,2023-06-23,no_rows_valid_official_response,511,0,200,379,https://www.tpex.org.tw/www/zh-tw/margin/sbl,504ee95424d69660b90c4732b796bc729127bd002972bbafc0e9c08994411f83,2026-07-11T08:55:02+00:00,
institutional,TWSE,2023-06-26,failed,511,0,307,800,https://www.twse.com.tw/rwd/zh/fund/T86?date=20230626&selectType=ALLBUT0999&response=json,dea9957db7aa49d4a392909ea38532a1b6df70d13c04022290fe9c0e4bf332a8,2026-07-11T08:55:02+00:00,parse_JSONDecodeError
margin_short,TWSE,2023-06-26,failed,511,0,307,800,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20230626&selectType=ALL&response=json,e80900e6ae3f007a5af4b892c91fb970e94dc37d055a8a71dc2c0e9d3b6b25eb,2026-07-11T08:55:02+00:00,parse_JSONDecodeError
securities_lending,TWSE,2023-06-26,failed,511,0,307,800,https://www.twse.com.tw/rwd/zh/lending/TWT72U?date=20230626&response=json,a54d32dfee9a92f0f619ec796b889086eed0800a243d3ad3e9c12bf4bc60c51e,2026-07-11T08:55:02+00:00,parse_JSONDecodeError
