family,ticker,market,status,coverage_start,coverage_end,price_rows,event_rows,attempt_evidence
adjusted_analysis,2353,TWSE,accepted,2022-07-11,2026-07-09,969,4,2353.TW:200:
adjusted_analysis,2352,TWSE,accepted,2022-07-11,2026-07-09,969,6,2352.TW:200:
adjusted_analysis,2354,TWSE,accepted,2022-07-11,2026-07-09,969,4,2354.TW:200:
adjusted_analysis,2356,TWSE,accepted,2022-07-11,2026-07-09,969,4,2356.TW:200:
adjusted_analysis,2357,TWSE,accepted,2022-07-11,2026-07-09,969,5,2357.TW:200:
adjusted_analysis,2355,TWSE,accepted,2022-07-11,2026-07-09,969,4,2355.TW:200:
adjusted_analysis,2360,TWSE,accepted,2022-07-11,2026-07-09,969,5,2360.TW:200:
adjusted_analysis,2359,TWSE,accepted,2022-07-11,2026-07-09,969,3,2359.TW:200:
adjusted_analysis,2364,TWSE,accepted,2022-07-11,2026-07-09,969,4,2364.TW:200:
adjusted_analysis,2362,TWSE,accepted,2022-07-11,2026-07-09,969,4,2362.TW:200:
adjusted_analysis,2363,TWSE,accepted,2022-07-11,2026-07-09,969,8,2363.TW:200:
adjusted_analysis,2365,TWSE,accepted,2022-07-11,2026-07-09,969,4,2365.TW:200:
adjusted_analysis,2367,TWSE,accepted,2022-07-11,2026-07-09,969,2,2367.TW:200:
adjusted_analysis,2369,TWSE,accepted,2022-07-11,2026-07-09,969,4,2369.TW:200:
adjusted_analysis,2368,TWSE,accepted,2022-07-11,2026-07-09,969,6,2368.TW:200:
adjusted_analysis,2374,TWSE,accepted,2022-07-11,2026-07-09,969,5,2374.TW:200:
adjusted_analysis,2371,TWSE,accepted,2022-07-11,2026-07-09,969,3,2371.TW:200:
adjusted_analysis,2377,TWSE,accepted,2022-07-11,2026-07-09,969,4,2377.TW:200:
adjusted_analysis,2379,TWSE,accepted,2022-07-11,2026-07-09,969,4,2379.TW:200:
adjusted_analysis,2382,TWSE,accepted,2022-07-11,2026-07-09,969,4,2382.TW:200:
adjusted_analysis,2375,TWSE,accepted,2022-07-11,2026-07-09,969,5,2375.TW:200:
adjusted_analysis,2376,TWSE,accepted,2022-07-11,2026-07-09,969,4,2376.TW:200:
adjusted_analysis,2385,TWSE,accepted,2022-07-11,2026-07-09,969,4,2385.TW:200:
adjusted_analysis,2383,TWSE,accepted,2022-07-11,2026-07-09,969,4,2383.TW:200:
adjusted_analysis,2392,TWSE,accepted,2022-07-11,2026-07-09,969,4,2392.TW:200:
adjusted_analysis,2388,TWSE,accepted,2022-07-11,2026-07-09,969,4,2388.TW:200:
adjusted_analysis,2393,TWSE,accepted,2022-07-11,2026-07-09,969,4,2393.TW:200:
adjusted_analysis,2395,TWSE,accepted,2022-07-11,2026-07-09,969,4,2395.TW:200:
adjusted_analysis,2402,TWSE,accepted,2022-07-11,2026-07-09,969,4,2402.TW:200:
adjusted_analysis,2399,TWSE,accepted,2022-07-11,2026-07-09,969,1,2399.TW:200:
adjusted_analysis,2401,TWSE,accepted,2022-07-11,2026-07-09,969,2,2401.TW:200:
adjusted_analysis,2405,TWSE,accepted,2022-07-11,2026-07-09,969,4,2405.TW:200:
adjusted_analysis,2408,TWSE,accepted,2022-07-11,2026-07-09,969,2,2408.TW:200:
adjusted_analysis,2409,TWSE,accepted,2022-07-11,2026-07-09,969,5,2409.TW:200:
adjusted_analysis,2404,TWSE,accepted,2022-07-11,2026-07-09,969,3,2404.TW:200:
adjusted_analysis,2406,TWSE,accepted,2022-07-11,2026-07-09,969,0,2406.TW:200:
adjusted_analysis,2412,TWSE,accepted,2022-07-11,2026-07-09,969,4,2412.TW:200:
adjusted_analysis,2419,TWSE,accepted,2022-07-11,2026-07-09,969,2,2419.TW:200:
adjusted_analysis,2417,TWSE,accepted,2022-07-11,2026-07-09,969,4,2417.TW:200:
adjusted_analysis,2425,TWSE,accepted,2022-07-11,2026-07-09,969,4,2425.TW:200:
adjusted_analysis,2421,TWSE,accepted,2022-07-11,2026-07-09,969,4,2421.TW:200:
adjusted_analysis,2413,TWSE,accepted,2022-07-11,2026-07-09,969,2,2413.TW:200:
adjusted_analysis,2428,TWSE,accepted,2022-07-11,2026-07-09,969,4,2428.TW:200:
adjusted_analysis,2426,TWSE,accepted,2022-07-11,2026-07-09,969,4,2426.TW:200:
adjusted_analysis,2427,TWSE,accepted,2022-07-11,2026-07-09,969,4,2427.TW:200:
adjusted_analysis,2436,TWSE,accepted,2022-07-11,2026-07-09,969,5,2436.TW:200:
adjusted_analysis,2441,TWSE,accepted,2022-07-11,2026-07-09,969,4,2441.TW:200:
adjusted_analysis,2439,TWSE,accepted,2022-07-11,2026-07-09,969,4,2439.TW:200:
adjusted_analysis,2451,TWSE,accepted,2022-07-11,2026-07-09,969,4,2451.TW:200:
adjusted_analysis,2449,TWSE,accepted,2022-07-11,2026-07-09,969,4,2449.TW:200:
adjusted_analysis,2455,TWSE,accepted,2022-07-11,2026-07-09,969,4,2455.TW:200:
adjusted_analysis,2453,TWSE,accepted,2022-07-11,2026-07-09,969,5,2453.TW:200:
adjusted_analysis,2448,TWSE,blocked_no_trusted_free_adjusted_history,,,0,0,2448.TW:404:HTTP_404;2448.TWO:404:HTTP_404
adjusted_analysis,2454,TWSE,accepted,2022-07-11,2026-07-09,969,7,2454.TW:200:
adjusted_analysis,2458,TWSE,accepted,2022-07-11,2026-07-09,969,8,2458.TW:200:
adjusted_analysis,2457,TWSE,accepted,2022-07-11,2026-07-09,969,0,2457.TW:200:
adjusted_analysis,2462,TWSE,accepted,2022-07-11,2026-07-09,969,6,2462.TW:200:
adjusted_analysis,2464,TWSE,accepted,2022-07-11,2026-07-09,969,3,2464.TW:200:
adjusted_analysis,2456,TWSE,blocked_no_trusted_free_adjusted_history,,,0,0,2456.TW:404:HTTP_404;2456.TWO:404:HTTP_404
adjusted_analysis,2468,TWSE,accepted,2022-07-11,2026-07-09,969,4,2468.TW:200:
adjusted_analysis,2467,TWSE,accepted,2022-07-11,2026-07-09,969,4,2467.TW:200:
adjusted_analysis,2471,TWSE,accepted,2022-07-11,2026-07-09,969,4,2471.TW:200:
adjusted_analysis,2472,TWSE,accepted,2022-07-11,2026-07-09,969,4,2472.TW:200:
adjusted_analysis,2474,TWSE,accepted,2022-07-11,2026-07-09,969,8,2474.TW:200:
adjusted_analysis,2476,TWSE,accepted,2022-07-11,2026-07-09,969,4,2476.TW:200:
adjusted_analysis,2478,TWSE,accepted,2022-07-11,2026-07-09,969,4,2478.TW:200:
adjusted_analysis,2481,TWSE,accepted,2022-07-11,2026-07-09,969,4,2481.TW:200:
adjusted_analysis,2484,TWSE,accepted,2022-07-11,2026-07-09,969,4,2484.TW:200:
adjusted_analysis,2489,TWSE,accepted,2022-07-11,2026-07-09,969,12,2489.TW:200:
adjusted_analysis,2486,TWSE,accepted,2022-07-11,2026-07-09,969,4,2486.TW:200:
adjusted_analysis,2492,TWSE,accepted,2022-07-11,2026-07-09,969,5,2492.TW:200:
adjusted_analysis,2493,TWSE,accepted,2022-07-11,2026-07-09,969,6,2493.TW:200:
adjusted_analysis,2497,TWSE,accepted,2022-07-11,2026-07-09,969,3,2497.TW:200:
adjusted_analysis,2495,TWSE,accepted,2022-07-11,2026-07-09,969,4,2495.TW:200:
adjusted_analysis,2501,TWSE,accepted,2022-07-11,2026-07-09,969,4,2501.TW:200:
adjusted_analysis,2524,TWSE,accepted,2022-07-11,2026-07-09,969,0,2524.TW:200:
adjusted_analysis,2504,TWSE,accepted,2022-07-11,2026-07-09,969,4,2504.TW:200:
adjusted_analysis,2515,TWSE,accepted,2022-07-11,2026-07-09,969,4,2515.TW:200:
adjusted_analysis,2520,TWSE,accepted,2022-07-11,2026-07-09,969,5,2520.TW:200:
adjusted_analysis,2537,TWSE,accepted,2022-07-11,2026-07-09,969,1,2537.TW:200:
adjusted_analysis,2530,TWSE,accepted,2022-07-11,2026-07-09,969,9,2530.TW:200:
adjusted_analysis,2540,TWSE,accepted,2022-07-11,2026-07-09,969,8,2540.TW:200:
adjusted_analysis,2542,TWSE,accepted,2022-07-11,2026-07-09,969,8,2542.TW:200:
adjusted_analysis,2543,TWSE,accepted,2022-07-11,2026-07-09,969,8,2543.TW:200:
adjusted_analysis,2605,TWSE,accepted,2022-07-11,2026-07-09,969,5,2605.TW:200:
adjusted_analysis,2538,TWSE,accepted,2022-07-11,2026-07-09,969,4,2538.TW:200:
adjusted_analysis,2609,TWSE,accepted,2022-07-11,2026-07-09,969,3,2609.TW:200:
adjusted_analysis,2607,TWSE,accepted,2022-07-11,2026-07-09,969,9,2607.TW:200:
adjusted_analysis,2547,TWSE,accepted,2022-07-11,2026-07-09,969,3,2547.TW:200:
adjusted_analysis,2603,TWSE,accepted,2022-07-11,2026-07-09,969,5,2603.TW:200:
adjusted_analysis,2610,TWSE,accepted,2022-07-11,2026-07-09,969,4,2610.TW:200:
adjusted_analysis,2611,TWSE,accepted,2022-07-11,2026-07-09,969,5,2611.TW:200:
adjusted_analysis,2606,TWSE,accepted,2022-07-11,2026-07-09,969,4,2606.TW:200:
adjusted_analysis,2615,TWSE,accepted,2022-07-11,2026-07-09,969,6,2615.TW:200:
adjusted_analysis,2617,TWSE,accepted,2022-07-11,2026-07-09,969,4,2617.TW:200:
adjusted_analysis,2636,TWSE,accepted,2022-07-11,2026-07-09,969,6,2636.TW:200:
adjusted_analysis,2634,TWSE,accepted,2022-07-11,2026-07-09,969,5,2634.TW:200:
adjusted_analysis,2613,TWSE,accepted,2022-07-11,2026-07-09,969,4,2613.TW:200:
adjusted_analysis,2618,TWSE,accepted,2022-07-11,2026-07-09,969,5,2618.TW:200:
adjusted_analysis,2630,TWSE,accepted,2022-07-11,2026-07-09,969,5,2630.TW:200:
adjusted_analysis,2645,TWSE,accepted,2022-07-11,2026-07-09,969,4,2645.TW:200:
adjusted_analysis,2646,TWSE,accepted,2022-09-30,2026-07-09,911,0,2646.TW:200:
adjusted_analysis,2637,TWSE,accepted,2022-07-11,2026-07-09,969,4,2637.TW:200:
adjusted_analysis,2641,TPEx,accepted,2022-07-11,2026-07-09,969,4,2641.TW:404:HTTP_404;2641.TWO:200:
adjusted_analysis,2707,TWSE,accepted,2022-07-11,2026-07-09,969,4,2707.TW:200:
adjusted_analysis,2727,TWSE,accepted,2022-07-11,2026-07-09,969,4,2727.TW:200:
adjusted_analysis,2731,TWSE,accepted,2022-07-11,2026-07-09,969,3,2731.TW:200:
adjusted_analysis,2739,TWSE,accepted,2022-07-11,2026-07-09,969,3,2739.TW:200:
adjusted_analysis,2753,TWSE,accepted,2022-07-11,2026-07-09,969,8,2753.TW:200:
adjusted_analysis,2801,TWSE,accepted,2022-07-11,2026-07-09,969,8,2801.TW:200:
adjusted_analysis,2748,TWSE,accepted,2022-07-11,2026-07-09,969,4,2748.TW:200:
adjusted_analysis,2745,TPEx,accepted,2022-07-11,2026-07-09,969,2,2745.TW:404:HTTP_404;2745.TWO:200:
adjusted_analysis,2743,TPEx,accepted,2022-07-11,2026-07-09,969,3,2743.TW:404:HTTP_404;2743.TWO:200:
adjusted_analysis,2834,TWSE,accepted,2022-07-11,2026-07-09,969,9,2834.TW:200:
adjusted_analysis,2812,TWSE,accepted,2022-07-11,2026-07-09,969,8,2812.TW:200:
adjusted_analysis,2867,TWSE,accepted,2022-07-11,2026-07-09,969,0,2867.TW:200:
adjusted_analysis,2816,TWSE,accepted,2022-07-11,2026-07-09,969,3,2816.TW:200:
adjusted_analysis,2823,TWSE,blocked_no_trusted_free_adjusted_history,,,0,0,2823.TW:404:HTTP_404;2823.TWO:404:HTTP_404
adjusted_analysis,2880,TWSE,accepted,2022-07-11,2026-07-09,969,7,2880.TW:200:
adjusted_analysis,2855,TWSE,accepted,2022-07-11,2026-07-09,969,6,2855.TW:200:
adjusted_analysis,2881,TWSE,accepted,2022-07-11,2026-07-09,969,9,2881.TW:200:
adjusted_analysis,2883,TWSE,accepted,2022-07-11,2026-07-09,969,4,2883.TW:200:
adjusted_analysis,2809,TWSE,blocked_no_trusted_free_adjusted_history,,,0,0,2809.TW:404:HTTP_404;2809.TWO:404:HTTP_404
adjusted_analysis,2885,TWSE,accepted,2022-07-11,2026-07-09,969,7,2885.TW:200:
adjusted_analysis,2886,TWSE,accepted,2022-07-11,2026-07-09,969,7,2886.TW:200:
adjusted_analysis,2882,TWSE,accepted,2022-07-11,2026-07-09,969,4,2882.TW:200:
adjusted_analysis,2884,TWSE,accepted,2022-07-11,2026-07-09,969,11,2884.TW:200:
adjusted_analysis,2889,TWSE,accepted,2022-07-11,2026-07-09,969,5,2889.TW:200:
adjusted_analysis,2887,TWSE,accepted,2022-07-11,2026-07-09,969,7,2887.TW:200:
adjusted_analysis,2891,TWSE,accepted,2022-07-11,2026-07-09,969,5,2891.TW:200:
adjusted_analysis,2892,TWSE,accepted,2022-07-11,2026-07-09,969,8,2892.TW:200:
adjusted_analysis,2890,TWSE,accepted,2022-07-11,2026-07-09,969,8,2890.TW:200:
adjusted_analysis,2888,TWSE,blocked_no_trusted_free_adjusted_history,,,0,0,2888.TW:404:HTTP_404;2888.TWO:404:HTTP_404
adjusted_analysis,2915,TWSE,accepted,2022-07-11,2026-07-09,969,4,2915.TW:200:
adjusted_analysis,3004,TWSE,accepted,2022-07-11,2026-07-09,969,4,3004.TW:200:
adjusted_analysis,2912,TWSE,accepted,2022-07-11,2026-07-09,969,4,2912.TW:200:
adjusted_analysis,2913,TWSE,accepted,2022-07-11,2026-07-09,969,0,2913.TW:200:
adjusted_analysis,3005,TWSE,accepted,2022-07-11,2026-07-09,969,4,3005.TW:200:
adjusted_analysis,3003,TWSE,accepted,2022-07-11,2026-07-09,969,3,3003.TW:200:
adjusted_analysis,3010,TWSE,accepted,2022-07-11,2026-07-09,969,4,3010.TW:200:
adjusted_analysis,3008,TWSE,accepted,2022-07-11,2026-07-09,969,8,3008.TW:200:
adjusted_analysis,3013,TWSE,accepted,2022-07-11,2026-07-09,969,3,3013.TW:200:
adjusted_analysis,3006,TWSE,accepted,2022-07-11,2026-07-09,969,4,3006.TW:200:
adjusted_analysis,3017,TWSE,accepted,2022-07-11,2026-07-09,969,4,3017.TW:200:
adjusted_analysis,3014,TWSE,accepted,2022-07-11,2026-07-09,969,5,3014.TW:200:
adjusted_analysis,3016,TWSE,accepted,2022-07-11,2026-07-09,969,5,3016.TW:200:
adjusted_analysis,3022,TWSE,accepted,2022-07-11,2026-07-09,969,4,3022.TW:200:
adjusted_analysis,3024,TWSE,accepted,2022-07-11,2026-07-09,969,5,3024.TW:200:
adjusted_analysis,3023,TWSE,accepted,2022-07-11,2026-07-09,969,4,3023.TW:200:
adjusted_analysis,3019,TWSE,accepted,2022-07-11,2026-07-09,969,4,3019.TW:200:
adjusted_analysis,3026,TWSE,accepted,2022-07-11,2026-07-09,969,6,3026.TW:200:
adjusted_analysis,3029,TWSE,accepted,2022-07-11,2026-07-09,969,4,3029.TW:200:
adjusted_analysis,3030,TWSE,accepted,2022-07-11,2026-07-09,969,4,3030.TW:200:
adjusted_analysis,3025,TWSE,accepted,2022-07-11,2026-07-09,969,6,3025.TW:200:
adjusted_analysis,3032,TWSE,accepted,2022-07-11,2026-07-09,969,4,3032.TW:200:
adjusted_analysis,3027,TWSE,accepted,2022-07-11,2026-07-09,969,2,3027.TW:200:
adjusted_analysis,3028,TWSE,accepted,2022-07-11,2026-07-09,969,4,3028.TW:200:
adjusted_analysis,3033,TWSE,accepted,2022-07-11,2026-07-09,969,4,3033.TW:200:
adjusted_analysis,3034,TWSE,accepted,2022-07-11,2026-07-09,969,5,3034.TW:200:
adjusted_analysis,3035,TWSE,accepted,2022-07-11,2026-07-09,969,5,3035.TW:200:
adjusted_analysis,3036,TWSE,accepted,2022-07-11,2026-07-09,969,4,3036.TW:200:
adjusted_analysis,3040,TWSE,accepted,2022-07-11,2026-07-09,969,3,3040.TW:200:
adjusted_analysis,3037,TWSE,accepted,2022-07-11,2026-07-09,969,5,3037.TW:200:
adjusted_analysis,3046,TWSE,accepted,2022-07-11,2026-07-09,969,4,3046.TW:200:
adjusted_analysis,3045,TWSE,accepted,2022-07-11,2026-07-09,969,4,3045.TW:200:
adjusted_analysis,3047,TWSE,accepted,2022-07-11,2026-07-09,969,2,3047.TW:200:
adjusted_analysis,3042,TWSE,accepted,2022-07-11,2026-07-09,969,5,3042.TW:200:
adjusted_analysis,3043,TWSE,accepted,2022-07-11,2026-07-09,969,1,3043.TW:200:
adjusted_analysis,3044,TWSE,accepted,2022-07-11,2026-07-09,969,5,3044.TW:200:
adjusted_analysis,3048,TWSE,accepted,2022-07-11,2026-07-09,969,4,3048.TW:200:
adjusted_analysis,3051,TWSE,accepted,2022-07-11,2026-07-09,969,3,3051.TW:200:
adjusted_analysis,3056,TWSE,accepted,2022-07-11,2026-07-09,969,6,3056.TW:200:
adjusted_analysis,3059,TWSE,accepted,2022-07-11,2026-07-09,969,4,3059.TW:200:
adjusted_analysis,3050,TWSE,accepted,2022-07-11,2026-07-09,969,4,3050.TW:200:
