revenue_year_month,market,ticker_count,route_attempts,ok_attempts,failed_attempts,coverage_status
2016-11,TWSE,915,2,2,0,accepted
2016-11,TPEx,729,2,2,0,accepted
2016-12,TWSE,915,2,2,0,accepted
2016-12,TPEx,729,2,2,0,accepted
2017-01,TWSE,920,2,2,0,accepted
2017-01,TPEx,733,2,2,0,accepted
2017-02,TWSE,920,2,2,0,accepted
2017-02,TPEx,733,2,2,0,accepted
2017-03,TWSE,920,2,2,0,accepted
2017-03,TPEx,734,2,2,0,accepted
2017-04,TWSE,921,2,2,0,accepted
2017-04,TPEx,734,2,2,0,accepted
2017-05,TWSE,923,2,2,0,accepted
2017-05,TPEx,735,2,2,0,accepted
2017-06,TWSE,924,2,2,0,accepted
2017-06,TPEx,738,2,2,0,accepted
2017-07,TWSE,925,2,2,0,accepted
2017-07,TPEx,742,2,2,0,accepted
2017-08,TWSE,930,2,2,0,accepted
2017-08,TPEx,746,2,2,0,accepted
2017-09,TWSE,931,2,2,0,accepted
2017-09,TPEx,749,2,2,0,accepted
2017-10,TWSE,933,2,2,0,accepted
2017-10,TPEx,749,2,2,0,accepted
2017-11,TWSE,934,2,2,0,accepted
2017-11,TPEx,750,2,2,0,accepted
2017-12,TWSE,935,2,2,0,accepted
2017-12,TPEx,751,2,2,0,accepted
2018-01,TWSE,938,2,2,0,accepted
2018-01,TPEx,754,2,2,0,accepted
2018-02,TWSE,938,2,2,0,accepted
2018-02,TPEx,754,2,2,0,accepted
2018-03,TWSE,938,2,2,0,accepted
2018-03,TPEx,755,2,2,0,accepted
2018-04,TWSE,940,2,2,0,accepted
2018-04,TPEx,758,2,2,0,accepted
2018-05,TWSE,941,2,2,0,accepted
2018-05,TPEx,758,2,2,0,accepted
2018-06,TWSE,942,2,2,0,accepted
2018-06,TPEx,761,2,2,0,accepted
2018-07,TWSE,945,2,2,0,accepted
2018-07,TPEx,762,2,2,0,accepted
2018-08,TWSE,948,2,2,0,accepted
2018-08,TPEx,764,2,2,0,accepted
2018-09,TWSE,950,2,2,0,accepted
2018-09,TPEx,767,2,2,0,accepted
2018-10,TWSE,954,2,2,0,accepted
2018-10,TPEx,770,2,2,0,accepted
2018-11,TWSE,956,2,2,0,accepted
2018-11,TPEx,772,2,2,0,accepted
2018-12,TWSE,956,2,2,0,accepted
2018-12,TPEx,773,2,2,0,accepted
2019-01,TWSE,957,2,2,0,accepted
2019-01,TPEx,777,2,2,0,accepted
2019-02,TWSE,957,2,2,0,accepted
2019-02,TPEx,777,2,2,0,accepted
2019-03,TWSE,958,2,2,0,accepted
2019-03,TPEx,779,2,2,0,accepted
2019-04,TWSE,958,2,2,0,accepted
2019-04,TPEx,780,2,2,0,accepted
2019-05,TWSE,958,2,2,0,accepted
2019-05,TPEx,780,2,2,0,accepted
2019-06,TWSE,959,2,2,0,accepted
2019-06,TPEx,781,2,2,0,accepted
2019-07,TWSE,961,2,2,0,accepted
2019-07,TPEx,781,2,2,0,accepted
2019-08,TWSE,964,2,2,0,accepted
2019-08,TPEx,784,2,2,0,accepted
2019-09,TWSE,965,2,2,0,accepted
2019-09,TPEx,787,2,2,0,accepted
2019-10,TWSE,968,2,2,0,accepted
2019-10,TPEx,789,2,2,0,accepted
2019-11,TWSE,968,2,2,0,accepted
2019-11,TPEx,789,2,2,0,accepted
2019-12,TWSE,970,2,2,0,accepted
2019-12,TPEx,789,2,2,0,accepted
2020-01,TWSE,973,2,2,0,accepted
2020-01,TPEx,790,2,2,0,accepted
2020-02,TWSE,973,2,2,0,accepted
2020-02,TPEx,791,2,2,0,accepted
2020-03,TWSE,973,2,2,0,accepted
2020-03,TPEx,791,2,2,0,accepted
2020-04,TWSE,975,2,2,0,accepted
2020-04,TPEx,791,2,2,0,accepted
2020-05,TWSE,975,2,2,0,accepted
2020-05,TPEx,791,2,2,0,accepted
2020-06,TWSE,976,2,2,0,accepted
2020-06,TPEx,793,2,2,0,accepted
2020-07,TWSE,977,2,2,0,accepted
2020-07,TPEx,794,2,2,0,accepted
2020-08,TWSE,981,2,2,0,accepted
2020-08,TPEx,796,2,2,0,accepted
2020-09,TWSE,984,2,2,0,accepted
2020-09,TPEx,798,2,2,0,accepted
2020-10,TWSE,984,2,2,0,accepted
2020-10,TPEx,800,2,2,0,accepted
2020-11,TWSE,984,2,2,0,accepted
2020-11,TPEx,801,2,2,0,accepted
2020-12,TWSE,985,2,2,0,accepted
2020-12,TPEx,803,2,2,0,accepted
2021-01,TWSE,987,2,2,0,accepted
2021-01,TPEx,806,2,2,0,accepted
2021-02,TWSE,987,2,2,0,accepted
2021-02,TPEx,806,2,2,0,accepted
2021-03,TWSE,989,2,2,0,accepted
2021-03,TPEx,807,2,2,0,accepted
2021-04,TWSE,991,2,2,0,accepted
2021-04,TPEx,808,2,2,0,accepted
2021-05,TWSE,992,2,2,0,accepted
2021-05,TPEx,808,2,2,0,accepted
2021-06,TWSE,992,2,2,0,accepted
2021-06,TPEx,811,2,2,0,accepted
2021-07,TWSE,993,2,2,0,accepted
2021-07,TPEx,815,2,2,0,accepted
2021-08,TWSE,995,2,2,0,accepted
2021-08,TPEx,816,2,2,0,accepted
2021-09,TWSE,996,2,2,0,accepted
2021-09,TPEx,818,2,2,0,accepted
2021-10,TWSE,1000,2,2,0,accepted
2021-10,TPEx,820,2,2,0,accepted
2021-11,TWSE,1001,2,2,0,accepted
2021-11,TPEx,823,2,2,0,accepted
2021-12,TWSE,1001,2,2,0,accepted
2021-12,TPEx,824,2,2,0,accepted
2022-01,TWSE,1006,2,2,0,accepted
2022-01,TPEx,827,2,2,0,accepted
2022-02,TWSE,1006,2,2,0,accepted
2022-02,TPEx,827,2,2,0,accepted
2022-03,TWSE,1007,2,2,0,accepted
2022-03,TPEx,828,2,2,0,accepted
2022-04,TWSE,1007,2,2,0,accepted
2022-04,TPEx,831,2,2,0,accepted
2022-05,TWSE,1009,2,2,0,accepted
2022-05,TPEx,833,2,2,0,accepted
2022-06,TWSE,1011,2,2,0,accepted
2022-06,TPEx,833,2,2,0,accepted
2022-07,TWSE,1015,2,2,0,accepted
2022-07,TPEx,835,2,2,0,accepted
2022-08,TWSE,1020,2,2,0,accepted
2022-08,TPEx,835,2,2,0,accepted
2022-09,TWSE,1024,2,2,0,accepted
2022-09,TPEx,838,2,2,0,accepted
2022-10,TWSE,1027,2,2,0,accepted
2022-10,TPEx,839,2,2,0,accepted
2022-11,TWSE,1029,2,2,0,accepted
2022-11,TPEx,840,2,2,0,accepted
2022-12,TWSE,1030,2,2,0,accepted
2022-12,TPEx,840,2,2,0,accepted
2023-01,TWSE,1034,2,2,0,accepted
2023-01,TPEx,845,2,2,0,accepted
2023-02,TWSE,1034,2,2,0,accepted
2023-02,TPEx,845,2,2,0,accepted
2023-03,TWSE,1036,2,2,0,accepted
2023-03,TPEx,846,2,2,0,accepted
2023-04,TWSE,1039,2,2,0,accepted
2023-04,TPEx,846,2,2,0,accepted
2023-05,TWSE,1038,2,2,0,accepted
2023-05,TPEx,847,2,2,0,accepted
2023-06,TWSE,1040,2,2,0,accepted
2023-06,TPEx,850,2,2,0,accepted
2023-07,TWSE,1040,2,2,0,accepted
2023-07,TPEx,854,2,2,0,accepted
2023-08,TWSE,1043,2,2,0,accepted
2023-08,TPEx,857,2,2,0,accepted
2023-09,TWSE,1044,2,2,0,accepted
2023-09,TPEx,862,2,2,0,accepted
2023-10,TWSE,1045,2,2,0,accepted
2023-10,TPEx,866,2,2,0,accepted
2023-11,TWSE,1046,2,2,0,accepted
2023-11,TPEx,868,2,2,0,accepted
2023-12,TWSE,1050,2,2,0,accepted
2023-12,TPEx,871,2,2,0,accepted
2024-01,TWSE,1049,2,2,0,accepted
2024-01,TPEx,873,2,2,0,accepted
2024-02,TWSE,1049,2,2,0,accepted
2024-02,TPEx,873,2,2,0,accepted
2024-03,TWSE,1049,2,2,0,accepted
2024-03,TPEx,873,2,2,0,accepted
2024-04,TWSE,1051,2,2,0,accepted
2024-04,TPEx,875,2,2,0,accepted
2024-05,TWSE,1052,2,2,0,accepted
2024-05,TPEx,876,2,2,0,accepted
2024-06,TWSE,1053,2,2,0,accepted
2024-06,TPEx,877,2,2,0,accepted
2024-07,TWSE,1055,2,2,0,accepted
2024-07,TPEx,877,2,2,0,accepted
2024-08,TWSE,1059,2,2,0,accepted
2024-08,TPEx,880,2,2,0,accepted
2024-09,TWSE,1061,2,2,0,accepted
2024-09,TPEx,881,2,2,0,accepted
2024-10,TWSE,1066,2,2,0,accepted
2024-10,TPEx,884,2,2,0,accepted
2024-11,TWSE,1072,2,2,0,accepted
2024-11,TPEx,884,2,2,0,accepted
2024-12,TWSE,1072,2,2,0,accepted
2024-12,TPEx,887,2,2,0,accepted
2025-01,TWSE,1073,2,2,0,accepted
2025-01,TPEx,888,2,2,0,accepted
2025-02,TWSE,1073,2,2,0,accepted
2025-02,TPEx,888,2,2,0,accepted
2025-03,TWSE,1074,2,2,0,accepted
2025-03,TPEx,889,2,2,0,accepted
2025-04,TWSE,1076,2,2,0,accepted
2025-04,TPEx,889,2,2,0,accepted
2025-05,TWSE,1077,2,2,0,accepted
2025-05,TPEx,891,2,2,0,accepted
2025-06,TWSE,1078,2,2,0,accepted
2025-06,TPEx,891,2,2,0,accepted
2025-07,TWSE,1078,2,2,0,accepted
2025-07,TPEx,891,2,2,0,accepted
2025-08,TWSE,1079,2,2,0,accepted
2025-08,TPEx,891,2,2,0,accepted
2025-09,TWSE,1079,2,2,0,accepted
2025-09,TPEx,891,2,2,0,accepted
2025-10,TWSE,1079,2,2,0,accepted
2025-10,TPEx,891,2,2,0,accepted
2025-11,TWSE,1080,2,2,0,accepted
2025-11,TPEx,891,2,2,0,accepted
2025-12,TWSE,1080,2,2,0,accepted
2025-12,TPEx,891,2,2,0,accepted
2026-01,TWSE,1080,2,2,0,accepted
2026-01,TPEx,891,2,2,0,accepted
2026-02,TWSE,1080,2,2,0,accepted
2026-02,TPEx,891,2,2,0,accepted
2026-03,TWSE,1080,2,2,0,accepted
2026-03,TPEx,891,2,2,0,accepted
2026-04,TWSE,1080,2,2,0,accepted
2026-04,TPEx,891,2,2,0,accepted
2026-05,TWSE,1080,2,2,0,accepted
2026-05,TPEx,891,2,2,0,accepted
