month,calendar_days_swept,request_attempts,http_ok,accepted_days,validated_rows,rejected_rows,quarantined_days,row_count_anomaly_days,last_accepted_holdings_date,monthly_anchor_row_count,coverage_status,formal_exact,source_type,notes
2016-09,37,37,37,19,950,18,0,0,2016-09-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-10,38,38,38,20,1000,18,0,0,2016-10-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-11,37,37,37,22,1100,15,0,0,2016-11-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2016-12,38,38,38,22,1100,16,0,0,2016-12-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-01,38,38,38,16,800,22,0,0,2017-01-24,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-02,35,35,35,17,850,18,0,0,2017-02-24,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-03,38,38,38,23,1150,15,0,0,2017-03-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-04,37,37,37,18,900,19,0,0,2017-04-28,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-05,38,38,38,20,1000,18,0,0,2017-05-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-06,37,37,37,23,1150,14,0,0,2017-06-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-07,38,38,38,21,1050,17,0,0,2017-07-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-08,38,38,38,23,1150,15,0,0,2017-08-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-09,37,37,37,22,1100,15,0,0,2017-09-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-10,38,38,38,19,950,19,0,0,2017-10-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-11,37,37,37,22,1100,15,0,0,2017-11-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2017-12,38,38,38,21,1050,17,0,0,2017-12-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-01,38,38,38,22,1100,16,0,0,2018-01-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-02,35,35,35,13,650,22,0,0,2018-02-27,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-03,38,38,38,23,1150,15,0,0,2018-03-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-04,37,37,37,18,900,19,0,0,2018-04-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-05,38,38,38,22,1100,16,0,0,2018-05-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-06,37,37,37,20,1000,17,0,0,2018-06-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-07,38,38,38,22,1100,16,0,0,2018-07-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-08,38,38,38,23,1150,15,0,0,2018-08-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-09,37,37,37,19,950,18,0,0,2018-09-28,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-10,38,38,38,22,1100,16,0,0,2018-10-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-11,37,37,37,22,1100,15,0,0,2018-11-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2018-12,38,38,38,21,1050,17,0,0,2018-12-28,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-01,38,38,38,21,1050,17,0,0,2019-01-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-02,35,35,35,13,650,22,0,0,2019-02-27,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-03,38,38,38,20,1000,18,0,0,2019-03-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-04,37,37,37,20,1000,17,0,0,2019-04-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-05,38,38,38,22,1100,16,0,0,2019-05-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-06,37,37,37,19,950,18,0,0,2019-06-28,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-07,38,38,38,23,1150,15,0,0,2019-07-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-08,38,38,38,21,1050,17,0,0,2019-08-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-09,37,37,37,19,950,18,0,0,2019-09-27,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-10,38,38,38,21,1050,17,0,0,2019-10-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-11,37,37,37,21,1050,16,0,0,2019-11-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2019-12,38,38,38,22,1100,16,0,0,2019-12-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-01,38,38,38,15,750,23,0,0,2020-01-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-02,36,36,36,19,950,17,0,0,2020-02-27,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-03,38,38,38,22,1100,16,0,0,2020-03-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-04,37,37,37,20,1000,17,0,0,2020-04-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-05,38,38,38,20,1000,18,0,0,2020-05-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-06,37,37,37,20,1000,17,0,0,2020-06-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-07,38,38,38,23,1150,15,0,0,2020-07-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-08,38,38,38,21,1050,17,0,0,2020-08-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-09,37,37,37,22,1100,15,0,0,2020-09-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-10,38,38,38,19,950,19,0,0,2020-10-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-11,37,37,37,21,1050,16,0,0,2020-11-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2020-12,38,38,38,23,1150,15,0,0,2020-12-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-01,38,38,38,20,1000,18,0,0,2021-01-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-02,35,35,35,13,650,22,0,0,2021-02-26,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-03,38,38,38,22,1100,16,0,0,2021-03-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-04,37,37,37,19,950,18,0,0,2021-04-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-05,38,38,38,21,1050,17,0,0,2021-05-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-06,37,37,37,21,1050,16,0,0,2021-06-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-07,38,38,38,22,1100,16,0,0,2021-07-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-08,38,38,38,22,1100,16,0,0,2021-08-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-09,37,37,37,20,1000,17,0,0,2021-09-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-10,38,38,38,20,1000,18,0,0,2021-10-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-11,37,37,37,22,1100,15,0,0,2021-11-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2021-12,38,38,38,22,1100,16,0,0,2021-12-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-01,38,38,38,18,900,20,0,0,2022-01-26,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-02,35,35,35,15,750,20,0,0,2022-02-25,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-03,38,38,38,23,1150,15,0,0,2022-03-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-04,37,37,37,19,950,18,0,0,2022-04-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-05,38,38,38,21,1050,17,0,0,2022-05-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-06,37,37,37,21,1050,16,0,0,2022-06-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-07,38,38,38,21,1050,17,0,0,2022-07-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-08,38,38,38,23,1150,15,0,0,2022-08-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-09,37,37,37,21,1050,16,0,0,2022-09-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-10,38,38,38,20,1000,18,0,0,2022-10-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-11,37,37,37,22,1100,15,0,0,2022-11-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2022-12,38,38,38,22,1100,16,0,0,2022-12-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-01,38,38,38,13,650,25,0,0,2023-01-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-02,35,35,35,18,900,17,0,0,2023-02-24,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-03,38,38,38,23,1150,15,0,0,2023-03-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-04,37,37,37,17,850,20,0,0,2023-04-28,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-05,38,38,38,22,1100,16,0,0,2023-05-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-06,37,37,37,20,1000,17,0,0,2023-06-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-07,38,38,38,21,1050,17,0,0,2023-07-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-08,38,38,38,22,1100,16,0,0,2023-08-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-09,37,37,37,20,1000,17,0,0,2023-09-28,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-10,38,38,38,20,1000,18,0,0,2023-10-31,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-11,37,37,37,22,1100,15,0,0,2023-11-30,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
2023-12,38,38,38,21,1050,17,0,0,2023-12-29,50,covered,false,source_backed_manual_candidate,ready_for_core_monthly_anchor_compression
