ticker,name,market,segment_id,first_decision_date,last_decision_date,decision_dates,ready_decision_dates,pre_segment_adjusted_observations,required_warmup_observations,warmup_252td_ready,status,future_data_violation_count,diagnostic_subproblem,supports_sequential_lifecycle_rank1_timing,representative_of_full_all80_layer5,may_be_used_to_reject_full_layer5,broad_additive_formula_followup,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
3293,鈊象,TPEx,1,2024-01-02,2024-01-05,4,4,368,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3338,泰碩,TWSE,1,2024-06-17,2024-06-21,5,5,475,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3362,先進光,TPEx,1,2023-12-18,2023-12-22,5,5,358,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3406,玉晶光,TWSE,1,2024-04-15,2024-04-19,5,5,432,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3563,牧德,TWSE,1,2024-12-23,2024-12-27,5,5,603,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3563,牧德,TWSE,2,2026-05-04,2026-05-08,5,5,927,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3587,閎康,TPEx,1,2025-08-11,2025-08-15,5,5,754,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3622,洋華,TWSE,1,2024-07-08,2024-07-12,5,5,490,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3645,達邁,TWSE,1,2025-09-08,2025-09-12,5,5,774,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3653,健策,TWSE,1,2025-12-29,2026-01-02,4,4,849,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3665,貿聯-KY,TWSE,1,2024-09-16,2024-09-20,4,4,538,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3702,大聯大,TWSE,1,2026-04-13,2026-04-24,10,10,913,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3711,日月光投控,TWSE,1,2025-10-07,2025-10-09,3,3,793,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
4123,晟德,TPEx,1,2023-08-14,2023-08-18,5,5,271,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
4162,智擎,TPEx,1,2023-11-20,2023-11-24,5,5,338,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
4583,台灣精銳,TWSE,1,2025-01-13,2025-01-17,5,5,617,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
4772,台特化,TPEx,1,2025-06-23,2025-06-27,5,5,661,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
4904,遠傳,TWSE,1,2025-04-21,2025-05-02,9,9,677,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
4958,臻鼎-KY,TWSE,1,2024-04-22,2024-05-03,9,9,437,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
5251,天鉞電,TPEx,1,2025-07-14,2025-07-18,5,5,735,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
5269,祥碩,TWSE,1,2024-02-15,2024-02-16,2,2,393,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
5388,中磊,TWSE,1,2023-07-24,2023-08-04,9,9,257,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
5434,崇越,TWSE,1,2024-05-13,2024-05-17,5,5,451,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
5434,崇越,TWSE,2,2025-10-27,2025-10-31,5,5,805,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6138,茂達,TPEx,1,2024-10-21,2024-10-25,5,5,559,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6139,亞翔,TWSE,1,2025-09-30,2025-10-03,4,4,789,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6176,瑞儀,TWSE,1,2024-04-08,2024-04-12,5,5,427,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6182,合晶,TPEx,1,2026-02-02,2026-02-06,5,5,873,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6189,豐藝,TWSE,1,2024-03-11,2024-03-15,5,5,409,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6190,萬泰科,TPEx,1,2025-08-25,2025-08-29,5,5,764,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6223,旺矽,TPEx,1,2026-05-11,2026-05-15,5,5,932,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
6239,力成,TWSE,1,2024-01-08,2024-01-12,5,5,372,252,True,ready,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False
