ticker,company_name,source_contracts,roles,contract_coverage_start,contract_coverage_end,event_candidate_rows,cash_distribution_candidate_rows,adjustment_factor_candidate_rows,cash_distribution_source_status,adjustment_event_source_status,exact_exdate_source_status,capital_reduction_split_merger_source_status,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2615,萬海,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2025-05-16,2025-05-23,4,4,2,partial_source_candidate,partial_stock_dividend_candidate_missing_exact_exdate,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
2636,台驊投控,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2021-06-18,2021-06-25,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3008,大立光,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2015-05-15,2023-10-13,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3037,欣興,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2026-01-23,2026-01-30,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3090,日電貿,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2018-06-08,2018-06-15,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3105,穩懋,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,2025-12-26,2026-01-02,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3163,波若威,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,2026-04-10,2026-04-17,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3260,威剛,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2020-01-10,2020-01-17,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3324,雙鴻,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2016-02-26,2016-03-04,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3346,麗清,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2017-02-03,2017-02-10,3,2,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
3661,世芯-KY,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2019-09-12,2019-09-20,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
4971,IET-KY,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2026-01-02,2026-01-09,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
6121,新普,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2017-10-27,2017-11-03,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
6143,振曜,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2015-10-08,2015-10-19,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
6150,撼訊,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2018-03-16,2018-03-23,4,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
6573,虹揚-KY,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2017-11-24,2017-12-01,3,1,1,partial_source_candidate,partial_stock_dividend_candidate_missing_exact_exdate,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
6796,,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2022-08-12,2022-08-19,0,0,0,blocked_no_t187ap39_40_cash_rows,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
8021,尖點,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,2025-08-08,2025-08-15,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
8163,達方,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2018-06-29,2018-07-06,3,3,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
8433,弘帆,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2015-10-16,2015-10-23,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
8478,東哥遊艇,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,2021-12-30,2022-01-07,4,4,0,partial_source_candidate,blocked_no_stock_dividend_factor_rows_and_capital_change_route_not_materialized,blocked_t187ap39_40_missing_exact_exright_trading_date,blocked_not_materialized_in_this_bounded_package,0,False,False,False,False,False,False,False,True,False
