ticker,name,instrument_type,source_contracts,roles,state_rows,coverage_start,coverage_end,period_labels,coverage_policy,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2636,台驊投控,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,22,2021-06-18,2021-06-25,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3008,大立光,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2015-05-15,2023-10-13,P1|P2,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3037,欣興,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2026-01-23,2026-01-30,P2|2024_latest|2026YTD,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3090,日電貿,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2018-06-08,2018-06-15,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3105,穩懋,ordinary_stock,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,8,2025-12-26,2026-01-02,,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3163,波若威,ordinary_stock,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,10,2026-04-10,2026-04-17,,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3260,威剛,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,46,2020-01-10,2020-01-17,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3324,雙鴻,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,56,2016-02-26,2016-03-04,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3346,麗清,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2017-02-03,2017-02-10,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
3661,世芯-KY,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2019-09-12,2019-09-20,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
4971,IET-KY,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2026-01-02,2026-01-09,P2|2024_latest|2026YTD,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
6121,新普,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2017-10-27,2017-11-03,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
6143,振曜,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,72,2015-10-08,2015-10-19,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
6150,撼訊,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2018-03-16,2018-03-23,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
6573,虹揚-KY,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,22,2017-11-24,2017-12-01,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
6796,,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2022-08-12,2022-08-19,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
8021,尖點,ordinary_stock,weekly_r6_single_position,weekly_r6_incumbent_held|weekly_r6_selected_after,10,2025-08-08,2025-08-15,,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
8163,達方,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,22,2018-06-29,2018-07-06,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
8433,弘帆,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,68,2015-10-16,2015-10-23,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
8478,東哥遊艇,ordinary_stock,daily_incumbent_challenger|weekly_r6_single_position,daily_f_incumbent_held|daily_f_selected_after|weekly_r6_incumbent_held|weekly_r6_selected_after,70,2021-12-30,2022-01-07,P1,P1_2015-01-02_to_2022-12-29_and_P2_2023-01-02_to_2026-06-30_contract_selected_or_held_rows,False,False,False,False,False,False,False,True,False
