date,symbol,ticker,name,margin_buy,margin_sell,margin_balance,margin_balance_change,short_sell,short_cover,short_balance,short_balance_change,securities_lending_balance,securities_lending_balance_change,margin_balance_5d_change_pct,margin_balance_20d_change_pct,short_balance_5d_change_pct,short_balance_20d_change_pct,lending_balance_5d_change_pct,lending_balance_20d_change_pct,margin_overheat_flag,short_lending_pressure_flag,data_source,source_url,data_quality_status
2021-12-02,2330,2330.TW,台積電,704,1553,23276,-854,92,6,185,86,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-02,2382,2382.TW,廣達,209,66,2999,143,0,12,51,-12,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-02,2454,2454.TW,聯發科,111,262,6270,-154,21,13,558,8,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-02,3231,3231.TW,緯創,64,123,11502,-61,1,2,159,-1,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-02,6669,6669.TW,緯穎,19,5,318,14,0,1,17,-1,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211202&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,0050,0050.TW,元大台灣50,86,25,749,61,0,0,114,0,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,00631L,00631L.TW,元大台灣50正2,210,74,1971,136,3,4,1055,-1,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,2308,2308.TW,台達電,89,90,3583,-1,5,2,692,3,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,2317,2317.TW,鴻海,678,329,52201,339,8,5,295,3,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,2330,2330.TW,台積電,949,553,23653,377,1,57,129,-56,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,2382,2382.TW,廣達,118,199,2918,-81,3,0,54,3,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,2454,2454.TW,聯發科,148,57,6360,90,6,17,547,-11,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,3231,3231.TW,緯創,161,73,11570,68,0,0,159,0,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-03,6669,6669.TW,緯穎,22,10,330,12,0,0,17,0,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211203&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,0050,0050.TW,元大台灣50,9,16,742,-7,0,1,113,-1,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,00631L,00631L.TW,元大台灣50正2,120,81,2010,39,1,10,1046,-9,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,2308,2308.TW,台達電,40,69,3554,-29,1,5,688,-4,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,2317,2317.TW,鴻海,446,980,51660,-541,14,19,290,-5,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,2330,2330.TW,台積電,831,130,24351,698,2,54,77,-52,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,2382,2382.TW,廣達,51,72,2897,-21,1,2,53,-1,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,2454,2454.TW,聯發科,238,166,6432,72,27,11,563,16,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,3231,3231.TW,緯創,32,58,11544,-26,1,2,158,-1,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-06,6669,6669.TW,緯穎,33,0,363,33,0,0,17,0,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211206&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,0050,0050.TW,元大台灣50,23,11,754,12,1,1,113,0,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,00631L,00631L.TW,元大台灣50正2,100,73,2037,27,6,4,1048,2,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,2308,2308.TW,台達電,100,60,3593,39,0,2,686,-2,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,2317,2317.TW,鴻海,701,363,51881,221,6,10,286,-4,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,2330,2330.TW,台積電,339,356,24297,-54,6,30,53,-24,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,2382,2382.TW,廣達,10,55,2849,-48,0,3,50,-3,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,2454,2454.TW,聯發科,466,158,6740,308,1,30,534,-29,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,3231,3231.TW,緯創,14,96,11460,-84,0,4,154,-4,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-07,6669,6669.TW,緯穎,157,23,497,134,0,0,17,0,,,,,,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211207&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,0050,0050.TW,元大台灣50,40,81,713,-41,5,5,113,0,,,9.1884,,6.6038,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,00631L,00631L.TW,元大台灣50正2,734,333,2438,401,7,9,1046,-2,,,28.2483,,0.6737,,,,true,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,2308,2308.TW,台達電,116,115,3592,-1,0,0,686,0,,,-2.6294,,-0.8671,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,2317,2317.TW,鴻海,1020,278,52614,733,0,2,284,-2,,,1.7344,,5.5762,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,2330,2330.TW,台積電,401,442,24245,-52,1,9,45,-8,,,0.4766,,-54.5455,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,2382,2382.TW,廣達,108,62,2895,46,2,5,47,-3,,,1.3655,,-25.3968,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,2454,2454.TW,聯發科,337,335,6735,-5,31,3,562,28,,,4.8412,,2.1818,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,3231,3231.TW,緯創,99,63,11466,6,0,3,151,-3,,,-0.8389,,-5.6250,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-08,6669,6669.TW,緯穎,82,132,447,-50,2,0,19,2,,,47.0395,,5.5556,,,,true,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211208&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,0050,0050.TW,元大台灣50,20,52,681,-32,15,0,128,15,,,-1.0174,,12.2807,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,00631L,00631L.TW,元大台灣50正2,153,291,2300,-138,4,3,1047,1,,,25.3406,,-0.8523,,,,true,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,2308,2308.TW,台達電,299,314,3570,-22,17,17,686,0,,,-0.3906,,-0.4354,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,2317,2317.TW,鴻海,304,597,52312,-302,14,3,295,11,,,0.8677,,1.0274,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,2330,2330.TW,台積電,113,240,23994,-251,0,3,42,-3,,,3.0847,,-77.2973,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,2382,2382.TW,廣達,87,65,2904,9,1,2,46,-1,,,-3.1677,,-9.8039,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,2454,2454.TW,聯發科,153,102,6786,51,1,16,547,-15,,,8.2297,,-1.9713,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,3231,3231.TW,緯創,210,224,11452,-14,0,0,151,0,,,-0.4347,,-5.0314,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-09,6669,6669.TW,緯穎,15,195,267,-180,16,0,35,16,,,-16.0377,,105.8824,,,,false,true,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211209&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,0050,0050.TW,元大台灣50,24,15,690,9,1,0,129,1,,,-7.8772,,13.1579,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,00631L,00631L.TW,元大台灣50正2,157,80,2377,77,1,2,1046,-1,,,20.5987,,-0.8531,,,,true,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,2308,2308.TW,台達電,133,202,3457,-113,15,37,664,-22,,,-3.5166,,-4.0462,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,2317,2317.TW,鴻海,664,348,52615,303,7,26,276,-19,,,0.7931,,-6.4407,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,2330,2330.TW,台積電,455,124,24321,327,0,33,9,-33,,,2.8242,,-93.0233,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,2382,2382.TW,廣達,138,96,2945,41,1,6,41,-5,,,0.9253,,-24.0741,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,2454,2454.TW,聯發科,271,65,6990,204,13,7,553,6,,,9.9057,,1.0969,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,3231,3231.TW,緯創,8,163,11296,-156,2,0,153,2,,,-2.3682,,-3.7736,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-10,6669,6669.TW,緯穎,21,10,278,11,0,0,35,0,,,-15.7576,,105.8824,,,,false,true,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211210&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,0050,0050.TW,元大台灣50,18,13,694,4,0,2,127,-2,,,-6.4690,,12.3894,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,00631L,00631L.TW,元大台灣50正2,100,78,2399,22,3,1,1048,2,,,19.3532,,0.1912,,,,true,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,2308,2308.TW,台達電,125,221,3361,-96,0,10,654,-10,,,-5.4305,,-4.9419,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,2317,2317.TW,鴻海,315,146,52766,151,2,21,257,-19,,,2.1409,,-11.3793,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,2330,2330.TW,台積電,881,398,24795,474,0,9,0,-9,,,1.8233,,-100.0000,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,2382,2382.TW,廣達,98,52,2989,44,0,12,29,-12,,,3.1757,,-45.2830,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,2454,2454.TW,聯發科,169,299,6859,-131,6,11,548,-5,,,6.6387,,-2.6643,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,3231,3231.TW,緯創,234,97,11422,126,0,1,152,-1,,,-1.0568,,-3.7975,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-13,6669,6669.TW,緯穎,13,8,283,5,0,1,34,-1,,,-22.0386,,100.0000,,,,false,true,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211213&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,0050,0050.TW,元大台灣50,23,30,681,-7,0,10,117,-10,,,-9.6817,,3.5398,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,00631L,00631L.TW,元大台灣50正2,109,880,1628,-771,18,21,1045,-3,,,-20.0785,,-0.2863,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,2308,2308.TW,台達電,96,171,3316,-76,7,6,654,1,,,-7.7094,,-4.6647,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,2317,2317.TW,鴻海,179,269,52659,-94,4,18,243,-14,,,1.4996,,-15.0350,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,2330,2330.TW,台積電,406,704,24494,-302,0,0,0,0,,,0.8108,,-100.0000,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,2382,2382.TW,廣達,17,98,2907,-81,4,0,33,4,,,2.0358,,-34.0000,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,2454,2454.TW,聯發科,112,327,6606,-215,13,21,540,-8,,,-1.9881,,1.1236,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,3231,3231.TW,緯創,90,128,11389,-38,2,0,154,2,,,-0.6195,,0.0000,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-14,6669,6669.TW,緯穎,24,29,278,-5,0,0,34,0,,,-44.0644,,100.0000,,,,false,true,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211214&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-15,0050,0050.TW,元大台灣50,20,19,682,1,2,14,105,-12,,,-4.3478,,-7.0796,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211215&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-15,00631L,00631L.TW,元大台灣50正2,86,65,1649,21,2,7,1040,-5,,,-32.3626,,-0.5736,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211215&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-15,2308,2308.TW,台達電,98,64,3350,34,9,7,656,2,,,-6.7372,,-4.3732,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211215&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
2021-12-15,2317,2317.TW,鴻海,193,255,52585,-74,6,1,248,5,,,-0.0551,,-12.6761,,,,false,false,twse_mi_margn_margin_short_shares,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20211215&selectType=ALL&response=open_data,official_twse_mi_margn_margin_short_lending_unavailable
