ticker,name,market,sample_policy,source_universe_quality,prior_t164_seed_status,target_periods,planned_routes,expected_route_budget_per_ticker_period,accepted_for_formal,human_review_required,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
3521,台鋼建設,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
3632,研勤,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
4102,永日,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
4139,馬光-KY,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
4192,杏國,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
4502,健信,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
4550,長佳,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
4726,永昕,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
4905,台聯電,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
5213,亞昕,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
5302,太欣,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
5364,力麗店,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
5460,同協,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
5514,三豐,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
5878,台名,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6114,久威,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6150,撼訊,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6185,幃翔,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6220,岳豐,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6248,沛波,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6417,韋僑,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6492,生華科,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6546,正基,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6597,立誠,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6661,威健生技,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6725,矽科宏晟,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6803,崑鼎,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
6968,萬達寵物,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
7714,創泓科技,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
7777,能率亞洲,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
8042,金山電,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
8080,泰霖,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
8121,越峰,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
8349,恒耀國際,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
8435,鉅邁,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
8924,大田,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
9962,有益,TPEx,evenly_spaced_from_current_or_carried_tpex_snapshot_candidate,current_or_special_case_snapshot_not_historical_pit,new_tpex_proof_candidate,115Q1;114Q4,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,False,False,False,False,False,False,False,False,True,False
