family,date,market,route_status,required_tickers,ready_tickers,blocked_tickers,retrieval_attempted,source_url,source_hash
institutional,2023-09-21,TWSE,accepted,134,133,1,True,https://www.twse.com.tw/fund/T86?date=20230921&selectType=ALLBUT0999&response=json,b8405ecd37b47373bb324e9889c98611409e7f729d34575a97d0d22e23293f07
institutional,2023-09-22,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-09-22,TWSE,accepted,103,102,1,True,https://www.twse.com.tw/fund/T86?date=20230922&selectType=ALLBUT0999&response=json,709db4233600fa1f39a4e4d5c3902365b4d51a0c9b76b8b635c43eebca8618da
institutional,2023-09-25,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-09-25,TWSE,reused_existing_compact,103,103,0,False,local_compact,
institutional,2023-09-26,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-09-26,TWSE,reused_existing_compact,107,107,0,False,local_compact,
institutional,2023-09-27,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-09-27,TWSE,reused_existing_compact,107,107,0,False,local_compact,
institutional,2023-09-28,TPEx,reused_existing_compact,31,31,0,False,local_compact,
institutional,2023-09-28,TWSE,reused_existing_compact,81,81,0,False,local_compact,
institutional,2023-10-02,TPEx,reused_existing_compact,31,31,0,False,local_compact,
institutional,2023-10-02,TWSE,reused_existing_compact,81,81,0,False,local_compact,
institutional,2023-10-03,TPEx,reused_existing_compact,31,31,0,False,local_compact,
institutional,2023-10-03,TWSE,reused_existing_compact,81,81,0,False,local_compact,
institutional,2023-10-04,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-10-04,TWSE,reused_existing_compact,88,88,0,False,local_compact,
institutional,2023-10-05,TPEx,reused_existing_compact,36,36,0,False,local_compact,
institutional,2023-10-05,TWSE,reused_existing_compact,88,88,0,False,local_compact,
institutional,2023-10-06,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2023-10-06,TWSE,reused_existing_compact,69,69,0,False,local_compact,
institutional,2023-10-11,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2023-10-11,TWSE,reused_existing_compact,69,69,0,False,local_compact,
institutional,2023-10-12,TPEx,reused_existing_compact,28,28,0,False,local_compact,
institutional,2023-10-12,TWSE,reused_existing_compact,69,69,0,False,local_compact,
institutional,2023-10-13,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-10-13,TWSE,reused_existing_compact,68,68,0,False,local_compact,
institutional,2023-10-16,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-10-16,TWSE,reused_existing_compact,68,68,0,False,local_compact,
institutional,2023-10-17,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-10-17,TWSE,reused_existing_compact,68,68,0,False,local_compact,
institutional,2023-10-18,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-10-18,TWSE,reused_existing_compact,68,68,0,False,local_compact,
institutional,2023-10-19,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-10-19,TWSE,reused_existing_compact,68,68,0,False,local_compact,
institutional,2023-10-20,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-10-20,TWSE,reused_existing_compact,67,67,0,False,local_compact,
institutional,2023-10-23,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-10-23,TWSE,reused_existing_compact,67,67,0,False,local_compact,
institutional,2023-10-24,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-10-24,TWSE,reused_existing_compact,67,67,0,False,local_compact,
institutional,2023-10-25,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-10-25,TWSE,reused_existing_compact,67,67,0,False,local_compact,
institutional,2023-10-26,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-10-26,TWSE,reused_existing_compact,67,67,0,False,local_compact,
institutional,2023-10-27,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-10-27,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-10-30,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-10-30,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-10-31,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-10-31,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-11-01,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-11-01,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-11-02,TPEx,reused_existing_compact,33,33,0,False,local_compact,
institutional,2023-11-02,TWSE,reused_existing_compact,73,73,0,False,local_compact,
institutional,2023-11-03,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-03,TWSE,reused_existing_compact,76,76,0,False,local_compact,
institutional,2023-11-06,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-06,TWSE,reused_existing_compact,76,76,0,False,local_compact,
institutional,2023-11-07,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-07,TWSE,reused_existing_compact,76,76,0,False,local_compact,
institutional,2023-11-08,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-08,TWSE,reused_existing_compact,76,76,0,False,local_compact,
institutional,2023-11-09,TPEx,reused_existing_compact,32,32,0,False,local_compact,
institutional,2023-11-09,TWSE,reused_existing_compact,76,76,0,False,local_compact,
