snapshot_date,routing_variant,selected_route_mode,ticker,name,recommendation_type,path_bucket,entry_date,exit_date,entry_open_available,entry_close_available,exit_close_available,next_day_unadjusted_path_ready,adjusted_close_available,adjusted_close_ready,source_quality,adjustment_policy,blocked_reason,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2025-04-11,pool_breadth_route,low_risk_strength,6670,復盛應用,stock,ordinary_stock,2025-04-14,2025-04-21,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-18,conservative_hurdle_route,hurdle_reference,4904,遠傳,00631L,00631L_reference,2025-04-21,2025-04-28,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-18,dispersion_route,rs20_top3_risk_tiebreak,2474,可成,stock,ordinary_stock,2025-04-21,2025-04-28,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-18,hybrid_pullback_base_mega_override,pullback_repair,4904,遠傳,stock,ordinary_stock,2025-04-21,2025-04-28,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-18,market_bias_pool_trend_route,pullback_repair,4904,遠傳,stock,ordinary_stock,2025-04-21,2025-04-28,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-18,pool_breadth_route,low_risk_strength,4766,南寶,stock,ordinary_stock,2025-04-21,2025-04-28,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-25,conservative_hurdle_route,hurdle_reference,4904,遠傳,00631L,00631L_reference,2025-04-28,2025-05-06,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-25,dispersion_route,rs20_top3_risk_tiebreak,2471,資通,stock,ordinary_stock,2025-04-28,2025-05-06,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-25,hybrid_pullback_base_mega_override,pullback_repair,2912,統一超,stock,ordinary_stock,2025-04-28,2025-05-06,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-25,market_bias_pool_trend_route,pullback_repair,2912,統一超,stock,ordinary_stock,2025-04-28,2025-05-06,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-04-25,pool_breadth_route,low_risk_strength,2412,中華電,stock,ordinary_stock,2025-04-28,2025-05-06,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-02,conservative_hurdle_route,hurdle_reference,3705,永信,stock,ordinary_stock,2025-05-05,2025-05-12,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-02,dispersion_route,rs20_top3_risk_tiebreak,6669,緯穎,stock,ordinary_stock,2025-05-05,2025-05-12,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-02,hybrid_pullback_base_mega_override,pullback_repair,3705,永信,stock,ordinary_stock,2025-05-05,2025-05-12,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-02,market_bias_pool_trend_route,pullback_repair,3705,永信,stock,ordinary_stock,2025-05-05,2025-05-12,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-02,pool_breadth_route,low_risk_strength,3705,永信,stock,ordinary_stock,2025-05-05,2025-05-12,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-09,conservative_hurdle_route,rs20_top3_risk_tiebreak,2468,華經,stock,ordinary_stock,2025-05-12,2025-05-19,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-09,dispersion_route,rs20_top3_risk_tiebreak,2468,華經,stock,ordinary_stock,2025-05-12,2025-05-19,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-09,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,2468,華經,stock,ordinary_stock,2025-05-12,2025-05-19,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-09,market_bias_pool_trend_route,stable_strength,2468,華經,stock,ordinary_stock,2025-05-12,2025-05-19,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-09,pool_breadth_route,stable_strength,2468,華經,stock,ordinary_stock,2025-05-12,2025-05-19,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-16,conservative_hurdle_route,rs20_top3_risk_tiebreak,2615,萬海,stock,ordinary_stock,2025-05-19,2025-05-26,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-16,dispersion_route,rs20_top3_risk_tiebreak,2615,萬海,stock,ordinary_stock,2025-05-19,2025-05-26,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-16,hybrid_pullback_base_mega_override,pullback_repair,8028,昇陽半導體,stock,ordinary_stock,2025-05-19,2025-05-26,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
2025-05-16,market_bias_pool_trend_route,stable_strength,2615,萬海,stock,ordinary_stock,2025-05-19,2025-05-26,true,true,true,true,false,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated,,false,false,false,false,false,false,true,false
