ticker,name,missing_route_rows_requested,first_signal_date,last_signal_date,required_price_start,required_price_end_with_exit_buffer,path_rows_audited,unadjusted_ready_rows,blocked_rows,adjusted_close_ready,source_quality
2891,中信金,2,2024-05-24,2024-05-24,2024-05-27,2024-06-03,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2912,統一超,2,2025-04-25,2025-04-25,2025-04-28,2025-05-06,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3105,穩懋,2,2025-12-26,2025-12-26,2025-12-29,2026-01-06,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3289,宜特,2,2024-09-27,2024-09-27,2024-09-30,2024-10-09,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3376,新日興,2,2024-02-02,2024-02-02,2024-02-05,2024-02-21,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3379,彬台,2,2025-02-21,2025-02-21,2025-02-24,2025-03-04,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3533,嘉澤,2,2024-11-01,2024-12-27,2024-11-04,2025-01-07,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3645,達邁,2,2025-02-07,2025-02-07,2025-02-10,2025-02-17,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3711,日月光投控,2,2025-10-31,2026-01-09,2025-11-03,2026-01-19,3,3,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
5521,工信,2,2024-01-05,2024-01-05,2024-01-08,2024-01-15,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6584,南俊國際,2,2026-03-27,2026-03-27,2026-03-30,2026-04-08,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6670,復盛應用,2,2025-04-11,2025-04-11,2025-04-14,2025-04-21,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6781,AES-KY,2,2025-01-03,2025-01-03,2025-01-06,2025-01-13,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6789,采鈺,2,2026-04-24,2026-04-24,2026-04-27,2026-05-05,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
8131,福懋科,2,2026-01-16,2026-01-16,2026-01-19,2026-01-26,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
8155,博智,2,2026-04-30,2026-04-30,2026-05-04,2026-05-11,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
1616,億泰,1,2025-07-04,2025-07-04,2025-07-07,2025-07-14,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
1717,長興,1,2026-04-24,2026-04-24,2026-04-27,2026-05-05,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
1815,富喬,1,2025-07-18,2025-07-18,2025-07-21,2025-07-28,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2317,鴻海,1,2024-04-26,2024-04-26,2024-04-29,2024-05-07,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2428,興勤,1,2025-11-28,2025-11-28,2025-12-01,2025-12-08,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2448,晶電,1,2025-08-01,2025-08-01,2025-08-04,2025-08-11,1,0,1,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2471,資通,1,2025-04-25,2025-04-25,2025-04-28,2025-05-06,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2474,可成,1,2025-04-18,2025-04-18,2025-04-21,2025-04-28,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
2618,長榮航,1,2024-12-20,2024-12-20,2024-12-23,2024-12-30,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3363,上詮,1,2025-07-25,2025-07-25,2025-07-28,2025-08-04,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
3622,洋華,1,2024-01-19,2024-01-19,2024-01-22,2024-01-29,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
4123,晟德,1,2024-07-12,2024-07-12,2024-07-15,2024-07-22,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
4542,科嶠,1,2026-02-11,2026-02-11,2026-02-23,2026-03-03,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
4576,大銀微系統,1,2024-10-25,2024-10-25,2024-10-28,2024-11-05,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
4766,南寶,1,2025-04-18,2025-04-18,2025-04-21,2025-04-28,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
5284,jpp-KY,1,2025-07-04,2025-07-04,2025-07-07,2025-07-14,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
5289,宜鼎,1,2025-10-03,2025-10-03,2025-10-07,2025-10-15,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6005,群益證,1,2025-01-22,2025-01-22,2025-02-03,2025-02-10,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6189,豐藝,1,2024-03-08,2024-03-08,2024-03-11,2024-03-18,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6213,聯茂,1,2025-06-20,2025-06-20,2025-06-23,2025-06-30,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6223,旺矽,1,2024-06-14,2024-06-14,2024-06-17,2024-06-24,2,2,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
6757,台灣虎航,1,2024-11-29,2024-11-29,2024-12-02,2024-12-09,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
8032,光菱,1,2024-11-22,2024-11-22,2024-11-25,2024-12-02,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
8249,菱光,1,2024-10-04,2024-10-04,2024-10-07,2024-10-15,3,2,1,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
9904,寶成,1,2024-11-29,2024-11-29,2024-12-02,2024-12-09,1,1,0,false,official_unadjusted_ohlcv_pit_daily_full_sweep_shard
