timestamp,step,status,detail
2026-07-03T14:49:31+08:00,probe_twse_twta_wu_month,retrieved,2024-03 accepted=2
2026-07-03T14:49:31+08:00,probe_twse_twta_wu_month,retrieved,2024-04 accepted=2
2026-07-03T14:49:31+08:00,probe_twse_twta_wu_month,retrieved,2024-05 accepted=2
2026-07-03T14:49:32+08:00,probe_twse_twta_wu_month,retrieved,2024-06 accepted=2
2026-07-03T14:49:33+08:00,probe_twse_twta_wu_month,retrieved,2024-07 accepted=0
2026-07-03T14:49:33+08:00,probe_twse_twta_wu_month,retrieved,2024-08 accepted=12
2026-07-03T14:49:33+08:00,probe_twse_twta_wu_month,retrieved,2024-09 accepted=0
2026-07-03T14:49:33+08:00,probe_twse_twta_wu_month,retrieved,2024-10 accepted=4
2026-07-03T14:49:34+08:00,probe_twse_twta_wu_month,retrieved,2024-11 accepted=4
2026-07-03T14:49:34+08:00,probe_twse_twta_wu_month,retrieved,2024-12 accepted=2
2026-07-03T14:49:34+08:00,probe_twse_twta_wu_month,retrieved,2025-01 accepted=0
2026-07-03T14:49:34+08:00,probe_twse_twta_wu_month,retrieved,2025-02 accepted=2
2026-07-03T14:49:35+08:00,probe_twse_twta_wu_month,retrieved,2025-03 accepted=6
2026-07-03T14:49:35+08:00,probe_twse_twta_wu_month,retrieved,2025-04 accepted=4
2026-07-03T14:49:35+08:00,probe_twse_twta_wu_month,retrieved,2025-05 accepted=6
2026-07-03T14:49:35+08:00,probe_twse_twta_wu_month,retrieved,2025-06 accepted=2
2026-07-03T14:49:35+08:00,probe_twse_twta_wu_month,retrieved,2025-07 accepted=8
2026-07-03T14:49:36+08:00,probe_twse_twta_wu_month,retrieved,2025-08 accepted=6
2026-07-03T14:49:36+08:00,probe_twse_twta_wu_month,retrieved,2025-09 accepted=0
2026-07-03T14:49:36+08:00,probe_twse_twta_wu_month,retrieved,2025-10 accepted=0
2026-07-03T14:49:36+08:00,probe_twse_twta_wu_month,retrieved,2025-11 accepted=12
2026-07-03T14:49:38+08:00,probe_twse_twta_wu_month,retrieved,2025-12 accepted=4
2026-07-03T14:49:38+08:00,probe_twse_twta_wu_month,retrieved,2026-01 accepted=0
2026-07-03T14:49:38+08:00,probe_twse_twta_wu_month,retrieved,2026-02 accepted=2
2026-07-03T14:49:38+08:00,probe_twse_twta_wu_month,retrieved,2026-03 accepted=0
2026-07-03T14:49:39+08:00,probe_twse_twta_wu_month,retrieved,2026-04 accepted=4
2026-07-03T14:49:40+08:00,probe_twse_twta_wu_month,retrieved,2026-05 accepted=8
2026-07-03T14:49:40+08:00,probe_twse_twta_wu_month,retrieved,2026-06 accepted=4
2026-07-03T14:49:40+08:00,probe_twse_twta_wu_month,retrieved,2026-07 accepted=0
2026-07-03T14:49:40+08:00,probe_twse_twt85u_anchor,retrieved,2015-01-05 accepted=22
2026-07-03T14:49:40+08:00,probe_twse_twt85u_anchor,retrieved,2015-01-30 accepted=21
2026-07-03T14:49:40+08:00,probe_twse_twt85u_anchor,retrieved,2015-02-02 accepted=21
2026-07-03T14:49:41+08:00,probe_twse_twt85u_anchor,retrieved,2015-02-26 accepted=21
2026-07-03T14:49:41+08:00,probe_twse_twt85u_anchor,retrieved,2015-03-02 accepted=21
2026-07-03T14:49:41+08:00,probe_twse_twt85u_anchor,retrieved,2015-03-31 accepted=21
2026-07-03T14:49:41+08:00,probe_twse_twt85u_anchor,retrieved,2015-04-01 accepted=21
2026-07-03T14:49:41+08:00,probe_twse_twt85u_anchor,retrieved,2015-04-30 accepted=21
2026-07-03T14:49:42+08:00,probe_twse_twt85u_anchor,retrieved,2015-05-04 accepted=21
2026-07-03T14:49:42+08:00,probe_twse_twt85u_anchor,retrieved,2015-05-29 accepted=21
2026-07-03T14:49:42+08:00,probe_twse_twt85u_anchor,retrieved,2015-06-01 accepted=21
2026-07-03T14:49:42+08:00,probe_twse_twt85u_anchor,retrieved,2015-06-30 accepted=21
2026-07-03T14:49:42+08:00,probe_twse_twt85u_anchor,retrieved,2015-07-01 accepted=21
2026-07-03T14:49:42+08:00,probe_twse_twt85u_anchor,retrieved,2015-07-31 accepted=21
2026-07-03T14:49:44+08:00,probe_twse_twt85u_anchor,retrieved,2015-08-03 accepted=21
2026-07-03T14:49:44+08:00,probe_twse_twt85u_anchor,retrieved,2015-08-31 accepted=20
2026-07-03T14:49:44+08:00,probe_twse_twt85u_anchor,retrieved,2015-09-01 accepted=20
2026-07-03T14:49:44+08:00,probe_twse_twt85u_anchor,retrieved,2015-09-30 accepted=20
2026-07-03T14:49:44+08:00,probe_twse_twt85u_anchor,retrieved,2015-10-01 accepted=20
2026-07-03T14:49:44+08:00,probe_twse_twt85u_anchor,retrieved,2015-10-30 accepted=20
2026-07-03T14:49:44+08:00,probe_twse_twt85u_anchor,retrieved,2015-11-02 accepted=20
2026-07-03T14:49:44+08:00,probe_twse_twt85u_anchor,retrieved,2015-11-30 accepted=21
2026-07-03T14:49:45+08:00,probe_twse_twt85u_anchor,retrieved,2015-12-01 accepted=21
2026-07-03T14:49:45+08:00,probe_twse_twt85u_anchor,retrieved,2015-12-31 accepted=20
2026-07-03T14:49:45+08:00,probe_twse_twt85u_anchor,retrieved,2016-01-04 accepted=20
2026-07-03T14:49:45+08:00,probe_twse_twt85u_anchor,retrieved,2016-01-29 accepted=19
2026-07-03T14:49:45+08:00,probe_twse_twt85u_anchor,retrieved,2016-02-01 accepted=19
2026-07-03T14:49:45+08:00,probe_twse_twt85u_anchor,retrieved,2016-02-26 accepted=19
2026-07-03T14:49:46+08:00,probe_twse_twt85u_anchor,retrieved,2016-03-01 accepted=19
2026-07-03T14:49:46+08:00,probe_twse_twt85u_anchor,retrieved,2016-03-31 accepted=20
2026-07-03T14:49:46+08:00,probe_twse_twt85u_anchor,retrieved,2016-04-01 accepted=20
2026-07-03T14:49:46+08:00,probe_twse_twt85u_anchor,retrieved,2016-04-29 accepted=21
2026-07-03T14:49:46+08:00,probe_twse_twt85u_anchor,retrieved,2016-05-03 accepted=21
2026-07-03T14:49:46+08:00,probe_twse_twt85u_anchor,retrieved,2016-05-31 accepted=20
2026-07-03T14:49:46+08:00,probe_twse_twt85u_anchor,retrieved,2016-06-01 accepted=20
2026-07-03T14:49:47+08:00,probe_twse_twt85u_anchor,retrieved,2016-06-30 accepted=19
2026-07-03T14:49:47+08:00,probe_twse_twt85u_anchor,retrieved,2016-07-01 accepted=19
2026-07-03T14:49:47+08:00,probe_twse_twt85u_anchor,retrieved,2016-07-29 accepted=18
2026-07-03T14:49:47+08:00,probe_twse_twt85u_anchor,retrieved,2016-08-01 accepted=18
2026-07-03T14:49:47+08:00,probe_twse_twt85u_anchor,retrieved,2016-08-31 accepted=17
2026-07-03T14:49:48+08:00,probe_twse_twt85u_anchor,retrieved,2016-09-01 accepted=17
2026-07-03T14:49:48+08:00,probe_twse_twt85u_anchor,retrieved,2016-09-30 accepted=17
2026-07-03T14:49:48+08:00,probe_twse_twt85u_anchor,retrieved,2016-10-03 accepted=17
2026-07-03T14:49:48+08:00,probe_twse_twt85u_anchor,retrieved,2016-10-31 accepted=17
2026-07-03T14:49:48+08:00,probe_twse_twt85u_anchor,retrieved,2016-11-01 accepted=17
2026-07-03T14:49:49+08:00,probe_twse_twt85u_anchor,retrieved,2016-11-30 accepted=21
2026-07-03T14:49:49+08:00,probe_twse_twt85u_anchor,retrieved,2016-12-01 accepted=21
2026-07-03T14:49:49+08:00,probe_twse_twt85u_anchor,retrieved,2016-12-30 accepted=22
2026-07-03T14:49:49+08:00,probe_twse_twt85u_anchor,retrieved,2017-01-03 accepted=21
2026-07-03T14:49:49+08:00,probe_twse_twt85u_anchor,retrieved,2017-01-24 accepted=22
2026-07-03T14:49:49+08:00,probe_twse_twt85u_anchor,retrieved,2017-02-02 accepted=21
2026-07-03T14:49:50+08:00,probe_twse_twt85u_anchor,retrieved,2017-02-24 accepted=21
2026-07-03T14:49:50+08:00,probe_twse_twt85u_anchor,retrieved,2017-03-01 accepted=21
2026-07-03T14:49:50+08:00,probe_twse_twt85u_anchor,retrieved,2017-03-31 accepted=21
2026-07-03T14:49:50+08:00,probe_twse_twt85u_anchor,retrieved,2017-04-05 accepted=21
2026-07-03T14:49:50+08:00,probe_twse_twt85u_anchor,retrieved,2017-04-28 accepted=20
2026-07-03T14:49:51+08:00,probe_twse_twt85u_anchor,retrieved,2017-05-02 accepted=20
2026-07-03T14:49:51+08:00,probe_twse_twt85u_anchor,retrieved,2017-05-31 accepted=20
2026-07-03T14:49:51+08:00,probe_twse_twt85u_anchor,retrieved,2017-06-01 accepted=20
