date,theme,symbol,name,theme_rank,theme_score,capital_share,capital_share_5d_avg,capital_share_5d_change,turnover_value,turnover_value_5d,strong_stock_ratio,theme_risk_heat,stock_score,bucket,fundamental_pass,fundamental_score,fundamental_data_status,fundamental_reason,risk_heat,liquidity,foreign_5d,trust_5d,margin_change_5d,stock_turnover_rank_in_theme,stock_turnover_share_in_theme,stock_turnover_share_change_5d,theme_leader_flag,theme_second_line_flag,theme_laggard_rebound_flag,overheated_flag
2026-05-27,PCB/載板,2313,華通,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,56.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.5,100.0,0,0,0,3,13.2,-2.3,false,false,false,false
2026-05-27,PCB/載板,3044,健鼎,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,49.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.5,100.0,0,0,0,11,1.7,0.4,false,false,false,false
2026-05-27,PCB/載板,4958,臻鼎-KY,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,56.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.5,100.0,0,0,0,2,13.5,-1.9,false,false,false,false
2026-05-27,PCB/載板,2316,楠梓電,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,52.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.5,100.0,0,0,0,14,1.2,0.0,false,false,false,false
2026-05-27,PCB/載板,2367,燿華,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,51.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,45.9,100.0,0,0,0,12,1.5,-1.0,false,false,false,false
2026-05-27,PCB/載板,1815,富喬,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,52.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.5,100.0,0,0,0,10,1.8,-0.4,false,false,false,false
2026-05-27,PCB/載板,5439,高技,2,71.9,15.3,18.4,-3.9,173260.9,830338.0,100.0,58.0,36.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.5,56.0,0,0,0,15,0.6,0.0,false,false,false,false
2026-05-27,ASIC/IP,3443,創意,3,63.9,11.9,11.4,0.7,135089.5,519167.8,100.0,66.0,53.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,49.5,100.0,0,0,0,2,10.7,-4.6,false,false,false,false
2026-05-27,ASIC/IP,3661,世芯-KY,3,63.9,11.9,11.4,0.7,135089.5,519167.8,100.0,66.0,53.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,49.5,100.0,0,0,0,3,8.7,-0.9,false,false,false,false
2026-05-27,ASIC/IP,3035,智原,3,63.9,11.9,11.4,0.7,135089.5,519167.8,100.0,66.0,51.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,49.5,100.0,0,0,0,8,2.6,-4.0,false,false,false,false
2026-05-27,ASIC/IP,6531,愛普*,3,63.9,11.9,11.4,0.7,135089.5,519167.8,100.0,66.0,52.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,49.5,100.0,0,0,0,4,5.7,-5.5,false,false,false,false
2026-05-27,ASIC/IP,3529,力旺,3,63.9,11.9,11.4,0.7,135089.5,519167.8,100.0,66.0,51.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,49.5,100.0,0,0,0,6,3.4,1.1,false,false,false,false
2026-05-27,ASIC/IP,5274,信驊,3,63.9,11.9,11.4,0.7,135089.5,519167.8,100.0,66.0,44.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,72.5,100.0,0,0,0,5,3.4,-1.5,false,false,false,true
2026-05-27,ASIC/IP,2454,聯發科,3,63.9,11.9,11.4,0.7,135089.5,519167.8,100.0,66.0,61.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,84.7,100.0,0,0,0,1,62.8,15.0,true,false,false,true
2026-05-27,ASIC/IP,2379,瑞昱,3,63.9,11.9,11.4,0.7,135089.5,519167.8,100.0,66.0,48.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,59.7,100.0,0,0,0,7,2.7,0.4,false,false,false,false
2026-05-27,封測/CoWoS,3711,日月光投控,4,61.8,9.9,8.1,2.3,112806.1,378731.7,100.0,54.0,52.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,60.8,100.0,0,0,0,4,17.2,-8.4,false,false,false,false
2026-05-27,封測/CoWoS,2449,京元電子,4,61.8,9.9,8.1,2.3,112806.1,378731.7,100.0,54.0,62.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,40.5,100.0,0,0,0,1,27.3,5.0,true,false,false,false
2026-05-27,封測/CoWoS,6239,力成,4,61.8,9.9,8.1,2.3,112806.1,378731.7,100.0,54.0,61.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,40.5,100.0,0,0,0,2,23.3,14.0,true,false,false,false
2026-05-27,封測/CoWoS,6257,矽格,4,61.8,9.9,8.1,2.3,112806.1,378731.7,100.0,54.0,53.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,40.5,100.0,0,0,0,7,2.6,-2.2,false,false,false,false
2026-05-27,封測/CoWoS,3264,欣銓,4,61.8,9.9,8.1,2.3,112806.1,378731.7,100.0,54.0,53.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,40.5,100.0,0,0,0,8,1.8,-0.9,false,false,false,false
2026-05-27,封測/CoWoS,6510,精測,4,61.8,9.9,8.1,2.3,112806.1,378731.7,100.0,54.0,54.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,40.5,100.0,0,0,0,6,3.9,0.9,false,false,false,false
2026-05-27,封測/CoWoS,6223,旺矽,4,61.8,9.9,8.1,2.3,112806.1,378731.7,100.0,54.0,51.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,50.1,100.0,0,0,0,5,4.6,-5.1,false,false,false,false
2026-05-27,封測/CoWoS,6147,頎邦,4,61.8,9.9,8.1,2.3,112806.1,378731.7,100.0,54.0,57.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,47.4,100.0,0,0,0,3,19.3,-3.2,false,false,false,false
2026-05-27,AI伺服器/ODM,2382,廣達,5,55.0,6.7,8.5,-2.3,75860.6,381617.4,100.0,56.0,58.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,42.0,100.0,0,0,0,3,18.2,0.6,false,true,false,false
2026-05-27,AI伺服器/ODM,3231,緯創,5,55.0,6.7,8.5,-2.3,75860.6,381617.4,100.0,56.0,54.9,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,42.0,100.0,0,0,0,5,7.2,-4.0,false,false,false,false
2026-05-27,AI伺服器/ODM,6669,緯穎,5,55.0,6.7,8.5,-2.3,75860.6,381617.4,100.0,56.0,57.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,42.0,100.0,0,0,0,4,13.6,-3.1,false,false,false,false
2026-05-27,AI伺服器/ODM,2356,英業達,5,55.0,6.7,8.5,-2.3,75860.6,381617.4,100.0,56.0,54.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,42.0,100.0,0,0,0,6,6.5,-3.3,false,false,false,false
2026-05-27,AI伺服器/ODM,2376,技嘉,5,55.0,6.7,8.5,-2.3,75860.6,381617.4,100.0,56.0,53.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,42.0,100.0,0,0,0,7,4.0,-2.2,false,false,false,false
2026-05-27,AI伺服器/ODM,2357,華碩,5,55.0,6.7,8.5,-2.3,75860.6,381617.4,100.0,56.0,53.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.1,100.0,0,0,0,8,3.9,-1.0,false,false,false,false
2026-05-27,AI伺服器/ODM,2317,鴻海,5,55.0,6.7,8.5,-2.3,75860.6,381617.4,100.0,56.0,59.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,49.7,100.0,0,0,0,1,27.4,4.2,true,false,false,false
2026-05-27,AI伺服器/ODM,2301,光寶科,5,55.0,6.7,8.5,-2.3,75860.6,381617.4,100.0,56.0,55.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,52.9,100.0,0,0,0,2,19.1,8.8,true,false,false,false
2026-05-27,電源/BBU,2308,台達電,6,44.4,5.5,4.9,0.7,61950.3,226567.0,75.0,52.0,64.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,67.9,100.0,0,0,0,1,57.3,-3.6,true,false,false,true
2026-05-27,電源/BBU,2301,光寶科,6,44.4,5.5,4.9,0.7,61950.3,226567.0,75.0,52.0,58.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,49.9,100.0,0,0,0,2,23.4,4.9,true,false,false,false
2026-05-27,電源/BBU,6412,群電,6,44.4,5.5,4.9,0.7,61950.3,226567.0,75.0,52.0,23.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,39.0,13.1,0,0,0,6,0.4,-0.8,false,false,false,false
2026-05-27,電源/BBU,3015,全漢,6,44.4,5.5,4.9,0.7,61950.3,226567.0,75.0,52.0,18.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,39.0,1.2,0,0,0,8,0.0,-0.0,false,false,false,false
2026-05-27,電源/BBU,2457,飛宏,6,44.4,5.5,4.9,0.7,61950.3,226567.0,75.0,52.0,19.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,39.0,4.3,0,0,0,7,0.1,-0.2,false,false,false,false
2026-05-27,電源/BBU,4931,新盛力,6,44.4,5.5,4.9,0.7,61950.3,226567.0,75.0,52.0,54.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,39.0,100.0,0,0,0,4,4.0,-2.9,false,false,false,false
2026-05-27,電源/BBU,3211,順達,6,44.4,5.5,4.9,0.7,61950.3,226567.0,75.0,52.0,58.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,39.0,100.0,0,0,0,3,14.3,2.2,false,true,false,false
2026-05-27,電源/BBU,3323,加百裕,6,44.4,5.5,4.9,0.7,61950.3,226567.0,75.0,52.0,18.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.1,13.9,0,0,0,5,0.4,0.3,false,true,false,false
2026-05-27,CPO/矽光子,3163,波若威,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,52.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,100.0,0,0,0,5,10.7,-4.8,false,false,false,false
2026-05-27,CPO/矽光子,3363,上詮,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,50.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,100.0,0,0,0,7,5.3,-2.8,false,false,false,false
2026-05-27,CPO/矽光子,4908,前鼎,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,35.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,60.8,0,0,0,9,2.0,-2.0,false,false,false,false
2026-05-27,CPO/矽光子,4979,華星光,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,55.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,100.0,0,0,0,2,17.6,15.2,true,false,false,false
2026-05-27,CPO/矽光子,3081,聯亞,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,54.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,100.0,0,0,0,3,15.5,-6.3,false,false,false,false
2026-05-27,CPO/矽光子,3450,聯鈞,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,54.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,100.0,0,0,0,4,15.0,9.2,false,true,false,false
2026-05-27,CPO/矽光子,3234,光環,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,17.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,10.7,0,0,0,10,0.4,-0.4,false,false,false,false
2026-05-27,CPO/矽光子,4977,眾達-KY,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,40.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,74.0,0,0,0,8,2.5,-1.2,false,false,false,false
2026-05-27,CPO/矽光子,6442,光聖,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,56.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,100.0,0,0,0,1,23.0,-5.4,true,false,false,false
2026-05-27,CPO/矽光子,6451,訊芯-KY,7,49.7,5.2,4.0,1.6,59410.3,187204.4,100.0,72.0,51.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,54.0,100.0,0,0,0,6,8.1,-1.5,false,false,false,false
2026-05-27,機器人/自動化,2049,上銀,8,49.9,4.3,4.1,0.2,48770.4,188192.4,100.0,58.0,54.3,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.5,100.0,0,0,0,3,6.6,-1.5,false,false,false,false
2026-05-27,機器人/自動化,1590,亞德客-KY,8,49.9,4.3,4.1,0.2,48770.4,188192.4,100.0,58.0,33.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.5,44.7,0,0,0,6,1.8,-2.0,false,false,false,false
2026-05-27,機器人/自動化,2359,所羅門,8,49.9,4.3,4.1,0.2,48770.4,188192.4,100.0,58.0,43.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,44.9,74.8,0,0,0,5,3.1,0.4,false,true,false,false
2026-05-27,機器人/自動化,2464,盟立,8,49.9,4.3,4.1,0.2,48770.4,188192.4,100.0,58.0,53.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,51.6,100.0,0,0,0,2,11.9,1.7,false,false,false,false
2026-05-27,機器人/自動化,2308,台達電,8,49.9,4.3,4.1,0.2,48770.4,188192.4,100.0,58.0,68.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,72.4,100.0,0,0,0,1,72.7,3.2,true,false,false,true
2026-05-27,機器人/自動化,4576,大銀微系統,8,49.9,4.3,4.1,0.2,48770.4,188192.4,100.0,58.0,44.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,43.5,75.5,0,0,0,4,3.1,-1.1,false,false,false,false
2026-05-27,機器人/自動化,6166,凌華,8,49.9,4.3,4.1,0.2,48770.4,188192.4,100.0,58.0,21.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,52.5,18.6,0,0,0,7,0.8,-0.7,false,false,false,false
2026-05-27,車用電子,1536,和大,9,30.1,3.6,3.5,0.2,41268.4,158886.7,42.9,48.0,22.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,36.0,7.7,0,0,0,3,0.4,-0.1,false,false,false,false
2026-05-27,車用電子,2231,為升,9,30.1,3.6,3.5,0.2,41268.4,158886.7,42.9,48.0,20.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,36.0,2.8,0,0,0,5,0.1,-0.0,false,false,false,false
2026-05-27,車用電子,3665,貿聯-KY,9,30.1,3.6,3.5,0.2,41268.4,158886.7,42.9,48.0,58.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,36.0,100.0,0,0,0,2,13.2,-3.1,false,false,false,false
2026-05-27,車用電子,6279,胡連,9,30.1,3.6,3.5,0.2,41268.4,158886.7,42.9,48.0,20.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,36.0,3.7,0,0,0,4,0.2,-0.2,false,false,false,false
2026-05-27,車用電子,3552,同致,9,30.1,3.6,3.5,0.2,41268.4,158886.7,42.9,48.0,19.5,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,36.0,0.9,0,0,0,7,0.0,0.0,false,false,false,false
2026-05-27,車用電子,2497,怡利電,9,30.1,3.6,3.5,0.2,41268.4,158886.7,42.9,48.0,19.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,36.0,1.0,0,0,0,6,0.1,-0.0,false,false,false,false
2026-05-27,車用電子,2308,台達電,9,30.1,3.6,3.5,0.2,41268.4,158886.7,42.9,48.0,75.6,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,64.9,100.0,0,0,0,1,86.0,3.5,true,false,false,true
2026-05-27,被動元件,2327,國巨*,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,63.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,58.7,100.0,0,0,0,1,45.1,-7.1,true,false,false,false
2026-05-27,被動元件,2492,華新科,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,42.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,74.1,95.2,0,0,0,7,4.8,-0.6,false,false,false,true
2026-05-27,被動元件,2472,立隆電,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,46.4,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,74.2,100.0,0,0,0,3,10.6,-0.4,false,false,false,true
2026-05-27,被動元件,3026,禾伸堂,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,33.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,61.2,58.3,0,0,0,8,3.0,0.8,false,false,false,false
2026-05-27,被動元件,3090,日電貿,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,30.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,34.5,28.2,0,0,0,11,1.4,-6.8,false,false,false,false
2026-05-27,被動元件,2375,凱美,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,47.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,73.3,100.0,0,0,0,2,12.0,6.6,false,false,false,true
2026-05-27,被動元件,6173,信昌電,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,24.8,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,38.1,16.9,0,0,0,12,0.9,0.4,false,false,false,false
2026-05-27,被動元件,6127,九豪,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,56.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,34.5,100.0,0,0,0,5,5.7,2.1,false,true,false,false
2026-05-27,被動元件,8043,蜜望實,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,45.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,70.9,100.0,0,0,0,6,5.6,0.6,false,false,false,true
2026-05-27,被動元件,3624,光頡,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,30.0,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,36.6,30.0,0,0,0,10,1.5,0.6,false,false,false,false
2026-05-27,被動元件,3357,臺慶科,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,50.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,58.2,100.0,0,0,0,4,7.3,3.2,false,true,false,false
2026-05-27,被動元件,3236,千如,10,50.0,3.5,6.2,-3.4,39375.3,267216.8,100.0,46.0,34.7,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,34.5,41.0,0,0,0,9,2.1,0.7,false,false,false,false
2026-05-27,金融,2881,富邦金,11,50.0,2.6,2.4,0.2,29170.6,111354.4,100.0,34.0,62.2,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,50.6,100.0,0,0,0,1,35.5,10.1,true,false,false,false
2026-05-27,金融,2882,國泰金,11,50.0,2.6,2.4,0.2,29170.6,111354.4,100.0,34.0,61.1,excluded_missing_fundamental,false,0.0,missing_fundamental_data,PE or revenue data missing; excluded from qualified candidates,36.6,100.0,0,0,0,2,20.3,1.9,true,false,false,false
