ticker,market,year_month,required_gap_rows,raw_gap_rows,factor_gap_rows,need_official_selected_ticker_month_route,official_raw_route,need_trusted_adjusted_ticker_route,trusted_factor_route,classification_set,download_executed,future_data_violation_count,diagnostic_subproblem,represents_intended_all80_layer5_state_supply,performance_authorized,P3_2_outcome_read_authorized,Top3_authorized,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2362,TWSE,2023-01,2,2,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2362,TWSE,2023-03,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2362,TWSE,2023-04,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2362,TWSE,2023-07,3,3,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2362,TWSE,2023-09,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2362,TWSE,2024-10,5,5,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2363,TWSE,2022-10,8,8,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2363,TWSE,2022-11,2,2,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2363,TWSE,2023-03,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2363,TWSE,2023-04,1,1,0,True,TWSE STOCK_DAY selected month,False,reuse_ready,raw_true_gap,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False
