package,relative_path,candidate_size_mb,estimated_compressed_mb,reason,restore_source,approval_required,delete_allowed
radar_tw50_0050_archived_html_crawler_201411_202312_20260629,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629,80.892474,20.236444,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,outputs/radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,59.911576,35.580097,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,outputs/radar_tw50_0050_browser_network_capture_phase7_201411_202312_20260629,59.911576,35.580097,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,9.955709,2.488884,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,outputs/radar_tw50_0050_dated_api_disclosure_phase4_201411_202312_20260629,9.955709,2.488884,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629,5.589285,2.986025,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629,5.589285,2.986025,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,outputs/radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,76.514114,29.644378,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,outputs/radar_tw50_0050_formal_pit_source_phase8_201411_202312_20260629,76.514114,29.644378,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_historical_source_download_201411_202312_20260629,outputs/radar_tw50_0050_historical_source_download_201411_202312_20260629,0.074576,0.037971,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_historical_source_download_201411_202312_20260629,outputs/radar_tw50_0050_historical_source_download_201411_202312_20260629,0.074576,0.037971,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_manual_pit_ledger_phase2_20260629,outputs/radar_tw50_0050_manual_pit_ledger_phase2_20260629,0.019258,0.00481,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_session_replay_phase6_201411_202312_20260629,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629,0.488267,0.122047,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_0050_session_replay_phase6_201411_202312_20260629,outputs/radar_tw50_0050_session_replay_phase6_201411_202312_20260629,0.488267,0.122047,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
radar_tw50_pit_source_acquisition_201411_202312_20260629,outputs/radar_tw50_pit_source_acquisition_201411_202312_20260629,0.010119,0.002527,raw/browser/source artifacts can be archived only after user approval and checksum review,checksum_manifest + original repo path,True,False
