family,ticker,route_scope,source_url,source_hash,cache_path,cache_reused,requested_rows,accepted_rows,blocked_rows,status
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231128&selectType=ALLBUT0999&response=json,bf99403d6d8954972431a80c4ff567c4e251160ca0049d08e2e4003edec1cb1e,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231129&selectType=ALLBUT0999&response=json,a6b100a09f2d0ff4235d5e1abb9b242e0d5a4cb75afee1e67b142f68be7d0098,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231130&selectType=ALLBUT0999&response=json,7071435fd2562427dcd043c5476e477a2d263eda9f9484941eabf60ba9aa2a0d,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231201&selectType=ALLBUT0999&response=json,7172680b4a9970c66d1c9b1b4de017ee807a53a040cb04e2a167ce59f2cbc8f6,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231204&selectType=ALLBUT0999&response=json,2eb998317b19411f462a59d82a34f922b23e07c65e3b6b3dbafc70013cc892c7,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231205&selectType=ALLBUT0999&response=json,cd25332b26b4f8b0fa67a365b3515c039418b573b889120c257146b9514f88e2,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231206&selectType=ALLBUT0999&response=json,ea987a1f429c8d0f557f770facffe8224408a2ac044acc9251c263be6edcc73c,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231207&selectType=ALLBUT0999&response=json,f845c1ad96a53fe0e330d916150637b512fa00751a893cd14c47a3882639403d,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231208&selectType=ALLBUT0999&response=json,ae52694b8a69a0dcea1f567e7648282052664449a7e49594e661ec2d291ca1f4,existing_compact,True,1,1,0,reused
institutional,bounded_4_ticker_scope,exact_primary80_chip_20d_warmup_reuse,https://www.twse.com.tw/fund/T86?date=20231211&selectType=ALLBUT0999&response=json,c491bce06d949106c2b70fd56d70e73d38c9e6556f823db94bfc16dd3b4cc743,existing_compact,True,1,1,0,reused
