symbol,name,metric_name,metric_value,period,announcement_date,available_date,source_type,source_url,ingested_at
1590,亞德客-KY,monthly_revenue,1978552000,2022-07,2022-08-10,2022-08-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_7_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,1976218000,2022-08,2022-09-12,2022-09-12,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_8_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2122815000,2022-09,2022-10-10,2022-10-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_9_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,1974139000,2022-10,2022-11-10,2022-11-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_10_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2210863000,2022-11,2022-12-12,2022-12-12,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_11_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2079528000,2022-12,2023-01-10,2023-01-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_111_12_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,1457763000,2023-01,2023-02-10,2023-02-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_1_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2368561000,2023-02,2023-03-10,2023-03-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_2_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,3079445000,2023-03,2023-04-10,2023-04-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_3_1.html,2026-06-07T11:11:12+00:00
1590,亞德客-KY,monthly_revenue,2687697000,2023-04,2023-05-10,2023-05-10,mops_monthly_revenue_static_html_conservative_available_date,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_112_4_1.html,2026-06-07T11:11:12+00:00
