variant_id,period,decision_date,ticker,role,requested_execution_date,market,name,open,high,low,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_path,exact_key_ready,fill_mode,future_data_violation_count
S08_CD3,P1,2016-04-27,5347,sell,2016-04-28,TPEx,世界,,,,50.7,official_unadjusted_ohlcv_tpex_daily_quotes_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2016/04/28&response=json,8eb12ee81e6c98a0df262ff6dcbdf157ab1d579f047788f8132ad29585ba2b9f,2026-07-10T12:45:57+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2016.csv.gz,True,local_official_raw_cache_reuse,0
S09_CD2,P2,2023-12-12,1605,sell,2023-12-13,TWSE,華新,,,,37.1,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20231213&type=ALLBUT0999&response=json,46e0eb6186ad4e74473d45eec2506e9334825601778d173f9c85d91dc5d04419,2026-07-11T09:09:17+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2023-12-13.csv.gz,True,local_official_raw_cache_reuse,0
S09_CD3,P1,2020-12-22,6244,sell,2020-12-23,TPEx,茂迪,,,,34.75,official_unadjusted_ohlcv_tpex_daily_quotes_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2020/12/23&response=json,c5cb944b3d365647b8c621ef51a39fab1f5e099c8be81315129e6730b3f82bc4,2026-07-10T13:11:31+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2020.csv.gz,True,local_official_raw_cache_reuse,0
S09_CD3,P2,2024-09-06,3042,sell,2024-09-09,TWSE,晶技,,,,110.5,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20240909&type=ALLBUT0999&response=json,596337aea50ae1c5e462d3a8e9dafa73e16d3f53d2ed662d53509711c9f3bc77,2026-07-11T11:25:47+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\price\TWSE\2024-09-09.csv.gz,True,local_official_raw_cache_reuse,0
S09_CD3,P2,2024-09-06,5508,buy,2024-09-09,TPEx,永信建,,,,262.0,official_tpex_raw_execution_ohlcv,unadjusted_execution_only,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/09/09&response=json,a2292c8db2b48359a8d2c7359ccb4d28702326ee75ca564cf59485618a6ec536,2026-07-11T10:14:32+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\checkpoints\price\TPEx\2024-09-09.csv.gz,True,local_official_raw_cache_reuse,0
S09_CD5,P2,2024-04-22,4770,sell,2024-04-23,TWSE,上品,,,,409.0,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20240423&type=ALLBUT0999&response=json,00a3ed4c6908c37284e935ef56678c5101da9bca59461b07047fadeae144ebab,2026-07-11T10:14:20+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\checkpoints\price\TWSE\2024-04-23.csv.gz,True,local_official_raw_cache_reuse,0
S09_CD7,P2,2023-09-13,2330,sell,2023-09-14,TWSE,台積電,,,,550.0,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230914&type=ALLBUT0999&response=json,8cad6bd471e238937d3ab241566ad90b9e39d9f4492f5d3e42d52fd6d78cd86f,2026-07-11T11:25:37+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\price\TWSE\2023-09-14.csv.gz,True,local_official_raw_cache_reuse,0
S09_CD10,P1,2018-03-05,1101,sell,2018-03-06,TWSE,台泥,,,,36.5,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20180306&type=ALLBUT0999&response=json,0edb382e91279371fbeea262a26f81aa2af9fff237ccdc7ab996f7fd413ee32e,2026-07-10T12:54:38+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2018.csv.gz,True,local_official_raw_cache_reuse,0
S10_CD2,P2,2024-08-14,4909,sell,2024-08-15,TPEx,新復興,,,,118.0,official_unadjusted_ohlcv_pit_daily_full_sweep_shard,adjusted_close_blocked_not_fabricated; official rows are unadjusted OHLCV,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2024/08/15&response=json,,,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,True,local_official_raw_cache_reuse,0
S10_CD3,P1,2019-04-15,2027,sell,2019-04-16,TWSE,大成鋼,,,,43.7,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20190416&type=ALLBUT0999&response=json,436d2fb38116367d61d95918d30b3eccf80b9053d09ada9434e0f9f20b205d93,2026-07-10T13:01:24+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2019.csv.gz,True,local_official_raw_cache_reuse,0
S10_CD5,P1,2019-05-21,8016,sell,2019-05-22,TWSE,矽創,,,,124.0,official_unadjusted_ohlcv_twse_mi_index_bulk,raw_execution_ohlcv; adjusted_analysis_not_materialized,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20190522&type=ALLBUT0999&response=json,59d0f31d1cf704de978a9931dbd4c0cafe6f751ce30760e2b9d030119017cfcf,2026-07-10T13:01:53+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2019.csv.gz,True,local_official_raw_cache_reuse,0
S10_CD7,P2,2024-05-29,3702,sell,2024-05-30,TWSE,大聯大,,,,86.1,official_twse_raw_execution_ohlcv,unadjusted_execution_only,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20240530&type=ALLBUT0999&response=json,775015da0bc63c29ecc751efb334a4811e9a2ac39a82d206cf51c80d578385dd,2026-07-11T08:58:35+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\checkpoints\raw_hlc_warmup\TWSE\2024-05-30.csv.gz,True,local_official_raw_cache_reuse,0
