variant_id,period,decision_date,ticker,role,requested_execution_date,reason
S04_CD2,P1,2022-08-12,3036,sell,2022-08-15,missing_official_raw_execution_close
S04_CD2,P2,2024-08-05,6223,sell,2024-08-06,missing_official_raw_execution_close
S04_CD3,P1,2016-10-04,3596,buy,2016-10-05,missing_official_raw_execution_close
S04_CD3,P2,2024-08-15,5347,sell,2024-08-16,missing_official_raw_execution_close
S04_CD5,P1,2016-11-03,1504,sell,2016-11-04,missing_official_raw_execution_close
S04_CD5,P1,2016-11-03,2886,buy,2016-11-04,missing_official_raw_execution_close
S04_CD5,P2,2024-10-30,2412,sell,2024-11-01,missing_official_raw_execution_close
S04_CD7,P1,2017-06-12,1536,sell,2017-06-13,missing_official_raw_execution_close
S04_CD7,P1,2017-06-12,6239,buy,2017-06-13,missing_official_raw_execution_close
S04_CD7,P2,2024-04-15,6285,sell,2024-04-16,missing_official_raw_execution_close
S04_CD10,P1,2019-10-03,5264,sell,2019-10-04,missing_official_raw_execution_close
S04_CD10,P2,2024-01-08,6282,sell,2024-01-09,missing_official_raw_execution_close
S05_CD2,P1,2016-10-28,2449,sell,2016-10-31,missing_official_raw_execution_close
S05_CD2,P1,2016-10-28,2105,buy,2016-10-31,missing_official_raw_execution_close
S05_CD2,P2,2024-02-16,6285,sell,2024-02-19,missing_official_raw_execution_close
S05_CD3,P2,2024-10-07,2368,sell,2024-10-08,missing_official_raw_execution_close
S05_CD5,P1,2017-05-05,1303,sell,2017-05-08,missing_official_raw_execution_close
S05_CD5,P1,2017-05-05,6116,buy,2017-05-08,missing_official_raw_execution_close
S05_CD5,P2,2024-01-16,2882,sell,2024-01-17,missing_official_raw_execution_close
S05_CD7,P2,2024-04-25,3036,sell,2024-04-26,missing_official_raw_execution_close
S05_CD10,P2,2024-02-23,2618,sell,2024-02-26,missing_official_raw_execution_close
S06_CD2,P1,2016-02-19,5871,buy,2016-02-22,missing_official_raw_execution_close
S06_CD2,P2,2023-07-19,2105,sell,2023-07-20,missing_official_raw_execution_close
S06_CD3,P1,2015-09-29,1303,sell,2015-09-30,missing_official_raw_execution_close
S06_CD5,P1,2015-10-29,2880,sell,2015-10-30,missing_official_raw_execution_close
S06_CD5,P2,2023-10-17,3013,sell,2023-10-18,missing_official_raw_execution_close
S06_CD7,P1,2015-09-29,1338,sell,2015-09-30,missing_official_raw_execution_close
S06_CD7,P2,2023-07-24,2105,sell,2023-07-25,missing_official_raw_execution_close
S06_CD10,P2,2023-07-27,2105,sell,2023-07-28,missing_official_raw_execution_close
S07_CD2,P1,2016-08-30,2105,sell,2016-08-31,missing_official_raw_execution_close
S07_CD2,P1,2016-08-30,2347,buy,2016-08-31,missing_official_raw_execution_close
S07_CD3,P1,2019-10-22,6415,sell,2019-10-23,missing_official_raw_execution_close
S07_CD3,P2,2024-03-26,3008,sell,2024-03-27,missing_official_raw_execution_close
S07_CD5,P1,2016-11-24,6525,sell,2016-11-25,missing_official_raw_execution_close
S07_CD5,P1,2016-11-24,2385,buy,2016-11-25,missing_official_raw_execution_close
S07_CD5,P2,2024-01-05,2368,sell,2024-01-08,missing_official_raw_execution_close
S07_CD7,P1,2016-09-02,3596,sell,2016-09-05,missing_official_raw_execution_close
S07_CD7,P1,2016-09-02,2301,buy,2016-09-05,missing_official_raw_execution_close
S07_CD10,P1,2019-07-03,1476,sell,2019-07-04,missing_official_raw_execution_close
S07_CD10,P2,2024-08-12,1301,sell,2024-08-13,missing_official_raw_execution_close
S08_CD2,P1,2016-05-13,5388,sell,2016-05-16,missing_official_raw_execution_close
S08_CD2,P2,2024-04-08,1216,sell,2024-04-09,missing_official_raw_execution_close
S08_CD3,P1,2016-04-27,5347,sell,2016-04-28,missing_official_raw_execution_close
S08_CD3,P1,2016-04-27,2882,buy,2016-04-28,missing_official_raw_execution_close
S08_CD5,P2,2024-04-24,3036,sell,2024-04-25,missing_official_raw_execution_close
S08_CD7,P1,2016-11-01,2912,sell,2016-11-02,missing_official_raw_execution_close
S08_CD7,P1,2016-11-01,2915,buy,2016-11-02,missing_official_raw_execution_close
S08_CD7,P2,2024-04-26,3036,sell,2024-04-29,missing_official_raw_execution_close
S08_CD10,P1,2016-11-04,2912,sell,2016-11-07,missing_official_raw_execution_close
S08_CD10,P1,2016-11-04,2886,buy,2016-11-07,missing_official_raw_execution_close
S09_CD2,P1,2016-06-21,2885,sell,2016-06-22,missing_official_raw_execution_close
S09_CD2,P1,2016-06-21,2002,buy,2016-06-22,missing_official_raw_execution_close
S09_CD2,P2,2023-12-12,1605,sell,2023-12-13,missing_official_raw_execution_close
S09_CD3,P1,2020-12-22,6244,sell,2020-12-23,missing_official_raw_execution_close
S09_CD3,P2,2024-09-06,3042,sell,2024-09-09,missing_official_raw_execution_close
S09_CD3,P2,2024-09-06,5508,buy,2024-09-09,missing_official_raw_execution_close
S09_CD5,P2,2024-04-22,4770,sell,2024-04-23,missing_official_raw_execution_close
S09_CD7,P1,2016-07-14,8341,sell,2016-07-15,missing_official_raw_execution_close
S09_CD7,P2,2023-09-13,2330,sell,2023-09-14,missing_official_raw_execution_close
S09_CD10,P1,2018-03-05,1101,sell,2018-03-06,missing_official_raw_execution_close
S10_CD2,P2,2024-08-14,4909,sell,2024-08-15,missing_official_raw_execution_close
S10_CD3,P1,2019-04-15,2027,sell,2019-04-16,missing_official_raw_execution_close
S10_CD5,P1,2019-05-21,8016,sell,2019-05-22,missing_official_raw_execution_close
S10_CD7,P2,2024-05-29,3702,sell,2024-05-30,missing_official_raw_execution_close
S10_CD10,P1,2016-10-17,1590,sell,2016-10-18,missing_official_raw_execution_close
