ticker,name,date,period,market,market_cap,free_float_market_cap,shares_outstanding,capital_stock,source_price_date,close_price,source_date,available_date,source_url,source_route,source_type,formal_exact,derivation,raw_source_path
2063,世鎧,2015-01-05,2015-01-05,TPEx,1239655905,,43268967,,2015-01-05,28.6500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2064,晉椿,2015-01-05,2015-01-05,TPEx,1578500000,,70000000,,2015-01-05,22.5500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2066,世德,2015-01-05,2015-01-05,TPEx,3730157595,,36040170,,2015-01-05,103.5000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2067,嘉鋼,2015-01-05,2015-01-05,TPEx,769105888,,28432750,,2015-01-05,27.0500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2221,大甲,2015-01-05,2015-01-05,TPEx,806075000,,42425000,,2015-01-05,19.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2230,泰茂,2015-01-05,2015-01-05,TPEx,594260070,,39617338,,2015-01-05,15.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2233,宇隆,2015-01-05,2015-01-05,TPEx,4207862493,,49214766,,2015-01-05,85.5000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2235,謚源,2015-01-05,2015-01-05,TPEx,2792512800,,31878000,,2015-01-05,87.6000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2596,綠意,2015-01-05,2015-01-05,TPEx,1489167432,,82731524,,2015-01-05,18.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2636,台驊,2015-01-05,2015-01-05,TPEx,3649334310,,94055008,,2015-01-05,38.8000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2640,大車隊,2015-01-05,2015-01-05,TPEx,4885745768,,42118498,,2015-01-05,116.0000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2641,正德,2015-01-05,2015-01-05,TPEx,1428025000,,119500000,,2015-01-05,11.9500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2718,桃園店,2015-01-05,2015-01-05,TPEx,848857600,,22576000,,2015-01-05,37.6000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2719,燦星旅,2015-01-05,2015-01-05,TPEx,900041600,,36292000,,2015-01-05,24.8000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2724,F-富驛,2015-01-05,2015-01-05,TPEx,1118448097,,38172290,,2015-01-05,29.3000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2726,F-雅茗,2015-01-05,2015-01-05,TPEx,1103583798,,27350280,,2015-01-05,40.3500,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
2729,瓦城,2015-01-05,2015-01-05,TPEx,6200389000,,23266000,,2015-01-05,266.5000,2015-01-05,2015-01-05,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2015/01/05&response=json,tpex_dailyQuotes/close_and_issued_shares,shares_derived_official_daily_candidate,false,official same-day close * official same-day issued shares,tpex_full_sweep_raw\tpex_dailyQuotes_2015-01-05.json
