shard_path,year_month,market,rows,bytes,sha256,git_tracked
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-06.csv,2021-06,TPEx,16186,6334005,7bb7cd5cb1440d9a64ebdef3ca288ca779e44ffb9778d86fb04274b46282301b,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-07.csv,2021-07,TPEx,17004,6654601,9fb2588050f14cf94692bb8164418ca0216ff26f5fc7ebb1f2cb41e7ce9fa76b,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-08.csv,2021-08,TPEx,16921,6621796,537f3fd7ba4a35b9b98ce1523d66a0e1e5d5ea08caf7bdd19ff707a15d993d41,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-09.csv,2021-09,TPEx,15357,6009624,2362d937f77fc0171b5e5eed482864bf02c677b6d323029d5abb19cdae12b339,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-10.csv,2021-10,TPEx,15386,6021179,f84c47fd4c5cd09a40bfef6fa3dbef3e5a7bee1cf46e2b241a1d5add559f85ee,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-11.csv,2021-11,TPEx,16988,6649010,a684b6c7d90c85637633d46c47b640db76fa1ddbe9838656e2858178cb6af372,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2021-12.csv,2021-12,TPEx,16963,6639638,c253badc3b7c64ab287dfa5737576d5fc7e2d18280da62aae487f9e72b6b19c6,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-01.csv,2022-01,TPEx,13877,5431683,29e389e8afc787cc0821b6b477983d6a397d1f129b7cc39094089cafde7daf08,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-02.csv,2022-02,TPEx,11581,4533164,6fc82b966749a8e0ca0f31b9160472f2f7a9cc92128a37098bf060daa38c9f04,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-03.csv,2022-03,TPEx,17812,6971995,4525bb2e1045a6c82477bb5a85d6d2ebb01fddf7f870896c66cb0b85d0d2eaed,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-04.csv,2022-04,TPEx,14734,5767089,cf2e6b27bda0dc1ad32bba314e0332546c6a5f6f2e977c623d35ce778f245e10,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-05.csv,2022-05,TPEx,16247,6358778,a538d2e709fa468f25bee115796dd8fd6c3902608f842c5bb3b3e2fcd1dc6fd9,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-06.csv,2022-06,TPEx,16363,6404159,84dd95e41572211939b4c078132e16d8bbf3f3301a6281f361a52c095730b930,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-07.csv,2022-07,TPEx,16313,6383715,6102cc153f68fc44ad287e936c0ff7fe9cd457f7eaca2a6a6a19fe5a848f8794,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-08.csv,2022-08,TPEx,17869,6993413,cf99e0d078955300ae0c85d3eceae79b9424b13f2648da8c9f5f9550ff1d6cd7,false_large_local_shard
tpex_full_sweep_shards\accepted_tpex_market_cap_rows_2022-09.csv,2022-09,TPEx,16334,6392860,5697d17029ac9cce5290b477516872e47f1771df836e0bb7aae15f23cee2cfd9,false_large_local_shard
