year_month,market,accepted_rows,trading_days,symbols,status
2023-10,TPEx,15886,20,814,covered
2023-11,TPEx,17543,22,813,covered
2023-12,TPEx,16872,21,814,covered
2024-01,TPEx,17592,22,814,covered
2024-02,TPEx,10455,13,813,covered
2024-03,TPEx,16993,21,817,covered
2024-04,TPEx,16236,20,818,covered
2024-05,TPEx,17880,22,820,covered
2024-06,TPEx,15464,19,822,covered
2024-07,TPEx,17150,21,822,covered
2024-08,TPEx,17937,22,824,covered
2024-09,TPEx,16291,20,829,covered
2024-10,TPEx,15520,19,831,covered
2024-11,TPEx,17185,21,832,covered
2024-12,TPEx,18012,22,837,covered
2025-01,TPEx,12330,15,839,covered
2025-02,TPEx,15723,19,843,covered
2025-03,TPEx,17479,21,847,covered
2025-04,TPEx,16634,20,848,covered
2025-05,TPEx,16643,20,853,covered
2025-06,TPEx,17460,21,852,covered
2025-07,TPEx,19049,23,853,covered
2025-08,TPEx,17619,21,855,covered
2025-09,TPEx,17599,21,855,covered
2025-10,TPEx,16777,20,859,covered
2025-11,TPEx,16765,20,863,covered
2025-12,TPEx,18588,22,873,covered
2026-01,TPEx,18093,21,877,covered
2026-02,TPEx,10365,12,878,covered
2026-03,TPEx,18990,22,880,covered
2026-04,TPEx,17361,20,884,covered
2026-05,TPEx,17512,20,888,covered
2026-06,TPEx,18405,21,891,covered
2026-07,TPEx,2630,3,888,covered
