ticker,name,market,event_type,event_date,source_date,source_url,source_id,source_type,formal_ready,blocked_reason,raw_event_date,notes
705000,世紀*國泰59購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
705174,信立凱基58購01,TPEx,suspension,2026-04-28,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150428,TPEx historical suspended/resumed trading endpoint.
705174,信立凱基58購01,TPEx,resumption,2026-04-29,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150429,TPEx historical suspended/resumed trading endpoint.
705272,世紀*國票59購02,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
705272,世紀*國票59購02,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
705291,世紀*凱基59購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
705291,世紀*凱基59購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
705342,世紀*永豐58購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
705342,世紀*永豐58購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
705362,世紀*元大58購04,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
705362,世紀*元大58購04,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
705436,世紀*凱基59購02,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
705436,世紀*凱基59購02,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
705687,健亞國票5A購01,TPEx,suspension,2026-03-12,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150312,TPEx historical suspended/resumed trading endpoint.
705687,健亞國票5A購01,TPEx,resumption,2026-03-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150313,TPEx historical suspended/resumed trading endpoint.
705986,世紀*國票5A購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
705986,世紀*國票5A購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
706717,世紀*元大59購01,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
706717,世紀*元大59購01,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
706738,世紀*凱基59購03,TPEx,suspension,2026-05-13,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150513,TPEx historical suspended/resumed trading endpoint.
706738,世紀*凱基59購03,TPEx,resumption,2026-05-14,2026-07-03,https://www.tpex.org.tw/openapi/v1/tpex_spendi_history,tpex_spendi_history,official_suspension_resumption_events,partial_event_row_not_full_master,,1150514,TPEx historical suspended/resumed trading endpoint.
