ticker,market,report_period,t05st01_query_payload,matched,candidate_count,announcement_date,announcement_time,detail_payload,detail_period,detail_note,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2317,TWSE,115Q1,"{""companyId"": ""2317"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/14,14:15:12,"{""serialNumber"": ""1"", ""companyId"": ""2317"", ""marketKind"": ""sii"", ""enterDate"": ""1150514""}",115/1/1~115/3/31,,False,False,False,False,False,False,True,False
2317,TWSE,114Q4,"{""companyId"": ""2317"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/16,14:15:14,"{""serialNumber"": ""1"", ""companyId"": ""2317"", ""marketKind"": ""sii"", ""enterDate"": ""1150316""}",114/1/1~114/12/31,,False,False,False,False,False,False,True,False
2454,TWSE,115Q1,"{""companyId"": ""2454"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/04/30,17:58:34,"{""serialNumber"": ""1"", ""companyId"": ""2454"", ""marketKind"": ""sii"", ""enterDate"": ""1150428""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
2454,TWSE,114Q4,"{""companyId"": ""2454"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/02/26,17:08:56,"{""serialNumber"": ""1"", ""companyId"": ""2454"", ""marketKind"": ""sii"", ""enterDate"": ""1150224""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
2881,TWSE,115Q1,"{""companyId"": ""2881"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/21,17:54:45,"{""serialNumber"": ""1"", ""companyId"": ""2881"", ""marketKind"": ""sii"", ""enterDate"": ""1150521""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
2881,TWSE,114Q4,"{""companyId"": ""2881"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/12,16:40:19,"{""serialNumber"": ""2"", ""companyId"": ""2881"", ""marketKind"": ""sii"", ""enterDate"": ""1150312""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
2882,TWSE,115Q1,"{""companyId"": ""2882"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/14,17:43:48,"{""serialNumber"": ""2"", ""companyId"": ""2882"", ""marketKind"": ""sii"", ""enterDate"": ""1150513""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
2882,TWSE,114Q4,"{""companyId"": ""2882"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/11,16:26:16,"{""serialNumber"": ""5"", ""companyId"": ""2882"", ""marketKind"": ""sii"", ""enterDate"": ""1150309""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,"{""companyId"": ""3008"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",False,0,,,,,,False,False,False,False,False,False,True,False
3008,TWSE,114Q4,"{""companyId"": ""3008"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",False,0,,,,,,False,False,False,False,False,False,True,False
3711,TWSE,115Q1,"{""companyId"": ""3711"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/12,16:36:40,"{""serialNumber"": ""2"", ""companyId"": ""3711"", ""marketKind"": ""sii"", ""enterDate"": ""1150512""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
3711,TWSE,114Q4,"{""companyId"": ""3711"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/09,16:52:02,"{""serialNumber"": ""1"", ""companyId"": ""3711"", ""marketKind"": ""sii"", ""enterDate"": ""1150309""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,"{""companyId"": ""6669"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",False,0,,,,,,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,"{""companyId"": ""6669"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",False,0,,,,,,False,False,False,False,False,False,True,False
6488,TPEx,115Q1,"{""companyId"": ""6488"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/05,15:11:12,"{""serialNumber"": ""1"", ""companyId"": ""6488"", ""marketKind"": ""otc"", ""enterDate"": ""1150504""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
6488,TPEx,114Q4,"{""companyId"": ""6488"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/03,16:05:19,"{""serialNumber"": ""1"", ""companyId"": ""6488"", ""marketKind"": ""otc"", ""enterDate"": ""1150302""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
8299,TPEx,115Q1,"{""companyId"": ""8299"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/08,16:31:18,"{""serialNumber"": ""1"", ""companyId"": ""8299"", ""marketKind"": ""otc"", ""enterDate"": ""1150421""}",115/01/01-115/03/31,,False,False,False,False,False,False,True,False
8299,TPEx,114Q4,"{""companyId"": ""8299"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/06,16:33:33,"{""serialNumber"": ""1"", ""companyId"": ""8299"", ""marketKind"": ""otc"", ""enterDate"": ""1150212""}",114/01/01-114/12/31,upload_deadline_text_present,False,False,False,False,False,False,True,False
5347,TPEx,115Q1,"{""companyId"": ""5347"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/05,06:38:46,"{""serialNumber"": ""2"", ""companyId"": ""5347"", ""marketKind"": ""otc"", ""enterDate"": ""1150504""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
5347,TPEx,114Q4,"{""companyId"": ""5347"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/02/03,06:48:19,"{""serialNumber"": ""3"", ""companyId"": ""5347"", ""marketKind"": ""otc"", ""enterDate"": ""1150202""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
6187,TPEx,115Q1,"{""companyId"": ""6187"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",False,0,,,,,,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,"{""companyId"": ""6187"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",False,0,,,,,,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,"{""companyId"": ""8069"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/05/08,13:38:22,"{""serialNumber"": ""1"", ""companyId"": ""8069"", ""marketKind"": ""otc"", ""enterDate"": ""1150504""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,"{""companyId"": ""8069"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/06,16:22:27,"{""serialNumber"": ""2"", ""companyId"": ""8069"", ""marketKind"": ""otc"", ""enterDate"": ""1150303""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
3081,TPEx,115Q1,"{""companyId"": ""3081"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/04/22,13:40:46,"{""serialNumber"": ""1"", ""companyId"": ""3081"", ""marketKind"": ""otc"", ""enterDate"": ""1150422""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
3081,TPEx,114Q4,"{""companyId"": ""3081"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/01/28,13:41:28,"{""serialNumber"": ""1"", ""companyId"": ""3081"", ""marketKind"": ""otc"", ""enterDate"": ""1150128""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
6147,TPEx,115Q1,"{""companyId"": ""6147"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/04/30,14:16:23,"{""serialNumber"": ""1"", ""companyId"": ""6147"", ""marketKind"": ""otc"", ""enterDate"": ""1150430""}",115/01/01~115/03/31,,False,False,False,False,False,False,True,False
6147,TPEx,114Q4,"{""companyId"": ""6147"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/02/26,14:06:08,"{""serialNumber"": ""1"", ""companyId"": ""6147"", ""marketKind"": ""otc"", ""enterDate"": ""1150226""}",114/01/01~114/12/31,,False,False,False,False,False,False,True,False
3264,TPEx,115Q1,"{""companyId"": ""3264"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/04/30,15:07:29,"{""serialNumber"": ""1"", ""companyId"": ""3264"", ""marketKind"": ""otc"", ""enterDate"": ""1150430""}",,,False,False,False,False,False,False,True,False
3264,TPEx,114Q4,"{""companyId"": ""3264"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",True,1,115/03/06,16:22:04,"{""serialNumber"": ""1"", ""companyId"": ""3264"", ""marketKind"": ""otc"", ""enterDate"": ""1150306""}",,,False,False,False,False,False,False,True,False
