ticker,market,report_period,market_available_at_source,market_available_at,quarter_end_date_used,query_response_datetime_used,after_close_next_trading_day_policy_preserved,needs_core_trading_calendar_join,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
8299,TPEx,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/08 16:31:18,False,False,True,True,0,False,False,False,False,False,False,True,False
8299,TPEx,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/06 16:33:33,False,False,True,True,0,False,False,False,False,False,False,True,False
5347,TPEx,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/05 06:38:46,False,False,True,True,0,False,False,False,False,False,False,True,False
5347,TPEx,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/02/03 06:48:19,False,False,True,True,0,False,False,False,False,False,False,True,False
6187,TPEx,115Q1,unmatched,,False,False,True,True,0,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,unmatched,,False,False,True,True,0,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/05/08 13:38:22,False,False,True,True,0,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/06 16:22:27,False,False,True,True,0,False,False,False,False,False,False,True,False
3081,TPEx,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/04/22 13:40:46,False,False,True,True,0,False,False,False,False,False,False,True,False
3081,TPEx,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/01/28 13:41:28,False,False,True,True,0,False,False,False,False,False,False,True,False
6147,TPEx,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/04/30 14:16:23,False,False,True,True,0,False,False,False,False,False,False,True,False
6147,TPEx,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/02/26 14:06:08,False,False,True,True,0,False,False,False,False,False,False,True,False
3264,TPEx,115Q1,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/04/30 15:07:29,False,False,True,True,0,False,False,False,False,False,False,True,False
3264,TPEx,114Q4,MOPS t05st01/t05st01_detail public material-information announcement timestamp,115/03/06 16:22:04,False,False,True,True,0,False,False,False,False,False,False,True,False
