ticker,market,report_period,t164_payload,t164sb05_status,t164sb03_status,cashflow_fields_available,balance_sheet_fields_available,current_ratio_available,operating_cash_flow,investing_cash_flow,capex_proxy,inventory,receivables_trade,current_assets,current_liabilities,official_announcement_timestamp_matched,market_available_at,announcement_subject,after_close_next_trading_day_policy,detail_note,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
6187,TPEx,115Q1,"{""companyId"": ""6187"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=60,code=200 rows=71,True,True,True,228096,-297766,-204276,1568797,1228409,7254868,3647779,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,"{""companyId"": ""6187"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=72,code=200 rows=69,True,True,True,1958047,-665920,-467192,1114034,803938,6335154,1640435,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,"{""companyId"": ""8069"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=68,code=200 rows=59,True,True,True,2205961,-1462589,-791140,4630284,5472010,35562862,26620658,True,115/05/08 13:38:22,本公司民國115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,"{""companyId"": ""8069"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=74,code=200 rows=59,True,True,True,9599717,377413,-4259865,3877695,5368405,33189321,19907402,True,115/03/06 16:22:27,本公司民國114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
3081,TPEx,115Q1,"{""companyId"": ""3081"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=46,code=200 rows=49,True,True,True,282783,-220778,-42553,595471,562306,3182499,1100813,True,115/04/22 13:40:46,公告本公司董事會通過115年第一季財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
3081,TPEx,114Q4,"{""companyId"": ""3081"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=52,code=200 rows=50,True,True,True,713897,-487201,-87076,571168,337028,2911349,531794,True,115/01/28 13:41:28,本公司董事會通過114年度財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
6147,TPEx,115Q1,"{""companyId"": ""6147"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=52,code=200 rows=59,True,True,True,-441775,-912853,-757206,3776560,4634441,14865711,6098495,True,115/04/30 14:16:23,公告本公司民國115年第1季合併財務報告業經董事會決議,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
6147,TPEx,114Q4,"{""companyId"": ""6147"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=59,code=200 rows=58,True,True,True,3548454,-3590506,-5054077,3294355,4117505,14591472,4349850,True,115/02/26 14:06:08,公告本公司民國114年度合併財務報告業經董事會決議,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
3264,TPEx,115Q1,"{""companyId"": ""3264"", ""dataType"": ""2"", ""year"": ""115"", ""season"": ""1"", ""subsidiaryCompanyId"": """"}",code=200 rows=53,code=200 rows=64,True,False,True,1671231,-1095672,-1330081,,3577488,9161378,7244788,True,115/04/30 15:07:29,公告本公司115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
3264,TPEx,114Q4,"{""companyId"": ""3264"", ""dataType"": ""2"", ""year"": ""114"", ""season"": ""4"", ""subsidiaryCompanyId"": """"}",code=200 rows=56,code=200 rows=66,True,False,True,5716339,-2855670,-3772989,,3248748,9037772,7050392,True,115/03/06 16:22:04,公告本公司114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,,False,False,False,False,False,False,True,False
