date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy,source_url,source_route
2023-08-18,1319,東陽,TWSE,62.5,64.7,61.0,61.4,16551811,1036381243,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=1319&response=json,TWSE_STOCK_DAY
2023-01-16,1513,中興電,TWSE,70.5,71.7,70.2,71.6,7639666,543770753,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1513&response=json,TWSE_STOCK_DAY
2023-12-08,1514,亞力,TWSE,86.5,92.0,86.1,87.6,81764045,7230628391,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=1514&response=json,TWSE_STOCK_DAY
2023-12-11,1514,亞力,TWSE,88.6,89.9,84.8,88.5,57990169,5062844815,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=1514&response=json,TWSE_STOCK_DAY
2023-12-15,1514,亞力,TWSE,90.0,92.3,86.5,87.2,40002008,3566612611,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=1514&response=json,TWSE_STOCK_DAY
2023-12-18,1514,亞力,TWSE,86.8,88.3,83.5,83.9,22306995,1904279662,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=1514&response=json,TWSE_STOCK_DAY
2023-08-25,1519,華城,TWSE,282.5,293.5,279.5,286.5,12913508,3684011177,official_unadjusted_ohlcv_twse_mi_index_day_fallback,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20230825&type=ALLBUT0999&response=json,TWSE_MI_INDEX_ALLBUT0999_BOUNDED_DAY_FALLBACK
2023-08-28,1519,華城,TWSE,289.5,291.5,268.0,275.0,11521605,3202917858,official_unadjusted_ohlcv_twse_mi_index_day_fallback,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20230828&type=ALLBUT0999&response=json,TWSE_MI_INDEX_ALLBUT0999_BOUNDED_DAY_FALLBACK
2023-09-01,1519,華城,TWSE,310.0,324.0,290.0,292.5,17981005,5515222823,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=1519&response=json,TWSE_STOCK_DAY
2023-09-04,1519,華城,TWSE,295.0,311.0,294.5,300.0,14590724,4407452597,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=1519&response=json,TWSE_STOCK_DAY
2023-09-22,1522,堤維西,TWSE,42.5,43.8,41.85,43.5,11888171,511468865,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=1522&response=json,TWSE_STOCK_DAY
2023-09-25,1522,堤維西,TWSE,44.2,44.4,43.25,44.3,10611128,466737556,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=1522&response=json,TWSE_STOCK_DAY
2023-09-28,1522,堤維西,TWSE,43.5,44.15,43.3,43.6,6967284,304296329,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=1522&response=json,TWSE_STOCK_DAY
2023-10-02,1522,堤維西,TWSE,43.6,44.3,42.85,44.0,10619770,464607365,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=1522&response=json,TWSE_STOCK_DAY
2023-10-03,1522,堤維西,TWSE,44.0,45.45,43.2,43.3,15103550,665874732,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=1522&response=json,TWSE_STOCK_DAY
2023-10-06,1522,堤維西,TWSE,43.3,43.7,42.6,43.15,6326351,272708890,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=1522&response=json,TWSE_STOCK_DAY
2023-10-11,1522,堤維西,TWSE,43.8,43.8,42.2,42.35,4867537,208100975,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=1522&response=json,TWSE_STOCK_DAY
2023-01-13,1707,葡萄王,TWSE,160.0,162.5,159.0,162.0,545702,88076155,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1707&response=json,TWSE_STOCK_DAY
2023-01-16,1707,葡萄王,TWSE,162.0,166.5,162.0,165.0,827801,136574453,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1707&response=json,TWSE_STOCK_DAY
2023-01-17,1707,葡萄王,TWSE,163.5,166.0,161.0,162.0,708904,115750205,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1707&response=json,TWSE_STOCK_DAY
2023-02-02,1707,葡萄王,TWSE,174.0,175.5,171.5,172.5,845939,147148071,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230201&stockNo=1707&response=json,TWSE_STOCK_DAY
2023-01-06,1720,生達,TWSE,59.0,59.8,57.5,57.8,4124056,240189636,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1720&response=json,TWSE_STOCK_DAY
2023-01-09,1720,生達,TWSE,57.8,57.8,56.1,57.2,3917572,223865783,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1720&response=json,TWSE_STOCK_DAY
2023-01-13,1720,生達,TWSE,54.5,55.8,54.2,55.2,2560222,141086087,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1720&response=json,TWSE_STOCK_DAY
2023-01-16,1720,生達,TWSE,54.9,55.8,54.6,55.8,929179,51382197,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=1720&response=json,TWSE_STOCK_DAY
2023-04-28,1720,生達,TWSE,71.4,76.6,71.2,76.2,14546301,1085331865,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230401&stockNo=1720&response=json,TWSE_STOCK_DAY
2023-05-02,1720,生達,TWSE,77.0,78.1,73.5,74.0,8265201,619833915,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230501&stockNo=1720&response=json,TWSE_STOCK_DAY
2023-05-05,1720,生達,TWSE,75.0,76.5,73.2,74.7,3616074,270344629,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230501&stockNo=1720&response=json,TWSE_STOCK_DAY
2023-05-09,1720,生達,TWSE,75.7,75.7,71.4,71.7,4436083,322832848,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230501&stockNo=1720&response=json,TWSE_STOCK_DAY
2023-08-04,2059,川湖,TWSE,822.0,844.0,796.0,817.0,2481068,2033991892,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2059&response=json,TWSE_STOCK_DAY
2023-08-07,2059,川湖,TWSE,818.0,888.0,812.0,877.0,2665620,2280093025,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2059&response=json,TWSE_STOCK_DAY
2023-08-11,2059,川湖,TWSE,811.0,834.0,796.0,812.0,2522853,2050813861,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2059&response=json,TWSE_STOCK_DAY
2023-08-14,2059,川湖,TWSE,800.0,829.0,784.0,817.0,1390954,1130129012,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2059&response=json,TWSE_STOCK_DAY
2023-06-02,2206,三陽工業,TWSE,81.6,88.1,81.6,88.1,35121802,3006929382,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230601&stockNo=2206&response=json,TWSE_STOCK_DAY
2023-06-05,2206,三陽工業,TWSE,90.5,91.5,89.5,90.2,34150500,3088305435,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230601&stockNo=2206&response=json,TWSE_STOCK_DAY
2023-06-09,2206,三陽工業,TWSE,93.0,98.8,92.4,97.8,36855759,3540983760,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230601&stockNo=2206&response=json,TWSE_STOCK_DAY
2023-06-12,2206,三陽工業,TWSE,99.0,99.3,93.0,93.2,28726702,2730098694,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230601&stockNo=2206&response=json,TWSE_STOCK_DAY
2023-05-19,2207,和泰車,TWSE,885.0,885.0,841.0,850.0,1045735,895284618,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230501&stockNo=2207&response=json,TWSE_STOCK_DAY
2023-05-22,2207,和泰車,TWSE,845.0,849.0,820.0,837.0,463600,387353476,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230501&stockNo=2207&response=json,TWSE_STOCK_DAY
2023-05-26,2207,和泰車,TWSE,800.0,802.0,784.0,784.0,514733,407934654,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230501&stockNo=2207&response=json,TWSE_STOCK_DAY
2023-05-29,2207,和泰車,TWSE,782.0,788.0,770.0,774.0,439898,341985742,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230501&stockNo=2207&response=json,TWSE_STOCK_DAY
2023-01-13,2327,國巨*,TWSE,525.0,526.0,513.0,514.0,2387130,1234961937,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=2327&response=json,TWSE_STOCK_DAY
2023-01-16,2327,國巨*,TWSE,516.0,517.0,511.0,513.0,1654658,850124530,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=2327&response=json,TWSE_STOCK_DAY
2023-01-17,2327,國巨*,TWSE,516.0,522.0,511.0,519.0,3432835,1778850623,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=2327&response=json,TWSE_STOCK_DAY
2023-01-30,2327,國巨*,TWSE,543.0,543.0,522.0,532.0,6710976,3562195601,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=2327&response=json,TWSE_STOCK_DAY
2023-02-02,2327,國巨*,TWSE,547.0,547.0,534.0,541.0,3194015,1726238316,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230201&stockNo=2327&response=json,TWSE_STOCK_DAY
2023-02-03,2327,國巨*,TWSE,541.0,545.0,536.0,540.0,2570122,1390068778,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230201&stockNo=2327&response=json,TWSE_STOCK_DAY
2023-02-06,2327,國巨*,TWSE,535.0,538.0,528.0,533.0,2143270,1143585065,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230201&stockNo=2327&response=json,TWSE_STOCK_DAY
2023-08-18,2329,華泰,TWSE,48.4,51.3,47.25,47.4,98914354,4864314684,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2329&response=json,TWSE_STOCK_DAY
2023-08-21,2329,華泰,TWSE,48.05,48.8,45.75,46.2,38000839,1786647234,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2329&response=json,TWSE_STOCK_DAY
2023-08-25,2329,華泰,TWSE,44.3,46.3,44.15,44.85,27062094,1223475235,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2329&response=json,TWSE_STOCK_DAY
2023-08-28,2329,華泰,TWSE,44.7,44.85,42.65,43.35,34399794,1494175776,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2329&response=json,TWSE_STOCK_DAY
2023-12-01,2329,華泰,TWSE,60.0,65.1,59.5,64.0,138351499,8567087343,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=2329&response=json,TWSE_STOCK_DAY
2023-12-04,2329,華泰,TWSE,64.8,67.5,63.7,64.9,121558691,7968412749,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=2329&response=json,TWSE_STOCK_DAY
2023-12-08,2329,華泰,TWSE,62.8,63.5,60.1,60.6,43949312,2697295004,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=2329&response=json,TWSE_STOCK_DAY
2023-12-11,2329,華泰,TWSE,61.4,62.0,60.0,60.5,25682155,1564956926,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=2329&response=json,TWSE_STOCK_DAY
2023-01-06,2330,台積電,TWSE,455.0,459.5,455.0,458.5,21313593,9745142549,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=2330&response=json,TWSE_STOCK_DAY
2023-01-09,2330,台積電,TWSE,468.0,481.0,467.5,481.0,49186355,23352375299,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=2330&response=json,TWSE_STOCK_DAY
2023-01-13,2330,台積電,TWSE,507.0,509.0,499.0,500.0,81848755,41113175651,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=2330&response=json,TWSE_STOCK_DAY
2023-01-16,2330,台積電,TWSE,506.0,508.0,503.0,505.0,38781925,19573968332,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230101&stockNo=2330&response=json,TWSE_STOCK_DAY
2023-08-25,2332,友訊,TWSE,25.0,26.7,24.8,25.85,36953188,963173657,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2332&response=json,TWSE_STOCK_DAY
2023-08-28,2332,友訊,TWSE,26.15,26.9,25.35,25.55,33537353,869892725,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2332&response=json,TWSE_STOCK_DAY
2023-09-01,2332,友訊,TWSE,25.2,25.25,24.45,24.7,12074906,298989597,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=2332&response=json,TWSE_STOCK_DAY
2023-09-04,2332,友訊,TWSE,24.85,25.1,23.8,24.0,13714115,331675320,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=2332&response=json,TWSE_STOCK_DAY
2023-12-22,2353,宏碁,TWSE,44.9,45.7,43.35,45.3,79801900,3560352362,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=2353&response=json,TWSE_STOCK_DAY
2023-12-25,2353,宏碁,TWSE,47.55,49.8,46.55,49.0,127869138,6240665870,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=2353&response=json,TWSE_STOCK_DAY
2023-12-29,2353,宏碁,TWSE,54.1,55.4,53.3,53.8,137909594,7476485185,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231201&stockNo=2353&response=json,TWSE_STOCK_DAY
2024-01-02,2353,宏碁,TWSE,54.2,54.4,51.2,52.3,116623512,6115850492,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20240101&stockNo=2353&response=json,TWSE_STOCK_DAY
2023-11-03,2363,矽統,TWSE,59.5,61.0,52.3,52.3,220379523,12281926505,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231101&stockNo=2363&response=json,TWSE_STOCK_DAY
2023-11-06,2363,矽統,TWSE,52.3,54.1,50.7,53.7,118924328,6215032729,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231101&stockNo=2363&response=json,TWSE_STOCK_DAY
2023-11-10,2363,矽統,TWSE,45.15,45.9,44.65,45.1,107749415,4874754085,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231101&stockNo=2363&response=json,TWSE_STOCK_DAY
2023-11-13,2363,矽統,TWSE,45.35,45.75,44.1,45.4,66338553,2986631817,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231101&stockNo=2363&response=json,TWSE_STOCK_DAY
2023-09-22,2364,倫飛,TWSE,117.0,118.0,113.0,114.5,2361066,271657062,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=2364&response=json,TWSE_STOCK_DAY
2023-09-25,2364,倫飛,TWSE,114.5,116.0,113.0,116.0,691471,79365789,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=2364&response=json,TWSE_STOCK_DAY
2023-09-28,2364,倫飛,TWSE,115.5,119.0,115.0,116.0,510507,59405654,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230901&stockNo=2364&response=json,TWSE_STOCK_DAY
2023-10-03,2364,倫飛,TWSE,119.0,123.5,117.0,117.0,1210088,144573261,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231001&stockNo=2364&response=json,TWSE_STOCK_DAY
2023-08-04,2377,微星,TWSE,187.0,187.5,181.5,184.5,5283386,974728829,official_unadjusted_ohlcv_twse_stock_day,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230801&stockNo=2377&response=json,TWSE_STOCK_DAY
