batch_key,metric,request_ticker_count,route_status,http_status,response_bytes,response_hash,attempt_count,source_url,retrieved_at,error,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
InvestingCashflow_b004,InvestingCashflow,20,accepted,200,49930,f188bc407c656ccc8be3dc8187af4c7bc49dc9b7918821bb7743abecffd55c2f,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b002,InvestingCashflow,20,accepted,200,49299,9c1b33b8733eb53b781d92d7f56a67f0df7778f68426f5fa6c724b7312b50aea,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b003,InvestingCashflow,20,accepted,200,48368,56a44ae1a374588092b7026060ac7bf4f6e1f617123d1b46aa7cfae653091289,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
OperatingCashflow_b034,OperatingCashflow,18,accepted,200,41598,b25d3008a90acf893133c6a24ca48c95f06fea69aaea731f20b1728997b87c1b,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b001,InvestingCashflow,20,accepted,200,48896,b2707f2180837cac17c473a4eacad4be8a80f27b21b7cbebf7a94f6fa09d9e3a,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b007,InvestingCashflow,20,accepted,200,48096,6073eb092aa167a11e288ab1195d560775a690f85f6cbb9889aa8792add1d462,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b005,InvestingCashflow,20,accepted,200,50514,4df57113456db943e4f9daedbd4ba6d3df0e9f58dd7f276062ace71f28880270,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b006,InvestingCashflow,20,accepted,200,49778,405821cab55860183f5aa5e76f29873573a58185d7911b15f83d06d8bf376da7,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b010,InvestingCashflow,20,accepted,200,51581,ed26c5f153158c1c97862002404cd56869d2226b01e3de24de5becb81f95e26c,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
InvestingCashflow_b009,InvestingCashflow,20,accepted,200,43233,9685fd06933dea6bf4c0bb201f4d4ac3119979fba1a0842885ce25483770bab3,1,https://mopsfin.twse.com.tw/compare/data,2026-07-12T15:24:24.431478+08:00,,False,False,False,False,False,False,False,True,False
