signal_date,rank,ticker,name,chain,selection_score,bottom_score,launch_score,return_60d,monthly_revenue_yoy,stock_rs20,sector_rs20
2026-08-19,2,3017,奇鋐,AI機櫃電力與散熱,87.98780487804879,80.0,75.0,0.1462962962962963,0.6064003400775295,0.3736678562702156,0.18375794237950083
2026-08-19,3,3706,神達,AI伺服器,76.70731707317073,100.0,75.0,0.077197152640358,0.49300879811623766,0.0017394840150742885,0.013300967511048256
2026-08-20,1,3653,健策,AI機櫃電力與散熱,89.8780487804878,80.0,75.0,0.6099342918053632,0.37748425995281853,0.5103964261717546,0.15196863447308528
2026-08-20,2,3017,奇鋐,AI機櫃電力與散熱,87.4390243902439,80.0,75.0,0.1569767441860465,0.6064003400775295,0.2243231196453086,0.15196863447308528
2026-08-20,3,3006,晶豪科,記憶體,68.65853658536585,65.0,75.0,0.0378622454050066,2.968056658653291,0.17978599331936818,0.11048627343141315
2026-08-21,1,3017,奇鋐,AI機櫃電力與散熱,86.82926829268293,90.0,75.0,0.0750469043151969,0.6064003400775295,0.1747746296158581,0.12096079639026025
2026-08-21,2,3006,晶豪科,記憶體,83.53658536585365,75.0,75.0,0.0454762708690417,2.968056658653291,0.2161387480787773,0.14251415260952172
2026-08-21,3,3260,威剛,記憶體,78.65853658536585,75.0,75.0,0.0180722891566265,2.1043559478102734,0.07412627627974566,0.14251415260952172
2026-08-24,1,2301,光寶科,AI機櫃電力與散熱,88.65853658536587,80.0,75.0,0.2238805970149253,0.2955678896812044,0.3306094646493767,0.11732647114156569
2026-08-24,2,3017,奇鋐,AI機櫃電力與散熱,88.53658536585367,90.0,75.0,0.0251346499102333,0.6064003400775295,0.16641921307704965,0.11732647114156569
2026-08-24,3,3006,晶豪科,記憶體,87.56097560975611,65.0,90.0,0.1333207416655832,2.968056658653291,0.3070245589889993,0.1259184485510556
2026-08-25,1,2301,光寶科,AI機櫃電力與散熱,95.48780487804879,90.0,75.0,0.3010989010989011,0.2955678896812044,0.4511463302046468,0.19592424270274245
2026-08-25,2,3017,奇鋐,AI機櫃電力與散熱,87.01219512195122,65.0,75.0,0.0925925925925925,0.6064003400775295,0.24233742004264403,0.19592424270274245
2026-08-26,1,3037,欣興,PCB／CCL／載板,95.97560975609757,100.0,75.0,0.1623752639059796,0.3237498119348985,0.5558437368146734,0.29149782176326977
2026-08-26,2,3653,健策,AI機櫃電力與散熱,85.54878048780489,80.0,75.0,0.4751718368599453,0.37748425995281853,0.5994044759420534,0.25143548950308614
2026-08-26,3,2301,光寶科,AI機櫃電力與散熱,75.85365853658539,65.0,75.0,0.2279999999999999,0.2955678896812044,0.5292566846462257,0.25143548950308614
2026-08-27,1,3037,欣興,PCB／CCL／載板,90.4375,90.0,75.0,0.2177304688469405,0.3237498119348985,0.5138200938069488,0.286260576271675
2026-08-27,2,2408,南亞科,記憶體,87.5625,90.0,75.0,0.3740222461928648,7.301397699033428,0.5151656449719577,0.2704171770533734
2026-08-27,3,3017,奇鋐,AI機櫃電力與散熱,81.0625,65.0,90.0,0.2324723247232472,0.6064003400775295,0.448713789695111,0.31907032152339365
2026-08-28,1,2301,光寶科,AI機櫃電力與散熱,92.86585365853658,90.0,90.0,0.3804347826086955,0.2955678896812044,0.4792748765447894,0.31620309816160375
2026-08-28,2,3653,健策,AI機櫃電力與散熱,85.60975609756098,80.0,75.0,0.6079885857956946,0.37748425995281853,0.639381403582796,0.31620309816160375
2026-08-28,3,3324,雙鴻,AI機櫃電力與散熱,82.13414634146342,90.0,75.0,0.0388034041242995,0.9375003472065766,0.22399421369031391,0.31620309816160375
